1|10000|Public
5000|$|... #Caption: A {{circle with}} 3rd-order contact at a <b>vertex</b> <b>of</b> <b>a</b> <b>curve</b> ...|$|E
40|$|Abstract. The {{distance}} or D-eigenvalues <b>of</b> <b>a</b> graph G are the eigenvalues of {{its distance}} matrix. The distance or D-energy ED(G) of the graph G {{is the sum}} of the absolute values of its D-eigenvalues. Two graphs G 1 and G 2 are said to be D-equienergetic if ED(G 1) = ED(G 2). Let F 1 be the 5 -vertex path, F 2 the graph obtained by identifying one <b>vertex</b> <b>of</b> <b>a</b> triangle with one end <b>vertex</b> <b>of</b> the 3 -vertex path, F 3 the graph obtained by identifying <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> triangle with <b>a</b> <b>vertex</b> <b>of</b> another triangle and F 4 be the graph obtained by identifying one end <b>vertex</b> <b>of</b> <b>a</b> 4 -vertex star with <b>a</b> middle <b>vertex</b> <b>of</b> <b>a</b> 3 -vertex path. In this paper we show that if G is r-regular, with diam(G) 2, and Fi, i = 1, 2, 3, 4, are not induced subgraphs of G, then the k-th iterated line graph Lk(G) has exactly one positive D-eigenvalue. Further, if G is r-regular, of order n, diam(G) 2, and G does not have Fi, i = 1, 2, 3, 4, as an induced subgraph, then for k 1, ED(Lk(G)) depends solely on n and r. This result leads to the construction of non D-cospectral, D-equienergetic graphs having same number of vertices and same number of edges. 1...|$|R
2500|$|The angular {{deficiency}} at the <b>vertex</b> <b>of</b> <b>a</b> polyhedron is {{the difference}} between the sum of the face-angles at that vertex and 2. The defect, δ, at any <b>vertex</b> <b>of</b> the Platonic solids {p,q} is ...|$|R
40|$|A graph is a 1 -join composition, if its vertex set can be {{partitioned}} {{into four}} nonempty sets A 0, A 1, S 0 and S 1 such that, every <b>vertex</b> <b>of</b> <b>A</b> 0 is adjacent to every <b>vertex</b> <b>of</b> <b>A</b> 1; no <b>vertex</b> <b>of</b> S 0 is adjacent to <b>a</b> <b>vertex</b> <b>of</b> <b>A</b> 1 [S 1; no <b>vertex</b> <b>of</b> S 1 is adjacent to <b>a</b> <b>vertex</b> <b>of</b> <b>A</b> 0 [S 0. Graph sandwich {{problems have been}} introduced recently by Golumbic, Kaplan and Shamir in a paper in the Journal of Algorithms. The graph sandwich problem for property Φ is defined as follows: Given two graphs G 1 = (V; E 1) and G 2 = (V; E 2) such that E 1 ` E 2, is there a graph G = (V; E) such that E 1 ` E ` E 2 which satisfies property Φ? We prove that the sandwich problem when property Φ {{is to be a}} 1 -join composition is NP-complete. Keywords: Computational complexity; Design of algorithms; Sandwich problems; Perfect graphs. 1 Introduction We say that a graph G 1 = (V; E 1) is <b>a</b> spanning subgraph <b>of</b> G 2 = (V; E 2), if E 1 ` E 2 and we say that a graph G = (V; E) is a sandwic [...] ...|$|R
3000|$|Open {{image in}} new window. Therefore, every <b>vertex</b> <b>of</b> <b>A</b> must be {{adjacent}} to <b>a</b> <b>vertex</b> <b>of</b> B and converse. Otherwise, if there exist two vertices a 1 ∈A and b 1 ∈B such that [...]...|$|R
25|$|Square faces: Each <b>vertex</b> <b>of</b> <b>a</b> square is 90°, {{so there}} is only one {{arrangement}} possible with three faces at a vertex, the cube.|$|R
3000|$|We {{follow in}} the vein of graph-theoretic tests for homogeneity: Consider each {{observation}} to be <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> complete, undirected, weighted graph, [...]...|$|R
2500|$|Polyhedral pyramid, a 4-dimensional polytope whose {{vertices}} and edges form an apex graph, {{with the}} apex adjacent to every <b>vertex</b> <b>of</b> <b>a</b> polyhedral graph ...|$|R
5000|$|Square faces: Each <b>vertex</b> <b>of</b> <b>a</b> square is 90°, {{so there}} is only one {{arrangement}} possible with three faces at a vertex, the cube.|$|R
5000|$|... #Caption: One of the {{possible}} solutions to the game, shown as a red line that visits every <b>vertex</b> <b>of</b> <b>a</b> dodecahedron. This forms a Hamiltonian cycle.|$|R
5000|$|... #Caption: 1-factorization of K8 {{in which}} each 1-factor {{consists}} <b>of</b> <b>an</b> edge from the center to <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> heptagon together with all possible perpendicular edges ...|$|R
40|$|AbstractIf every <b>vertex</b> <b>of</b> <b>a</b> graph is <b>an</b> endvertex <b>of</b> <b>a</b> {{hamiltonian}} path, {{then the}} graph is called homogeneously traceable. If we require each <b>vertex</b> <b>of</b> <b>a</b> graph to be <b>an</b> endvertex <b>of</b> <b>a</b> longest path (not necessarily a hamiltonian path), then {{we call the}} graph a detour homogeneous graph. The concept <b>of</b> <b>a</b> homogeneously traceable graph was extended to digraphs by Bermond, Simões-Pereira, and C. M. Zamfirescu. Skupień introduced different classes of such digraphs. In this paper we discuss {{the extension of the}} concept <b>of</b> <b>a</b> detour homogeneous graph to digraphs...|$|R
50|$|In geometry, {{the link}} <b>of</b> <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> 2-dimensional simplicial complex is a graph that encodes {{information}} about the local structure of the complex at the vertex.|$|R
5000|$|A vertex v in a 2-edge-connected graph G is a cut vertex if {{and only}} if v is the first <b>vertex</b> <b>of</b> <b>a</b> cycle in C - C1.|$|R
5000|$|If [...] is the {{distance}} from an arbitrary point in the plane to the i-th <b>vertex</b> <b>of</b> <b>a</b> square and [...] is the circumradius of the square, then ...|$|R
40|$|AbstractVolkmann and Winzen [L. Volkmann, S. Winzen, Strong subtournaments {{containing}} a given vertex in regular multipartite tournaments, Discrete Math. 308 (2008) 5516 – 5521] showed that each <b>vertex</b> <b>of</b> <b>a</b> regular c-partite tournament with c≥ 7 partite sets {{is contained in}} <b>a</b> strong subtournament <b>of</b> order p for every p∈{ 3, 4,…,c− 4 }, and conjectured that each <b>vertex</b> <b>of</b> <b>a</b> regular c-partite tournament with c≥ 5 partite sets is contained in <b>a</b> strong subtournament <b>of</b> order p for every p∈{ 3, 4,…,c}. In this paper we confirm the conjecture when c≥ 16...|$|R
5000|$|... #Caption: A fractal {{created by}} a point jumping towards <b>a</b> {{randomly}} chosen <b>vertex</b> <b>of</b> <b>a</b> square but prevented from landing on a red Hindu symbol at the square's center ...|$|R
25|$|Since each <b>vertex</b> <b>of</b> <b>a</b> tesseract is {{adjacent}} to four edges, the <b>vertex</b> figure <b>of</b> the tesseract {{is a regular}} tetrahedron. The dual polytope of the tesseract is called the hexadecachoron, or 16-cell, with Schläfli symbol {3,3,4}.|$|R
2500|$|... {{and each}} {{internal}} <b>vertex</b> <b>of</b> <b>a</b> path appears {{for the first}} time in that path. In any biconnected graph with circuit rank , every open ear decomposition has exactly [...] ears.|$|R
5000|$|... This is an {{important}} paper on the asymptotic analysis of the electric field near the <b>vertex</b> <b>of</b> <b>a</b> conical conducting surface. There exists also a freely consultable Russian translation, [...]|$|R
2500|$|The 3-dimensional analog <b>of</b> <b>a</b> {{plane angle}} {{is a solid}} angle. The solid angle, Ω, at the <b>vertex</b> <b>of</b> <b>a</b> Platonic solid is given {{in terms of the}} {{dihedral}} angle by ...|$|R
2500|$|In {{hyperbolic}} geometry, {{the angle}} of parallelism [...] , is the angle at one <b>vertex</b> <b>of</b> <b>a</b> right hyperbolic triangle that has two asymptotic parallel sides. The angle depends on the segment length a between the right angle and the <b>vertex</b> <b>of</b> {{the angle of}} parallelism.|$|R
25|$|Triangular faces: Each <b>vertex</b> <b>of</b> <b>a</b> regular {{triangle}} is 60°, so a shape {{may have}} 3, 4, or 5 triangles meeting at a vertex; {{these are the}} tetrahedron, octahedron, and icosahedron respectively.|$|R
50|$|Below Abbati's bust {{there is}} the family Abbati's emblem, {{represented}} by three stars set in correspondence <b>of</b> the <b>vertexes</b> <b>of</b> <b>an</b> overturned triangle with an eccentric feline's claw on a grey background.|$|R
