1|4077|Public
40|$|The {{reaction}} to p e r t u r b a t i o n s at the b o t t om of a stably&# 13; s t r a t i f i e d layer characterized by small periodical {{variations of the}} thermal&# 13; s t a b i l i t y p a r a m e t e r and capped by a, less stable, semi-infinite layer has been&# 13; studied. When resonance conditions for internal <b>zero</b> <b>order</b> <b>waves</b> (represented&# 13; by solutions obtained neglecting the small periodical variations of the&# 13; s t a b i l i t y p a r a m e t e r itself) t r a p p e d in t h e lower layer are satisfied, secondary&# 13; waves, generated by the i n t e r a c t i o n of <b>zero</b> <b>order</b> <b>waves</b> and t h e small variations&# 13; af t h e s t a b i l i t y p a r a m e t e r, t u r n out to be resonant too. Some information&# 13; can then be obtained on the localization along the vertical of convective&# 13; breaking (and turbulent patches) in the lower layer, t a k i n g into&# 13; account t h e superposition of zero order and secondary waves. These results&# 13; seem to be relevant for t h e comprehension of t h e dynamics of t h e atmospheric&# 13; inversions {{as well as of}} the oceanic thermocline...|$|E
50|$|Similarly {{reactions}} with heterogeneous catalysis can be <b>zero</b> <b>order</b> if the catalytic {{surface is}} saturated. For example, the decomposition of phosphine (PH3) {{on a hot}} tungsten surface at high pressure is <b>zero</b> <b>order</b> in phosphine which decomposes at a constant rate.|$|R
40|$|Abstract — The time {{course of}} ethanol {{disappearance}} {{from the blood}} has been examined in normal males and females and in alcohol misusers. Blood alcohol estimations were made {{over a period of}} 3 hr, following an oral dose of ethanol (0. 8 g/kg body weight) administered in the form of whisky. Attempts were made to fit the data to <b>zero</b> <b>order,</b> first <b>order</b> and mixed <b>zero</b> + first <b>order</b> kinetics. In the majority (75 %) of normal females the blood ethanol concentration was still increasing at 30 min. This was only seen in 50 % of normal males and in 50 % of non-dependent alcohol misusers, but not in dependent alcohol misusers. In all of the normal females the disappearance of ethanol could be adequately described by <b>zero</b> <b>order</b> kinetics. However, in the normal male group only 20 % could be described by <b>zero</b> <b>order</b> kinetics, 10 % fitted first order kinetics and the remainder required a mixed model of <b>zero</b> + first <b>order.</b> The rate constant for the <b>zero</b> <b>order</b> component of the control male group was identical to <b>zero</b> <b>order</b> rate constant obtained for the female control group. In the female alcohol misuser group, 40 % of the curves could not be described by <b>zero</b> <b>order</b> kinetics and fitted best to a mixed model. The <b>zero</b> <b>order</b> component of the entire group was significantly increased (by 35 %) compared to that obtained for the female control group. In the male dependent and non-dependent alcohol misuser groups...|$|R
5000|$|A <b>zero</b> <b>order</b> {{reaction}} has a {{rate that}} is independent of the concentration of the reactant(s). Increasing the concentration of the reacting species will not speed up {{the rate of the}} reaction i.e. the amount of substance reacted is proportional to the time. <b>Zero</b> <b>order</b> reactions are typically found when a material that is required for the reaction to proceed, such as a surface or a catalyst, is saturated by the reactants. The rate law for a <b>zero</b> <b>order</b> reaction is ...|$|R
40|$|The time {{course of}} ethanol {{disappearance}} {{from the blood}} has been examined in normal males and females and in alcohol misusers. Blood alcohol estimations were made {{over a period of}} 3 hr, following an oral dose of ethanol (0. 8 g/kg body weight) administered in the form of whisky. Attempts were made to fit the data to <b>zero</b> <b>order,</b> first <b>order</b> and mixed <b>zero</b> + first <b>order</b> kinetics. In the majority (75 %) of normal females the blood ethanol concentration was still increasing at 30 min. This was only seen in 50 % of normal males and in 50 % of non-dependent alcohol misusers, but not in dependent alcohol misusers. In all of the normal females the disappearance of ethanol could be adequately described by <b>zero</b> <b>order</b> kinetics. However, in the normal male group only 20 % could be described by <b>zero</b> <b>order</b> kinetics, 10 % fitted first order kinetics and the remainder required a mixed model of <b>zero</b> + first <b>order.</b> The rate constant for the <b>zero</b> <b>order</b> component of the control male group was identical to <b>zero</b> <b>order</b> rate constant obtained for the female control group. In the female alcohol misuser group, 40 % of the curves could not be described by <b>zero</b> <b>order</b> kinetics and fitted best to a mixed model. The <b>zero</b> <b>order</b> component of the entire group was significantly increased (by 35 %) compared to that obtained for the female control group. In the male dependent and non-dependent alcohol misuser groups, all blood alcohol concentration curves fitted best to mixed <b>zero</b> and first <b>order</b> kinetics. However, no significant differences were noted in the values of the kinetic parameters when compared with the male control group. It is suggested that the <b>zero</b> <b>order</b> component of the blood alcohol concentration curves is due to the action of liver alcohol dehydrogenase and the first order component represents redistribution to the tissues. The presence or absence of a first order component is attributed to differences in absorption rates from the gut...|$|R
50|$|Many enzyme-catalyzed {{reactions}} are <b>zero</b> <b>order,</b> {{provided that the}} reactant concentration {{is much greater than}} the enzyme concentration which controls the rate, so that the enzyme is saturated. For example, the biological oxidation of ethanol to acetaldehyde by the enzyme liver alcohol dehydrogenase (LADH) is <b>zero</b> <b>order</b> in ethanol.|$|R
40|$|During {{the first}} part of this {{reporting}} period research has concentrated on performing a detailed evaluation, to <b>zero</b> <b>order,</b> of the guidance algorithm developed in the first period taking the numerical approach developed in the third period. A <b>zero</b> <b>order</b> matched asymptotic expansion (MAE) solution that closely satisfies a set of 6 implicit equations in 6 unknowns to an accuracy of 10 (exp - 10), was evaluated. Guidance law implementation entails treating the current state as a new initial state and repetitively solving the MAE problem to obtain the feedback controls. A <b>zero</b> <b>order</b> guided solution was evaluated and compared with optimal solution that was obtained by numerical methods. Numerical experience shows that the <b>zero</b> <b>order</b> guided solution is close to optimal solution, and that the <b>zero</b> <b>order</b> MAE outer solution plays a critical role in accounting for the variations in Loh's term near the exit phase of the maneuver. However, the deficiency that remains in several of the critical variables indicates the need for a first order correction. During the second part of this period, methods for computing a first order correction were explored...|$|R
30|$|Thus if d>n, (1.1) has no {{transcendental}} meromorphic {{solution of}} <b>zero</b> <b>order.</b>|$|R
40|$|Kinetics of Os(VIII) catalysed {{oxidation}} of substituted and unsubstituted 4 -oxoacids by alkaline hexacyanoferrate(III) in sodium carbonate-bicarbonate buffer {{have been}} studied. The reaction is <b>zero</b> <b>order</b> in oxidant, first order {{with respect to}} Os(VIII), first order at higher concentrations and <b>zero</b> <b>order</b> at lower concentrations with respect to both substrate and alkali. The activation parameters have been computed...|$|R
30|$|Thus if d≠ n, (1.1) has no {{transcendental}} entire {{solution of}} <b>zero</b> <b>order.</b>|$|R
25|$|The {{light that}} {{corresponds}} to direct transmission (or specular reflection {{in the case of}} a reflection grating) is called the <b>zero</b> <b>order,</b> and is denoted m = 0. The other maxima occur at angles which are represented by non-zero integers m. Note that m can be positive or negative, resulting in diffracted orders on both sides of the <b>zero</b> <b>order</b> beam.|$|R
25|$|A polarization-independent {{phase shift}} of <b>zero</b> <b>order</b> needs a plate with {{thickness}} of one wavelength.|$|R
30|$|In {{most cases}} the <b>zero</b> <b>order</b> {{approximation}} in ε is quite satisfactory for practical purposes.|$|R
5000|$|... (2008) Jeff Loomis - <b>Zero</b> <b>Order</b> Phase (guest guitar solo on [...] "Jato Unit") (Century Media) ...|$|R
5000|$|There {{can only}} be either one or zero {{binomial}} trees for each <b>order,</b> including <b>zero</b> <b>order.</b>|$|R
5000|$|US Patent 4361545 - Solid {{pharmaceutical}} formulations for slow, <b>zero</b> <b>order</b> release via controlled {{surface erosion}} ...|$|R
5000|$|<b>Zero</b> <b>order</b> kinetics, a Rate {{equation}} {{for chemical}} reactions where rate {{is independent of}} reactant concentration ...|$|R
40|$|International audienceWe {{show that}} a class of divergence-form {{elliptic}} problems with quadratic growth in the gradient and non-coercive <b>zero</b> <b>order</b> terms are solvable, under essentially optimal hypotheses on the coefficients in the equation. In addition, we prove that the solutions are in general not unique. The case where the <b>zero</b> <b>order</b> term has the opposite sign was already intensively studied and the uniqueness is the rule...|$|R
40|$|In this paper, we {{deal with}} value {{distribution}} for q-shift polynomials of transcendental meromorphic functions with <b>zero</b> <b>order</b> and obtain some results which improve the previous theorems given by Liu and Qi [18]. In addition, we investigate value sharing for q-shift polynomials of transcendental entire functions with <b>zero</b> <b>order</b> and obtain some results which extend the recent theorem given by Liu, Liu and Cao [17]...|$|R
40|$|In this paper, we {{investigate}} {{the possibility to}} control the spiral waves and spatiotempo-ral chaos in an excitable media by subthreshold <b>ordered</b> <b>waves,</b> which is by definition in this paper the spatially ordered periodical subthreshold fluctuations of system variables. It is found that both the spiral wave and the spatiotemporal chaos could be driven out of the control domain by perturbation of periodical subthreshold <b>ordered</b> <b>waves.</b> The effective control time declines as the amplitude of subthreshold <b>ordered</b> <b>waves</b> are in-creased, or their frequencies are decreased. Furthermore, we show that {{the effectiveness of this}} method is also dependent on the spatial arrangement of the subthreshold <b>ordered</b> <b>waves.</b> We discuss the possible applications of this method, especially in the control of heart fibrillation...|$|R
50|$|If this {{differential}} equation is integrated it gives an equation {{often called the}} integrated <b>zero</b> <b>order</b> rate law.|$|R
5000|$|US Patent 4539198 - Solid {{pharmaceutical}} formulations for slow, <b>zero</b> <b>order</b> release via controlled surface erosion: {{expanded range}} ...|$|R
40|$|We {{show that}} a class of divergence-form {{elliptic}} problems with quadratic growth in the gradient and non-coercive <b>zero</b> <b>order</b> terms are solvable, under essentially optimal hypotheses on the coefficients in the equation. In addition, we prove that the solutions are in general not unique. The case where the <b>zero</b> <b>order</b> term has the opposite sign was already intensively studied and the uniqueness is the rule. Comment: To appear in Comm. PD...|$|R
40|$|The numerically reconstructed {{images in}} digital {{holography}} contain two undesirable features. After reconstruction, the <b>zero</b> <b>order</b> diffraction {{as well as}} the complex conjugate image will be present in pictures and drastically reduce their qualities. Practical applications of digital holography in the context of characterization and measuring the physical properties of objects require the suppression of these two features, before starting the reconstruction phase. In this work, using the required mathematical functions for suppressing the <b>zero</b> <b>order</b> diffraction and by transforming them to their discrete form, numerical filters for passing over the CCD images have been constructed. After passing these filters over the experimentally recorded CCD images, the reconstruction phase has been completed applying the discrete Fresnel transform. Carefully investigating the quality of various reconstructed images, we {{came to the conclusion that}} if a filter covers a smaller neighborhood of the recorded CCD images, it will have a better performance in suppressing the <b>zero</b> <b>order</b> diffraction. Among the used filters in this work, a 3 × 3 average filter showed the best performance in suppressing the <b>zero</b> <b>order</b> diffraction from the reconstructed images...|$|R
40|$|Every {{geodetic}} network {{point of the}} <b>zero</b> <b>order</b> in Slovenia contains control network for monitoring the local stability of the reference <b>zero</b> <b>order</b> point. At {{one of the points}} of the <b>zero</b> <b>order,</b> which is located in Kog a precise geodetic survey was performed. Observations were treated and adjusted in height and horizontal control network in order to obtain local positional coordinates of the reference points and the control network points that will be used to identify the movement of these points in subsequent epochs on the network. In the end an analysis of the accuracy of the results obtained was made. The thesis describes the procedure of precise geodetic measurements in the field, used instruments, processing of the measured values and the adjustments of data...|$|R
40|$|The n-electron Valence state Perturbation Theory {{makes use}} of <b>zero</b> <b>order</b> wavefunctions whose {{energies}} are endowed with a direct physical interest, describing various processes occurring in the active space (removal/addition {{of one or two}} electrons, electronic excitations). It is shown that the <b>zero</b> <b>order</b> energies related to the process of removal of an electron from the active space provide a reasonable and cheap approximation to the vertical ionization potentials. The <b>zero</b> <b>order</b> energies referring to the process of an electronic excitation within the active space can also provide a first approximation to electronic transition energies, provided that a careful choice of the active molecular orbitals is performed. Test calculations have been carried out on the molecules N 2 and H 2 CO...|$|R
