1|70|Public
50|$|<b>Top</b> <b>Burner</b> <b>Pilot</b> - {{could be}} used as a warming burner.|$|E
40|$|Based on the {{existing}} biomass co-firing technologies and the known innate drawbacks of dedicated biomass firing, including slagging, corrosion and the dependence on fuel, {{a new model of}} agro/forestry residue pellets/shreds and coal co-fired in a large Pulverized Coal (PC) furnace was proposed, and the corresponding technical and economic assessments were performed by co-firing testing in a 300 MW PC furnace and discounted cash flow technique. The developed model is more dependent on injection co-firing and combined with co-milling co-firing. Co-firing not only reduces CO 2 emission, but also does not significantly affect the fly ash use in cement industry, construction industry and agriculture. Moreover, economic assessments show that in comparison with dedicated firing in grate furnace, agro/forestry residues and coal co-firing in a large PC furnace is highly economic. Otherwise, when the co-firing ratio was below 5 wt%, the boiler co-firing efficiency was 0. 05 %– 0. 31 % higher than that of dedicated PC combustion, and boiler efficiencies were about 0. 2 % higher with agro/forestry residues co-firing in the bottom and <b>top</b> <b>burner</b> systems than that in a middle burner system...|$|R
40|$|The {{effect of}} ambient {{pressure}} on spray flames is investigated {{by means of}} two-dimensional direct numerical simulation (DNS), and the validity of an extended flamelet/progress-variable approach (EFPV) is examined under the high-pressure condition. The DNS is performed not only for a simple jet spray flame with a <b>pilot</b> <b>burner</b> but also for a lifted recirculation spray flame without any <b>pilot</b> <b>burner</b> at ambient pressures of 0. 1 and 0. 5 MPa. n-decane (C[10]H[22]) is used as liquid spray fuel, and the evaporating droplets’ motions are tracked by the Lagrangian method. The {{results show that the}} behaviors of jet and lifted recirculation spray flames are strongly affected by ambient pressure. The effects of the change of the ambient pressure on these spray flame behaviors can be well captured by EFPV and EFPV coupled with G-equation model (EFPV-G), respectively...|$|R
40|$|Combustion {{simulations}} {{were conducted}} to evaluate the technical feasibility of using a waste-based syngas as a supplemental fuel in a 70, 000 kg/h-steam coal-fired boiler. The syngas was either co-fired with coal at the burners or injected downstream as a reburning fuel under both fuel lean and conventional (fuel rich) reburning configurations. Sensitivity of syngas heat input and furnace stoichiometry were examined. Results indicated that the syngas was an effective reburning fuel although it contained less than 6 % hydrocarbons. NOx reductions from 12 – 46 % were predicted for different reburning configurations; the highest NOx reduction of 46 % was achieved with 23 % heat input under a conventional reburning configuration. Furnace LOI increased over baseline values for all but one reburning configuration. The highest LOI came from the <b>top</b> <b>burner</b> row in all cases. Results suggested the LOI increase due to reburning might be mitigated by biasing more air to the upper burners to enhance particle burnout. Predictions indicated co-firing syngas at the burner centerline was not beneficial as it resulted in poor combustion of the coal particles and high LOI and CO emissions. Simulation results also indicated that {{minor changes to the}} syngas composition do not significantly affect the performance of syngas reburning...|$|R
40|$|Design {{work has}} been {{completed}} for a Gas Reburning-Sorbent Injection (GR-SI) system to reduce emissions of NO{sub x} and SO{sub 2 } from a wall fired unit at Central Illinois Light Company`s Edwards Station Unit 1, located in Bartonville, Illinois. The goal {{of the project was}} to reduce emissions of NO{sub x} by 60 %, from the as found baseline of 0. 98 lb/MBtu and to reduce emissions of SO{sub 2 } by 50 %. Since the unit currently fires a blend of high sulfur Illinois coal and low sulfur Kentucky coal to meet an SO{sub 2 } limit of 1. 8 lb/MBtu, the goal at this site was amended to meeting this limit while increasing the fraction of high sulfur coal to 57 % from the current 15 % level. GR-SI requires injection of natural gas into the furnace {{at the level of the}} <b>top</b> <b>burner</b> row, creating a fuel-rich zone in which NO{sub x} formed in the coal zone is reduced to N{sub 2 }. Recycled flue gas is used to increase the reburning fuel jet momentum, resulting in enhanced mixing. Recycled flue gas is also used to cool the <b>top</b> row of <b>burners</b> which would not be in service during GR operation. Dry hydrated lime sorbent is injected into the upper furnace to react with SO{sub 2 }, forming solid CaSO{sub 4 } and CaSO{sub 3 }, which are collected by the ESP. The system was designed to inject sorbent at a rate corresponding to a calcium (sorbent) to sulfur (coal) molar ratio of 2. 0. The SI system design was optimized with respect to gas temperature, injection air flow rate, and sorbent dispersion. Sorbent injection air flow is equal to 3 % of the combustion air. The design includes modifications of the ESP, sootblowing, and ash handling systems...|$|R
40|$|Smoke density {{studies on}} twelve {{cellulosic}} and five synthetic materials using the Arapahoe and NBS smoke chambers show an empirical relationship between smoke weight as per cent of initial {{weight in the}} Arapahoe test and maximum specific optical density under piloted conditions in the NBS test. The NBS optical density data under piloted conditions exhibited sensitivity to test artifacts such as type of <b>pilot</b> <b>burner...</b>|$|R
40|$|Catalytic {{combustion}} is {{an efficient}} method to reduce pollutant emissions {{produced by a}} variety of fuels. In this thesis, the use of iron pentacarbonyl (Fe(CO) 5) as a catalyst precursor in the combustion of natural gas is experimentally studied. The counter-flow diffusion flame burner is employed as the experimental apparatus. The products of combustion are analyzed by using a Gas Chromatograph (GC) to quantitate the effects of adding the catalyst. The experimental setup is such that a mixture of methane (CH 4) and nitrogen (N 2) is fed from the bottom burner while a mixture of oxygen (O 2) and air is supplied from the <b>top</b> <b>burner.</b> The combustion of natural gas without catalyst is first characterized. The oxidizer and fuel flow parameters are set up so that a stable, flat blue flame is formed close to the centre plane between the two burners upon ignition. The experimental results agree with the literature data and the numerical predictions from CHEMKIN software. To investigate and evaluate the performance of iron-containing catalysts on emission reduction, a small amount of separated nitrogen flow is used to carry iron pentacarbonyl into the flame through the central port of the fuel-side burner. Catalytic combustion produces an orange flame. Compared with the non-catalytic combustion data, it is found that carbon monoxide (CO) and soot precursor acetylene (C 2 H 2) are reduced by 80 % to 95 % when 7453 ppm iron pentacarbonyl is added...|$|R
40|$|Data on {{the effect}} of several {{combustion}} modifications on the for-math of nitrogen oxides and on boiler efficiency were acquired and analyzed for a 110 MW gas fired utility boiler. The results from the study showed that decreasing the oxygen in the flue gas from 2. 2 % to 0. 6 % reduced the NO, formation by 33 % and also gave better boiler efficiencies. Flue gas recirculation through the bottom of the fire 4 mx WBS founb to be Ineffective. Staged combustion was found to reduce the NO, emlssions by as much as 55 % while decreasing the efficiency by about 5 %. Adjustment of the burner air registers reduced the NO, formation by about 20 ppm. The lowest NO, emisdons of 42 ppm (at about 3 % 02) in the stack was obtained for air only to one <b>top</b> <b>burner</b> and 0. 5 % oxygen in the flue gas. The reduction of nitrogen oxides (NO,) emissions from steam boilers has been under study for several years. The NO, from boilers consist almost entirely of nitric oxide (NO) and nitrogen dioxide (N 02) with NO 2 usually only l or 2 % of the total. After leaving the stack, the NO eventually combines with atmospheric oxygen to form NOp. The Environmental Protection Agency has sponsored several studies 1 -I 0 on reducing NO, emissions while maintaining thermal efficiency of boilers. Other studies have been sponsored by The Electric Power Research Institute (EPRI) " and Argonne Nationa...|$|R
40|$|This {{final report}} {{describes}} a 2000 - 2003 {{program for the}} development of components and processes to enhance the commercialization of ultra-low emissions catalytic combustion in industrial gas turbines. The range of project tasks includes: development of more durable, lower-cost catalysts and catalytic combustor components; development and design of a catalytic pre-burner and a catalytic <b>pilot</b> <b>burner</b> for gas turbines, and on-site fuel conversion processing for utilization of liquid fuel...|$|R
40|$|This paper {{presents}} {{the application of}} several optical measurement techniques for the characterization of the combustion behavior of the <b>pilot</b> <b>burner</b> of a gas turbine combustor developed according to the lean premixed prevaporized concept. The vaporization of the kerosene fuel (Jet-A) injected by a pilot spray and its consequent mixing with air has been visualized using combined laser-induced fluorescence and Mie scattering measurements. The laser-induced fluorescence/Mie measurements {{can be used to}} estimate the length and time scales for evaporation and mixing with air of kerosene (Jet-A) for the lean, premixed, and prevaporized <b>pilot</b> <b>burner.</b> In addition, the feasibility of using laser-induced incandescence for soot characterization has been investigated. Finally, spontaneous flame emission (i. e., chemiluminescence and thermal radiation) have been measured providing information on the overall characteristics of the combustion. This work was supported by the European Union through the project entitled Low Pollutant Combustor Technology Program (LOPOCOTEP Contract G 4 RD-CT- 2001 - 00447) and via the European Union (EU) Large Scale Facility in Combustion at Lund. Peer reviewe...|$|R
40|$|Oxides of {{nitrogen}} (NOx), carbon monoxide (CO) and other combustion by-products of gas turbines {{have long been}} identified as harmful atmospheric pollutants {{to the environment and}} humans. Various government agencies place restrictions on emissions and often require some sort of emissions monitoring even for new low emission gas turbines. Predicting actual emissions from operating parameters that affect the formation of pollutants, called parametric emissions monitoring system (PEMS), has potential economic advantages compared to a continuous emissions monitoring system (CEMS). The problem is that a simple applicable PEMS does not exist. During this study, a gas turbine combustor model applying first engineering principles was developed to predict the emission formation of NOx and CO in a gas turbine. The model is based on a lean-premixed combustor with a main and <b>pilot</b> <b>burner</b> including the function of a bleeding air valve. The model relies on ambient condition and load. The load is expressed {{as a percentage of the}} target speed of the gas producer turbine. Air flow and fuel flow for the main and <b>pilot</b> <b>burner</b> are calculated by the mode...|$|R
50|$|A {{pilot light}} {{is a small}} gas flame, usually natural gas or {{liquefied}} petroleum gas, which serves as an ignition source for a more powerful gas <b>burner.</b> Originally, a <b>pilot</b> light was kept permanently alight; however, this is wasteful of gas. Now it is more common to light a burner electrically, but gas pilot lights are still used when a high energy ignition source is necessary, as in when lighting a large burner.|$|R
50|$|The name Cloudhopper {{is often}} used to refer to a one-person hot air balloon where the pilot sits in a harness or small seat. There is often a propane tank behind the pilot's back, and the burner is on a frame above the pilot's head. Often the balloon's <b>burner,</b> tank, and <b>pilot's</b> harness can swivel {{independently}} of the hot air balloon envelope, to let the pilot turn to any direction in flight and for landing.|$|R
40|$|The Holden {{gas-fired}} furnace {{is used in}} the {{enriched uranium}} recovery process to dry and combust small batches of combustibles. The ash is further processed. The furnace operates by allowing a short natural gas flame to burn over the face of a wall of porous fire brick on two sides of the furnace. Each firing wall uses two main <b>burners</b> and a <b>pilot</b> <b>burner</b> to heat the porous fire brick to a luminous glow. Regulators and orifice valves are used to provide a minimum gas pressure of 4 in. water column at a rate of approximately 1, 450 scf/h to the burners. The gas flow rate was calculated by determining the gas flow appropriate for the instrumentation in the gas line. Observed flame length and vendor literature were used to calculate <b>pilot</b> <b>burner</b> gas consumption. Air for combustion, purging, and cooling is supplied by a single blower. Rough calculations of the air-flow distribution in piping entering the furnace show that air flow to the burners approximately agrees with the calculated natural gas flow. A simple on/off control loop is used to maintain a temperature of 1, 000 F in the furnace chamber. Hoods and glove boxes provide contamination control during furnace loading and unloading and ash handling. Fan EF- 120 exhausts the hoods, glove boxes, and furnace through filters to Stack 33. A review of the furnace safety shows that safety is ensured by design, interlocks, procedure, and a safety system. Recommendations for safety improvements include installation of both a timed ignition system and a combustible-gas monitor near the furnace. Contamination control in the area could be improved by redesigning the loading hood face and replacing worn gaskets throughout the system. 33 refs., 16 figs...|$|R
50|$|To relight the <b>burner</b> if the <b>pilot</b> light {{goes out}} and the {{optional}} piezo ignition fails, the pilot should have ready access to a means of backup ignition, such as a flint spark lighter. Many systems, especially those that carry passengers, have completely duplicate fuel and burner systems: two fuel tanks, connected to two separate hoses, which feed two distinct burners. This enables a safe landing {{in the case of}} a blockage somewhere in one system or if a system must be disabled because of a fuel leak.|$|R
5000|$|The burner {{is a small}} brass cup {{that looks}} and {{functions}} similar to a beverage-can stove. Fuel is poured into the burner and ignited. The heat from the flame causes the fuel to vaporize, forcing it out of 23 or 24 jets around the <b>top</b> of the <b>burner,</b> and producing a steady cooking flame. The burner includes a removable [...] "simmer ring", which partially blocks the flame {{in order to reduce}} heat output and threaded lid.|$|R
40|$|Plating of Neurospora conidia or ascospores {{is often}} {{accomplished}} using a glass spreader to distribute suspended cells on the agar surface. See How to plate conidia and ascospores. Spreaders are commonly made of 3 mm diameter soft glass rod with a 70 ° bend 50 mm {{from one end}} (Davis and de Serres 1970). These are sturdy and suitable for reuse. Common practice is to sterilize the spreader between using it for different spore samples by dipping it in alcohol and flaming to burn off the excess alcohol. This kills conidia. Ascospores, however, are large, thick-walled, and heat-resistant, and the procedure does not ensure that all ascospores adhering to the spreader will be killed (Newmeyer and Wallace 1971). It is imperative, therefore, that an already used spreader be replaced with a sterile spreader whenever ascospores from different crosses are to be plated one after another. Spreaders handmade from disposable Pasteur pipettes provide a convenient alternative to the conventional spreaders made of glass rod. Procedure Disposable Pasteur pipets 23 cm long are suitable. (VWR Scientific Catalog No. 14572 - 380. Flint glass. Outside dimension of body, 7 mm; OD of 12 cm-long capillary stem, ~ 1. 5 mm.) Pipets are sterilized in a hot-air oven. Each spreader is made just before use. A pipet is brought carefully toward a small flame (Bunsen <b>Burner</b> <b>pilot</b> or alcohol lamp) until the long, thin stem melts at a selected point and the distal portion bends downward {{as a result of}} gravity. The angle at which it solidifies depends on how the pipette is held. A second bend, made quickly and easily, can shape the capillary tip into a straight, 4 - or 5 -cm-long interval suitably angled for spreading. There is no need to dip in alcohol or to flame before using. Each newly made spreader is discarded after use. Because the capillary portion of the Pasteur pipet is thinner than the solid glass rod of conventional spreaders, cells are spread more evenly and are not concentrated in the water film that is formed by surface tension if a spreader is picked up before liquid has been completely imbibed...|$|R
40|$|Fuel staging between pilot- {{and main}} burner {{can reduce the}} {{pollutant}} emissions significantely when the main zone is designed for low emissions. The use of a low emission combustion concept for the pilot zone {{has the potential of}} diminishing the production of pollutants. The emphasis in this contribution is placed upon the mixing process of the Rich-Quench-Lean pilot combustor, being the key to low NOx production. A numerical study of the mixing process of the non reacting strongly swirling <b>pilot</b> <b>burner</b> flow with secondary and cooling flow has been performed. An optimized geometry of the mixing zone was established...|$|R
50|$|Cameron Balloons {{had been}} {{producing}} hot air balloons {{for five years}} when they designed the world's first hot air airship or thermal airship. This, the D-96, has {{much in common with}} the balloons, being a non-rigid airship, covered in a nylon fabric and with a propane burner to feed hot air into the envelope from a gondola suspended below it. However, it has the elongated body shape of conventional helium and hydrogen filled airships, airscrew propulsion and stabilizing tailfins. With a length to minimum diameter ratio of only about 2.5, the envelope is fatter than that of many airships. The D-96 is powered a 1.6 L Volkswagen engine, modified to run on propane so that engine and burner use the same fuel. Mounted {{at the rear of the}} gondola, this drives a large diameter, partly shrouded propeller. This gondola carries propane fuel and a double <b>burner,</b> the <b>pilot</b> and up to two passengers. Hot air is guided into the envelope by a small, funnel-like extension above the burners.|$|R
40|$|An optimum {{configuration}} of the hybrid/dual swirl jet combustor for a micro-gas turbine was investigated experimentally. Location of pilot nozzle, angle and direction of swirler vane were varied systematically as main parameters under the conditions of constant thermal load. The {{results showed that the}} variation in locations of inner fuel nozzle and <b>pilot</b> <b>burner</b> resulted in significant change in flame shape and swirl intensity due to the changes in recirculating flow pattern and minimum flow area near burner exit, in particular, with the significant reduction of CO emission near lean-flammability limit. In addition, it was observed that the co-swirl configuration produced less CO and NOx emissions compared to the counter-swirl configuration...|$|R
2500|$|Some {{combined}} main <b>burner</b> and <b>pilot</b> gas valves (mainly by Honeywell) {{reduce the}} power demand to {{within the range}} of a single universal thermocouple heated by a pilot (25 mV open circuit falling by half with the coil connected to a 10–12 mV, 0.2–0.25 A source, typically) by sizing the coil to be able to hold the valve open against a light spring, but only after the initial turning-on force is provided by the user pressing and holding a knob to compress the spring during lighting of the pilot. These systems are identifiable by the [...] "press and hold for x minutes" [...] in the pilot lighting instructions. (The holding current requirement of such a valve is much less than a bigger solenoid designed for pulling the valve in from a closed position would require.) Special test sets are made to confirm the valve let-go and holding currents, because an ordinary milliammeter cannot be used as it introduces more resistance than the gas valve coil. Apart from testing the open circuit voltage of the thermocouple, and the near short-circuit DC continuity through the thermocouple gas valve coil, the easiest non-specialist test is substitution of a known good gas valve.|$|R
40|$|The {{purpose of}} this thesis was to design a new culinary {{experience}} to gather people together and make the cooking and dining activities more socialized, interactive and joyful. A-Round is a modular culinary table that can satisfy user’s specific needs in regard to different social aspects by changing {{the elements of the}} middle part of the table (<b>burner</b> <b>top,</b> storage tray, serving tray, table top, etc.). The round shape semantically reduces the distance between people and gathers them together. By changing behaviors of users and offering resources around the dining area, this product not only functionally improves the culinary process, but also emotionally enhances the cooking and dining experience...|$|R
40|$|The role of {{multiple}} vortices in the flame stabilization process of a 4 inlet side dump ramjet was determined. Very rich propane air mixtures were injected {{at the head}} to simulate a gas generator ramjet. Swirl was introduced by canting the inlets at the dump station. The inlet angle, swirl angle, and {{the distance of the}} head from the dump station were varied over a wide range to determine the importance of the vortices located at the dump stations and at the head. It is shown that with proper design, the vortex at the head can be made to perform as a <b>pilot</b> <b>burner</b> allowing a great deal of versatility of operation and it appears to provide all the criteria of pollution free operation...|$|R
50|$|The burner unit gasifies liquid propane, mixes it with air, ignites the mixture, {{and directs}} the flame and exhaust {{into the mouth}} of the envelope. Burners vary in power output; each will {{generally}} produce 2 to 3 MW of heat (7 to 10 million BTUs per hour), with double, triple, or quadruple burner configurations installed where more power is needed. The <b>pilot</b> actuates a <b>burner</b> by opening a propane valve, known as a blast valve. The valve may be spring-loaded so that it closes automatically, or it may stay open until closed by the <b>pilot.</b> The <b>burner</b> has a <b>pilot</b> light to ignite the propane and air mixture. The pilot light may be lit by the pilot with an external device, such as a flint striker or a lighter, or with a built-in piezo electric spark.|$|R
40|$|Master of ScienceDepartment of Mechanical and Nuclear EngineeringKirby S. ChapmanOxides of {{nitrogen}} (NOx), carbon monoxide (CO) and other combustion by-products of gas turbines {{have long been}} identified as harmful atmospheric pollutants {{to the environment and}} humans. Various government agencies place restrictions on emissions and often require some sort of emissions monitoring even for new low emission gas turbines. Predicting actual emissions from operating parameters that affect the formation of pollutants, called parametric emissions monitoring system (PEMS), has potential economic advantages compared to a continuous emissions monitoring system (CEMS). The problem is that a simple applicable PEMS does not exist. During this study, a gas turbine combustor model applying first engineering principles was developed to predict the emission formation of NOx and CO in a gas turbine. The model is based on a lean-premixed combustor with a main and <b>pilot</b> <b>burner</b> including the function of a bleeding air valve. The model relies on ambient condition and load. The load is expressed {{as a percentage of the}} target speed of the gas producer turbine. Air flow and fuel flow for the main and <b>pilot</b> <b>burner</b> are calculated by the model based on the load through a set of measured input data for a specific gas turbine. To find the combustion temperature characteristics, the combustor is divided into several zones. The temperature for each zone is calculated by applying an energy balance. To predict NOx and CO, several correlations explored by various researchers are used and compared against each other, using the calculated temperatures, pressures and equivalence ratios. A comparison between collected emissions examples from a turbine test cell data spreadsheet and predicted emissions by the developed model under the same conditions show a highly accurate match for NOx emission at any load. Because of the high variation of CO at part load, the model predictions only match the CO data set at full load...|$|R
40|$|A {{necessary}} {{requirement for}} advancing {{the calculation of}} turbulent spray flames is the provision of reliable data taken in model burners with known and relatively simple boundary conditions. While such a burner is made available in this project, measurements are not abundant due {{to the difficulty of}} performing advanced laser diagnostics in spray flows. This paper presents images of OH collected using Laser Induced Fluorescence (LIF) in flames with different spray loadings. The key issue addressed here is whether flame fronts wrap around single droplets or engulf droplet clouds. The use of LIF-OH is convenient as the hydroxyl radical is easy to image and a rather good indicator of the flame front. The flame is stabilised to the <b>burner</b> using a <b>pilot</b> and the liquid fuel used is ethanol. Measurements are made close to the burner’s exit plane where droplets are still relatively large but the flame is stable due to the existence of the pilot...|$|R
