1|10000|Public
50|$|Suppose we need <b>to</b> <b>square</b> <b>a</b> <b>number</b> x near 50. This number may be {{expressed}} as x = 50 &minus; n, {{and hence the}} answer x2 is (50−n)2, which is 502 − 100n + n2. We know that 502 is 2500. So we subtract 100n from 2500, and then add n2. Example, say we want to square 48, which is 50 &minus; 2. We subtract 200 from 2500 and add 4, and get x2 = 2304. For numbers larger than 50 (x = 50 + n), add n a hundred times instead of subtracting it.|$|E
40|$|Ultra-fast {{science is}} an {{important}} new research frontier that is driving the development of novel sources for generation of extremely short x-ray and electron pulses. Recent advances in femtosecond lasers have stimulated development of femtosecond x-ray sources that allow the study of matter at the time scale shorter than period of oscillations of atoms in molecules, {approx} 100 fs. The next breakthrough would {{be a source of}} electron pulses comparable with atomic periods {omega}{sup - 1 } {approx} 100 attosecond (10 {sup - 16 } s), where {omega} is a transition frequency between atomic levels. This will open qualitatively new class of phenomena based on the interaction of atomic electrons in the medium with a collective electric field of electron pulses and not with their individual electrons. For example, one can expect coherent ionization losses that are proportional <b>to</b> <b>a</b> <b>square</b> <b>number</b> of electrons in the microbunch, phase synchronized excitation of medium followed by its relaxation with a radiation of a single-cycled optical pulse, excitation of entanglement states in the medium of atoms with few valence electrons, and possibly other new phenomena, yet to be identified. Simple estimation of coherent ionization losses shows that a 100 MeV, 100 attosecond electron pulse containing 10 {sup 5 } electrons will lose its total energy after propagating only {approx} 200 {micro}m through liquid hydrogen. This is approximately 104 times shorter stopping range than it is for a long (on atomic scale) electron bunch...|$|R
50|$|In geometry, Monsky's theorem {{states that}} it is not {{possible}} <b>to</b> dissect <b>a</b> <b>square</b> into <b>an</b> odd <b>number</b> of triangles of equal area.In other words, <b>a</b> <b>square</b> does not have an odd equidissection.|$|R
50|$|The term <b>to</b> <b>square</b> <b>a</b> yard is {{used when}} sailing a square-rigged ship.|$|R
50|$|Sixth {{powers are}} also formed by {{multiplying}} <b>a</b> <b>number</b> by its fifth power, the <b>square</b> of <b>a</b> <b>number</b> by its fourth power, or the cube of <b>a</b> <b>number</b> by itself,by taking <b>a</b> <b>square</b> <b>to</b> the third power, or by <b>squaring</b> <b>a</b> cube.|$|R
50|$|Filming for {{the series}} took place mainly in Doksany, 30 {{kilometres}} north-west of Prague, where <b>a</b> Parisian <b>square,</b> <b>a</b> <b>number</b> of streets and the musketeers garrison were constructed. A disused convent had additional sets constructed including taverns, bedrooms and mortuary.|$|R
50|$|In the <b>square</b> <b>a</b> <b>number</b> {{of water}} {{chambers}} {{have been constructed}} in which water is pumped around. From the five wells, fitted with barred concrete lid, you hear water gurgle and splash of an association with the former city well.|$|R
50|$|We {{also have}} a {{reduction}} in the other direction; obviously, if we can multiply two <b>numbers,</b> we can <b>square</b> <b>a</b> <b>number.</b> This seems <b>to</b> imply that these two problems are equally hard. This kind of reduction corresponds to Turing reduction.|$|R
5000|$|The {{computation}} of {{the script}} is done in its #compute method. For example, <b>to</b> calculate the <b>square</b> of <b>a</b> <b>number,</b> the scriptcompute"returns the <b>square</b> of <b>a</b> number"^ self arg1 valueItem squared ...|$|R
50|$|However, {{despite having}} so few squares or other powers, Pell <b>numbers</b> have <b>a</b> close {{connection}} <b>to</b> <b>square</b> triangular numbers. Specifically, these numbers {{arise from the}} following identity of Pell numbers:The left side of this identity describes <b>a</b> <b>square</b> <b>number,</b> while the right side describes <b>a</b> triangular <b>number,</b> so the result is <b>a</b> <b>square</b> triangular <b>number.</b>|$|R
5000|$|In other words, the <b>square</b> of <b>a</b> <b>number</b> is the <b>square</b> of its {{difference}} from fifty added {{to one hundred}} times the difference of the number and twenty five. For example, <b>to</b> <b>square</b> 62, we have: ...|$|R
2500|$|In mathematics, <b>a</b> <b>square</b> {{triangular}} <b>number</b> (or triangular <b>square</b> <b>number)</b> is <b>a</b> <b>number</b> {{which is}} both <b>a</b> triangular <b>number</b> and <b>a</b> perfect <b>square.</b>|$|R
5000|$|He used q-series {{to prove}} that any natural number can be {{represented}} as a sum of <b>an</b> even <b>square</b> and two triangular numbers. He conjectured, and proved with B.-K. Oh, that each positive integer can be represented as a sum of <b>a</b> <b>square,</b> <b>an</b> odd <b>square</b> and <b>a</b> triangular <b>number.</b> In 2009, he conjectured that any natural number can be written as the sum of two <b>squares</b> and <b>a</b> pentagonal <b>number,</b> as the sum of <b>a</b> triangular <b>number,</b> <b>an</b> even <b>square</b> and <b>a</b> pentagonal <b>number,</b> and as the sum of <b>a</b> <b>square,</b> <b>a</b> pentagonal <b>number</b> and <b>a</b> hexagonal number.He also raised many open conjectures on congruences and posed over 100 conjectural series for powers of [...]|$|R
50|$|Many {{functions}} do {{not have}} a unique inverse. For instance, while <b>squaring</b> <b>a</b> <b>number</b> gives <b>a</b> unique value, there are two possible <b>square</b> roots of <b>a</b> positive <b>number.</b> The <b>square</b> root is multivalued. One value can be chosen by convention as the principal value; {{in the case of the}} square root the non-negative value is the principal value, but there is no guarantee that the square root given as the principal value of the <b>square</b> of <b>a</b> <b>number</b> will be equal to the original number; e.g. the principal square root of the square of −2 is 2.|$|R
50|$|Other dissections are {{intended}} to move between a pair of geometric shapes, such as <b>a</b> triangle <b>to</b> <b>a</b> <b>square,</b> or <b>a</b> <b>square</b> <b>to</b> <b>a</b> five-pointed star. A dissection puzzle of this description is the haberdasher's problem, proposed in 1907 by Henry Dudeney. The puzzle is a dissection of <b>a</b> triangle <b>to</b> <b>a</b> <b>square,</b> in only four pieces. It {{is one of the}} simplest regular polygon <b>to</b> <b>square</b> dissections known, and is now a classic example. It is not known whether a dissection of an equilateral triangle <b>to</b> <b>a</b> <b>square</b> is possible with three pieces.|$|R
25|$|The {{left side}} of this {{identity}} describes <b>a</b> <b>square</b> <b>number,</b> while the right side describes <b>a</b> triangular <b>number,</b> so the result is <b>a</b> <b>square</b> triangular <b>number.</b>|$|R
2500|$|... {{consider}} the function that computes the <b>square</b> of <b>a</b> <b>number.</b> We might ...|$|R
5000|$|The eight blocks {{surrounding}} the <b>square</b> contain <b>a</b> <b>number</b> of downtown buildings: ...|$|R
5000|$|First, compute [...] Then {{determine}} the different prime factors of , say p1, ..., pk. Now, for every element m of Zn*, compute using a fast algorithm for modular exponentiation such as exponentiation by <b>squaring.</b> <b>A</b> <b>number</b> m for which these k results are all different from 1 is a primitive root.|$|R
5000|$|... 1089 is the integer after 1088 {{and before}} 1090. It is <b>a</b> <b>square</b> <b>number</b> (33 <b>squared),</b> <b>a</b> nonagonal <b>number,</b> <b>a</b> 32-gonal <b>number,</b> <b>a</b> 364-gonal <b>number,</b> and <b>a</b> {{centered}} octagonal <b>number.</b> 1089 {{is the first}} reverse-divisible number. The next is 2178 (= 1089 × 2 = 8712/4), {{and they are the}} only four-digit numbers that divide their reverse.|$|R
5000|$|In general, if a prime [...] divides <b>a</b> <b>square</b> <b>number</b> [...] {{then the}} square of [...] must also divide if [...] fails to divide , then [...] is {{definitely}} not square. Repeating the divisions of the previous sentence, one concludes that every prime must divide <b>a</b> given perfect <b>square</b> <b>an</b> even <b>number</b> of times (including possibly 0 times). Thus, the <b>number</b> [...] is <b>a</b> <b>square</b> <b>number</b> if and only if, in its canonical representation, all exponents are even.|$|R
25|$|Recall {{that the}} <b>square</b> of <b>an</b> even <b>number</b> is even and the <b>square</b> of <b>an</b> odd <b>number</b> is odd. So if {{the square of}} the {{hypotenuse}} is even the hypotenuse is even as well.|$|R
50|$|The town boasts two notable churches, several public <b>squares,</b> and <b>a</b> <b>number</b> {{of hotels}} and restaurants.|$|R
50|$|The <b>square</b> has <b>a</b> <b>number</b> of notable buildings, {{many with}} {{distinguished}} connections marked by blue plaques.|$|R
5000|$|An {{easy way}} <b>to</b> {{approximate}} the <b>square</b> root of <b>a</b> <b>number</b> {{is to use}} the following equation: ...|$|R
5000|$|... #Caption: [...] "Mathemagician" [...] Arthur T. Benjamin <b>squaring</b> <b>a</b> five-digit <b>number</b> in {{his head}} at the WSF Street Fair ...|$|R
