1|63|Public
5000|$|... #Caption: <b>Tax</b> <b>territory</b> of Finnmark, {{stretching}} over the Cap of the North ...|$|E
40|$|Senate Amendment 38. Amends {{constitution}} article XIII, sections 1 and 9, repeals sections 10 and 14 thereof. Declares legislature shall provide {{by general}} law for taxation, classify subjects thereof, designate classes wholly or partly taxable for state, county, municipal and district revenues, same class being uniformly <b>taxed</b> within <b>territory</b> of <b>taxing</b> authority; may make tax {{in lieu of}} other taxes or licenses; tax commission to administer state taxation. Defines exemptions. Declares completed assessments not affected by section. Continues in office present board of equalization members until January 1919 and present duties thereof and existing law until changed...|$|R
50|$|After Adolf's defeat, Lauenburg (Polabenburg) on {{the lower}} Elbe, became the focal point for {{opposition}} to Bernhard's rule. Determined to eliminate the opposition against him in his lands, he levied high <b>taxes</b> on rebellious <b>territories,</b> which led to an attack against Lauenburg and its destruction in 1182, followed by {{the restoration of the}} fortress.|$|R
5000|$|Since Denmark-Norway {{controlled}} the strait between the Baltic Sea and the North Sea, Sweden sought an alternative trade route through sparsely populated Lapland {{to avoid paying}} Denmark's Sound Dues. In 1607, Charles IX of Sweden declared himself [...] "King of the Lapps in Nordland" [...] and began [...] "collecting" [...] <b>taxes</b> in Norwegian <b>territory,</b> even south of Tromsø.|$|R
5|$|Xenophon claims that, {{unwilling to}} {{challenge}} Sparta directly, the Thebans instead choose to precipitate a war by encouraging their allies, the Locrians, to collect <b>taxes</b> from <b>territory</b> claimed by both Locris and Phocis. In response, the Phocians invaded Locris, and ransacked Locrian territory. The Locrians appealed to Thebes for assistance, and the Thebans invaded Phocian territory; the Phocians, in turn, appealed to their ally, Sparta, and the Spartans, {{pleased to have}} a pretext to discipline the Thebans, ordered general mobilization. A Theban embassy was dispatched to Athens to request support; the Athenians voted to assist Thebes, and a perpetual alliance was concluded between Athens and the Boeotian confederacy.|$|R
40|$|AbstractBorderless global trading {{activities}} {{provide opportunities for}} multinational companies (MNCs) to practice tax avoidance and tax evasion. MNCs with tax haven subsidiaries have higher tendency to shift profits to their subsidiaries. Therefore, this study observes the MNCs and their tax characteristics. Out of 60 MNCs, 56 companies have subsidiaries in tax haven. Analysis shows that MNCs with subsidiaries in <b>tax</b> haven <b>territories,</b> reported lesser profits and paid lesser taxes. The findings confirm that MNCs with tax haven advantage, engage in profit shifting more extensively than MNCs without tax haven links. Therefore, this study highlights {{on the need to}} further investigate on this issue to mitigate profit shifting...|$|R
50|$|Xenophon claims that, {{unwilling to}} {{challenge}} Sparta directly, the Thebans instead choose to precipitate a war by encouraging their allies, the Locrians, to collect <b>taxes</b> from <b>territory</b> claimed by both Locris and Phocis. In response, the Phocians invaded Locris, and ransacked Locrian territory. The Locrians appealed to Thebes for assistance, and the Thebans invaded Phocian territory; the Phocians, in turn, appealed to their ally, Sparta, and the Spartans, {{pleased to have}} a pretext to discipline the Thebans, ordered general mobilization. A Theban embassy was dispatched to Athens to request support; the Athenians voted to assist Thebes, and a perpetual alliance was concluded between Athens and the Boeotian confederacy.|$|R
50|$|After {{less than}} a century of Venetian {{occupation}} {{of the land of}} Friuli the discontent caused by heavy privileges practiced by the clergy and nobility started spreading out among the population; to worsen the situation the noble families were in constant war between themselves, which caused an increase of <b>taxes,</b> devastation of <b>territory</b> and a necessity to serve in the master's army.|$|R
50|$|The Council of Europe {{also decided}} to issue reports naming <b>tax</b> havens. Twenty-two <b>territories,</b> {{including}} Monaco, were thus evaluated between 1998 and 2000 on a first round. Monaco is the only territory that refuses to perform the second round, initially forecast between 2001 and 2003, whereas the 21 other territories are implementing the third and last round, planned between 2005 and 2007.|$|R
50|$|Cartels {{also use}} bribes and {{extortion}} {{as a means}} to keeping their business running. They use the motto “plata o plomo” meaning silver or lead. Give them money and protection or face death. Kidnappings have become an extortion scheme. Many cartels charge a war <b>tax</b> within their <b>territory</b> and if someone can’t or won’t pay the tax, they or a family member is kidnapped until they can pay.|$|R
5000|$|Because of Denmark-Norway's {{dominion}} over the Baltic Sea (dominium maris baltici) and the North Sea, Sweden had {{the intention of}} avoiding paying Denmark's Sound Toll. Swedish king Charles IX's way of accomplishing this {{was to try to}} set up a new trade route through Lapland and northern Norway. In 1607 Charles IX declared himself [...] "King of the Lapps in Nordland", and started collecting <b>taxes</b> in Norwegian <b>territory.</b>|$|R
50|$|The revolt, {{which began}} in September 869, was {{concentrated}} in the districts of Iraq and al-Ahwaz (modern Khuzestan Province) in the central regions of the Abbasid Caliphate. Over {{the course of the}} next fourteen years, the Zanj were able to combat the superior arms of the Abbasid government by waging guerrilla warfare against their opponents. They became adept at raiding towns, villages and enemy camps (often at night), seizing weapons, horses, food and captives and freeing fellow slaves, and burning the rest to cinders to delay retaliation. As the rebellion grew in strength, they also constructed fortresses, built up a navy for traversing the canals and rivers of the region, collected <b>taxes</b> in <b>territories</b> under their control, and minted their own coins.|$|R
5000|$|In 2005 the British Virgin Islands {{introduced}} a payroll tax {{in relation to}} employment and [...] "deemed employment" [...] within the British Virgin Islands. [...] The legislation was brought in {{at the same time}} as income <b>tax</b> in the <b>Territory</b> was reduced to zero. The numbers were not in fact a perfect balance, and the Government (deliberately) reduced the amount of tax revenue it received by moving to the payroll tax system.|$|R
5000|$|Tsang {{unveiled}} his 75-page election platform entitled [...] "Convergence of Hearts, Proactive Enablement" [...] on 6 February, {{with the}} promise of revisiting the possibility of the Article 23 national security legislation with the possibility of relaunching political reform without mentioning the [...] "831 framework". Other policies included introducing a progressive profit <b>tax,</b> developing New <b>Territories</b> North and East Lantau and abolishing all Territory-wide System Assessment (TSA) and Basic Competency Assessment (BCA) tests, among others.|$|R
50|$|A Controlled Foreign Company ("CFC") is {{a company}} {{controlled}} by a UK resident that is not itself UK resident and is subject to a lower rate of <b>tax</b> in the <b>territory</b> {{in which it is}} resident. Under certain circumstances, UK resident companies that control a CFC pay corporation tax on what the UK tax profits of that CFC would have been. However, because {{of a wide range of}} exemptions, very few companies suffer a CFC charge.|$|R
50|$|Law {{graduates}} {{must then}} earn a 1-year master's degree in law (MCL) (master 1 en droit) and either {{continue in a}} university law school or enroll at a notary institute (centre de formation professionnelle notariale) to earn a second graduate degree in notarial law for which specializations exist, including: conflict of laws, advanced <b>tax</b> law, overseas <b>territories,</b> EU law, struggling businesses, company law, intellectual property, farm tenancy and agri-business, city planning and environmental law, and estate planning.|$|R
50|$|The U.S. Virgin Islands are an {{independent}} customs territory {{from the mainland}} United States and operate largely as a free port. U.S. citizens thus {{do not have to}} clear customs when arriving in the U.S. Virgin Islands, but do when traveling to the mainland. Local residents are not subject to U.S. federal income taxes on U.S. Virgin Islands source income; they pay <b>taxes</b> to the <b>territory</b> equal to what their federal taxes would be if they lived in a state.|$|R
50|$|Governor Brodie {{gave his}} {{address on the}} session's opening day. He began by {{describing}} the territory's financial condition {{was in the best}} condition it had ever been. Despite this he still urged <b>tax</b> reforms. The <b>territory's</b> mines had an assessed value of US$4,442,995 and paid US$178,000 in taxes to county and territorial governments. At the same time estimated annual output from the mines was estimated at $38,700,000. The governor wished to have the assessment methodology changed to base values on the gross output of territorial mines.|$|R
50|$|In {{the early}} 1790s both Governor Miró and his successor, Francisco Luis Héctor de Carondelet, were cool toward {{the idea of}} American {{immigration}} to Missouri. However, {{with the onset of}} the Anglo-Spanish War in 1796, Spain again needed an influx of settlement to defend the region. To that end, Spain began advertising free land and no <b>taxes</b> in Spanish <b>territory</b> throughout American cities, and Americans responded in a wave of immigration. Among these American pioneers was Daniel Boone, who settled with his family after encouragement from the territorial governor.|$|R
5000|$|Canned salmon {{was then}} as the largest {{industry}} in Alaska and produced over 80% of the <b>territory’s</b> <b>tax</b> revenues. The APA wielded considerable clout in the territorial capital Juneau and Washington DC, where the fishery was regulated by the Bureau of Commercial Fisheries in the US Department of Commerce. The absentee control of a major industry and the APA's dominant role provoked resentment among many Alaskans who viewed the industry as greedy, selfish and ruthless. Alaska Territorial Rep. Dan Sutherland reviled the APA as [...] "the great monopolists of Bristol Bay." ...|$|R
50|$|In 426 BC, Spartan general Eurylochus, {{on his way}} to Naupactus, {{arrived to}} Delphi and sent a herald to Amfissa, in order to detach them from Athens and make the Amfissians leave him pass through their lands. The latter were the first to give him hostages and also persuaded the other Locrian cities to do the same, as they were alarmed at the hostility of the {{neighbouring}} Phocians. After the Peloponnesian War the Amfissians were allies to Thebes. In 395 BC, the Thebans encouraged the Amfissians to collect <b>taxes</b> from <b>territories</b> claimed by both Locris and Phocis; in response, the Phocians invaded Locris, and ransacked Locrian territory and its metropolis, Amfissa. As a result, the Amfissians and the rest of Locrians, along with the Thebans, attacked Phocis, and the Phocians, in turn, appealed to their ally, Sparta. These conflicts led to the Corinthian War, with the Amfissians on the side of Athens, Argos, Corinth and Thebes.|$|R
40|$|This paper {{shows how}} the {{distribution}} of the ownership of multinational companies and the labour market conditions, especially the wage formation process, influence the outcome of interjurisdictional tax competition and coordination. In particular, it sets forth that equilibrium corporate tax rate can be negative, being a subsidy to the mobile factor, financed through a tax on the immobile one, and that foreign ownership of companies enables a jurisdiction which behaves non-cooperatively to export its tax burden through a too large tax rate on profits on its <b>territory.</b> <b>tax</b> competition, tax coordination, multinational firm, foreign ownership, labour market, wage formation...|$|R
40|$|After {{the reforms}} {{introduced}} in Spanish {{personal income tax}} (IRPF) in 1998, foral and common <b>territory</b> <b>tax</b> structures present differentiated structures. These normative differences are reviewed {{in the first part}} of the paper. Reforms are analysed by an static microsimulation using a sample from Spanish IRPF Taxpayers Panel. The results show that the Basque design supposes a fiscal pressure by IRPF slightly superior to the one of the common territory, next to a greater degree of progressivity and redistribution. The Navarrese system throws a fiscal pressure similar to the Basque, but with the progressivity and redistributive capacity of the common design, results derived from Kakwani and Reynolds-Smolensky indicators...|$|R
40|$|This diploma thesis {{deals with}} the issues of {{property}} taxes in the Czech Republic focusing on the real estate tax. The first part is devoted to theoretical description of taxes on specifying the property taxes and {{the historical development of}} tax system up to current legislation. In the practical part, there is the analysis of real estate tax in the Czech Republic which is followed by the analysis of property tax system in European Union Area. As a result of researched information there are formulated several recommendations or suggestions about the fairness of real estate <b>tax</b> on the <b>territory</b> of the Czech Republic {{at the end of the}} thesis...|$|R
5000|$|It was {{introduced}} by the Howard Government on 1 July 2000, replacing the previous federal wholesale sales tax system and designed to phase out the various state and <b>territory</b> <b>taxes</b> such as banking taxes, stamp duty and land value tax. While this was the stated intent at the time, the States still charge duty on a various transactions, including {{but not limited to}} vehicle transfers and land transfers, insurance contracts and agreements for the sale of land. Many States, such as Western Australia, have made recent amendments to duties laws to phase out particular duties and clarify existing ones. The Duties Act 2008 (WA) is available online at the Western Australian State Law Publisher ...|$|R
50|$|The Caliphate {{was then}} {{still in its}} first decades, very {{unstable}} politically, and had not yet developed a system of administration able to keep their numerous conquests under control. The main manifestation of Arab power over a region was {{at the same time}} a religious command of Islam: the payment of a <b>tax</b> (for <b>territories</b> under direct rule), or a tribute (for vassal states), by non-believers, called the jizya. Payment of it symbolized submission to the Islamic state, but was also, for the Christians of the Caucasus, a way to avoid new invasions, or punitive expeditions by the Arabs against those who did not pay. In Iberia as in Armenia, revolts against the tribute were frequent during the second half of the 7th century, each time the local nobility and presiding princes felt internal weakness in the Caliphate. The most significant of those uprisings, which engulfed the whole Caucasus region, happened in 681-682, and was led in Georgia by presiding prince Adarnase II. Despite a two-year-long struggle, the revolt was quelled, Adarnase was killed, and the Arabs installed in his place Guaram II of the rival Guaramid Dynasty.|$|R
