1|10000|Public
2500|$|... (b) <b>the</b> <b>country</b> <b>of</b> <b>consignment</b> (i.e. {{from where}} the goods were sold; or, ...|$|E
5000|$|The Festspielhaus St. Pölten (...) is a Festival Theatre in St. Pölten, {{the capital}} of Lower Austria. It is located next to the Landesmuseum (museum <b>of</b> <b>the</b> <b>country</b> <b>of</b> Lower Austria), <b>the</b> Ausstellungshalle (exhibition hall), the Landesbibliothek (public library <b>of</b> <b>the</b> <b>country</b> <b>of</b> Lower Austria), <b>the</b> Landesarchiv (archive <b>of</b> <b>the</b> <b>country</b> <b>of</b> Lower Austria) and the Klangturm in the {{cultural}} district of St. Pölten.|$|R
5000|$|Siva is worshipped in <b>the</b> <b>country</b> <b>of</b> <b>the</b> Kalingas in {{the form}} of a tiger. Siva has an image in <b>the</b> <b>country</b> <b>of</b> <b>the</b> Kalingas that is called Vyaghreswara. (13,17) ...|$|R
50|$|The child's {{rights to}} life, {{survival}} and safety outweighs the child's interests to reunite {{with the family}} in <b>the</b> <b>country</b> <b>of</b> origin. Family reunification cannot take place in <b>the</b> child's <b>country</b> <b>of</b> origin if <b>the</b> immigration authorities in <b>the</b> <b>country</b> <b>of</b> destination grant international protection to the child. In these cases, children {{have a right to}} family reunification in <b>the</b> <b>country</b> <b>of</b> destination or a third <b>country.</b> When <b>the</b> child's application for international protection is rejected, concerns about the child’s safety can still rule out a return to <b>the</b> <b>country</b> <b>of</b> origin for family reunification. This might be because of a high level of general violence that pose risks to the child.|$|R
40|$|The aim of {{this study}} is to examine {{different}} preferences for brand name–country of origin shaped in line with levels of conspicuous consumption tendency and to determine Turkish consumers’ preferences for brand name–country of origin combinations in different product groups. The study was conducted in Eskisehir (Turkey) with a sample of 413 people chosen through convenience sampling. The study data were collected with a questionnaire and face-face-to interviews. The participants’ preferences for brand name-country of origin combinations were determined separately based on four different product groups(hedonic, utilitarian, durable and non-durable). The study showed that, for all the four product groups, the participants preferred the products with a Turkish brand name and Turkey as <b>the</b> <b>country</b> <b>of</b> origin most, followed by the products with a French brand name and France as <b>the</b> <b>country</b> <b>of</b> origin. This finding suggests that, with respect to the four product groups in the study, Turkish consumers preferred domestic products over foreign products. Also, the participants who preferred French brand name-France as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> hedonic product, French brand name-Turkey as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> utilitarian product, French brand name-Turkey as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> durable product and French brand name-France as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> non-durable product were found to have highest tendency of conspicuous consumption in the corresponding product groups. In other words, as the level of conspicuous consumption increased, the participants tended to prefer French brand name-France as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> hedonic product, French brand name-Turkey as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> utilitarian product, French brand name-Turkey as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> durable product and French brand name-France as <b>the</b> <b>country</b> <b>of</b> origin for <b>the</b> non-durable product...|$|R
50|$|Reelected {{mayor of}} Forcalquier and {{chairman}} of district council <b>of</b> <b>the</b> <b>country</b> <b>of</b> Forcalquier and <b>the</b> mountain of Lure in 2008, he is an active actor <b>of</b> <b>the</b> <b>Country</b> <b>of</b> Haute-Provence.|$|R
6000|$|... "So it is," [...] she declared; [...] "but {{there are}} four parts to the Land <b>of</b> Oz. <b>The</b> North <b>Country</b> is purple, and it's <b>the</b> <b>Country</b> <b>of</b> <b>the</b> Gillikins. <b>The</b> East <b>country</b> is blue, and that's <b>the</b> <b>Country</b> <b>of</b> <b>the</b> Munchkins. Down at the South is <b>the</b> red <b>Country</b> <b>of</b> <b>the</b> Quadlings, and here, in the West, <b>the</b> yellow <b>Country</b> <b>of</b> <b>the</b> Winkies. This is the part that is ruled by the Tin Woodman, you know." ...|$|R
50|$|<b>The</b> <b>country</b> {{designation}} <b>of</b> {{each team}} {{is determined by}} <b>the</b> <b>country</b> <b>of</b> registration <b>of</b> <b>the</b> largest number of its riders, and is not necessarily <b>the</b> <b>country</b> where <b>the</b> team is registered or based.|$|R
5000|$|His {{best known}} work is Orhipean, a didactic work on history, geography, customs, {{originally}} written in Euskera and later translated into Spanish, with two editions: From the Orhy. Know <b>the</b> <b>country</b> <b>of</b> Euskara (1996) and Orhypean. <b>The</b> <b>country</b> <b>of</b> Euskara (2005); To English, Orhypean. <b>The</b> <b>Country</b> <b>of</b> Basque (2006), to the French, Orhypean. Le pays de la langue basque (2010) [...] and Catalan, Orhypean. <b>The</b> <b>country</b> <b>of</b> <b>the</b> Basque region (2012)In 2009, Basque was published : its language through history the Castilian version of Euskara Jendea , an approximation {{to the evolution}} of the language of the Basques throughout history.|$|R
40|$|Appeared at {{intervals}} during 1903 and 1904 in the Pall Mall magazine. " [...] Foreword. <b>The</b> <b>country</b> <b>of</b> George Meredith. [...] <b>The</b> <b>country</b> <b>of</b> Stevenson. [...] Dickens-land. [...] Scott-land. [...] <b>The</b> <b>country</b> <b>of</b> George Eliot. [...] Thackeray-land. [...] <b>The</b> Brontë <b>country.</b> [...] Aylwin-land. [...] <b>The</b> Carlyle <b>country.</b> [...] <b>The</b> literary {{geography of the}} English lakes. [...] The literary geography of the Thames. [...] The literary geography of the Lake of Geneva. Mode of access: Internet...|$|R
40|$|The Euro Area {{remains a}} {{well-known}} monetary union in the World. But {{the possibilities of}} creation of new monetary unions are discussed. It is spoken about NAFTA (Canada, Mexico and the United States) or MERCOSUR (Argentina, Brazil, Paraguay, Uruguay and Venezuela). The aim {{of this paper is}} to assess the similarity of demand and supply shocks in <b>the</b> <b>countries</b> <b>of</b> NAFTA and MERCOSUR, and to compare it with <b>the</b> <b>countries</b> <b>of</b> <b>the</b> Euro Area. For these aims, correlation and structural vector autoregression methods are used. Methods are based on Blanchard and Quah (1989) and Bayoumi and Eichengreen (1993). We confirm the existence of core states and periphery states in the Euro Area with some exceptions. If we compare supply and demand shocks, we find more similarity in the case of supply shocks in <b>the</b> <b>countries</b> <b>of</b> <b>the</b> Euro Area. According to <b>the</b> results, <b>the</b> <b>countries</b> <b>of</b> NAFTA are more appropriate for the creation of monetary union than <b>the</b> <b>countries</b> <b>of</b> MERCOSUR. <b>The</b> <b>countries</b> <b>of</b> NAFTA achieve high correlation coefficients of supply and demand shocks (except Mexico for supply shocks) ...|$|R
50|$|In {{the case}} of asylum seekers, {{confidentiality}} rules are observed when information is sought from or transferred to <b>countries</b> <b>of</b> origin. <b>The</b> authorities that receive and assess an asylum application must not inform the authorities <b>of</b> <b>the</b> applicant’s <b>country</b> <b>of</b> origin about <b>the</b> asylum claim and must not share any information about the applicant with <b>the</b> <b>country</b> <b>of</b> origin. Confidentiality rules apply also for <b>the</b> communication with <b>countries</b> <b>of</b> origin that are considered safe. When an asylum application has been rejected and all legal remedies are exhausted, <b>the</b> <b>country</b> <b>of</b> destination is authorised to share limited personal data with <b>the</b> authorities <b>of</b> <b>the</b> <b>country</b> <b>of</b> origin {{in order to facilitate}} return. This may be necessary when the person has no valid identity documents. The fact that the person has applied for asylum must however not be disclosed to the authorities in <b>the</b> <b>country</b> <b>of</b> origin.|$|R
40|$|We {{propose that}} to {{understand}} how rejection perceptions affect immigrants 2 ̆ 7 acculturation orientations, {{we need to take}} account of perceptions of rejection and group identification with both the host society and <b>the</b> <b>country</b> <b>of</b> origin. In line with previous work, we found among Romanians and Moroccan immigrants in France that perceived French rejection directly affected French identification and acculturation orientations. In addition, perceived rejection by <b>the</b> <b>country</b> <b>of</b> origin (Romanians and Moroccans in <b>the</b> <b>country</b> <b>of</b> origin) negatively affected immigrants 2 ̆ 7 identification with this group. In turn, identification with <b>the</b> <b>country</b> <b>of</b> origin positively predicted endorsement of integration and separation orientations, and negatively predicted endorsement of assimilation. Overall, results suggest that identification with <b>the</b> <b>country</b> <b>of</b> origin is an additional important factor in determining acculturation decisions. Copyright (C) 2011 John Wiley & Sons, Ltd...|$|R
50|$|<b>The</b> <b>country</b> <b>of</b> origin {{principle}} is a principle {{in the law}} of the European Union for resolving conflict of laws between Member States. The principle states that, where an action or service is performed in one country but received in another, the applicable law is <b>the</b> law <b>of</b> <b>the</b> <b>country</b> where <b>the</b> action or service is performed. The opposing principle is <b>the</b> <b>country</b> <b>of</b> reception principle. For example, if a sale of goods is made over the Internet from a website in France to a purchaser in Italy, <b>the</b> <b>country</b> <b>of</b> {{origin principle}} would be said to apply if French law applied to the transaction, and <b>the</b> <b>country</b> <b>of</b> reception principle if Italian law prevailed.|$|R
50|$|Some {{concerns}} regarding immigration {{can be found}} in perceived military loyalty, especially if <b>the</b> <b>country</b> <b>of</b> emigration becomes involved in a war with <b>the</b> <b>country</b> <b>of</b> immigration. Particularly if a country finds itself in the need of drafting.|$|R
6000|$|... "You {{said just}} now," [...] said Mr. Allewinde, [...] "that the {{prisoner}} {{agreed to join}} the men assembled at Mrs. Mehan's in ridding <b>the</b> <b>country</b> <b>of</b> Captain Ussher; now what was meant by ridding <b>the</b> <b>country</b> <b>of</b> him?" ...|$|R
5000|$|The Convention {{relies on}} the concept of [...] "country of origin". Often {{determining}} <b>the</b> <b>country</b> <b>of</b> origin is straightforward: when a work is published in a party country and nowhere else, this is <b>the</b> <b>country</b> <b>of</b> origin. However, under Article 5(4), when a work is published simultaneously in several party countries (under Article 3(4), [...] "simultaneously" [...] is defined as [...] "within 30 days" [...] ), <b>the</b> <b>country</b> with <b>the</b> shortest term of protection is defined as <b>the</b> <b>country</b> <b>of</b> origin.|$|R
50|$|In some countries, like Belgium, holding {{stocks of}} foreign {{companies}} implies a double taxation on dividends, once in <b>the</b> <b>country</b> <b>of</b> <b>the</b> company {{and once in}} <b>the</b> <b>country</b> <b>of</b> <b>the</b> stockholder, while domestic stock dividends are taxed only once.|$|R
50|$|A second-generation allochtoon was {{a person}} born in the Netherlands {{with at least one}} parent born in a foreign country. When both parents were born abroad, <b>the</b> <b>country</b> <b>of</b> origin was taken to be that of the mother. If one parent was born in <b>the</b> Netherlands, <b>the</b> <b>country</b> <b>of</b> origin was <b>the</b> other parents <b>country</b> <b>of</b> birth.|$|R
30|$|The {{second round}} focused on {{discussing}} {{advantages and disadvantages}} of mandatory COOL of main ingredients and those of voluntary COOL, how to mark <b>the</b> <b>country</b> <b>of</b> origin of food produced in more than one country and how to guarantee the reliability <b>of</b> information about <b>the</b> <b>country</b> <b>of</b> origin.|$|R
50|$|<b>The</b> <b>country</b> <b>of</b> issue.|$|R
50|$|Draff was Head National Men's Basketball {{coach for}} <b>the</b> <b>country</b> <b>of</b> Kuwait in 1978. He {{served as the}} Olympic Basketball coach for <b>the</b> <b>country</b> <b>of</b> Qatar from 1987-1994. From 1994-2006, he was Head {{basketball}} coach at Al Jahra Sports Club.|$|R
50|$|The Latvian Men's Elite Floorball League (Latvijas vīriešu florbola virslīga) {{is the top}} men's floorball {{league in}} <b>the</b> <b>country</b> <b>of</b> Latvia. There are 12 teams {{participating}} in the league, till 2010 there was one team from <b>the</b> <b>country</b> <b>of</b> Estonia.|$|R
5000|$|Arjuna reached <b>the</b> <b>country</b> <b>of</b> <b>the</b> five waters which swelled with {{population}} and prosperity. From there {{he proceeded to}} <b>the</b> <b>country</b> <b>of</b> Gandharas. Then occurred a fierce battle between Arjuna and the ruler of Gandharas, viz., the son of Shakuni (14,83) ...|$|R
50|$|<b>The</b> <b>countries</b> <b>of</b> <b>the</b> United Kingdom by GVA {{per capita}} sets out the {{gross value added}} per capita (as of 2015) for each <b>of</b> <b>the</b> <b>countries</b> <b>of</b> <b>the</b> United Kingdom as well as {{separate}} figures for the nine English regions.|$|R
40|$|Nowadays, the {{panorama}} of international markets reflects an extremely competitive market, with many available products that stand out {{due to their}} quality, durability and diversification. Consequently, the process of evaluating products is increasingly more complex, due {{to the number of}} factors taken into account in <b>the</b> process. <b>The</b> <b>country</b> <b>of</b> origin effect is one of those factors. <b>The</b> image <b>of</b> a <b>country</b> is directly associated with <b>the</b> <b>country</b> <b>of</b> origin effect and it can be shaped by the behaviour and habits of its society, the performance of its business sectors on international markets, and by the perceptions <b>of</b> foreigners about <b>the</b> <b>country.</b> A positive country image will reflect a positive impact <b>of</b> <b>the</b> <b>country</b> <b>of</b> origin effect, while a negative country image will reflect a negative impact <b>of</b> <b>the</b> <b>country</b> <b>of</b> origin effect. Portugal seems to be affected by a negative country image, but that dynamic seems to be changing. For Portuguese businesses, {{the way in which they}} work with <b>the</b> <b>country</b> <b>of</b> origin will be the difference between the success and failure in the international markets. This thesis aims to identify what is the perception of foreigners about Portugal, the strategies used by Portuguese businesses to generate a positive <b>country</b> <b>of</b> origin effect and understand <b>the</b> impact <b>of</b> <b>the</b> <b>country</b> <b>of</b> origin effect on Portugal. We understood that the case study method was the best method to identify the strategies used by Portuguese businesses to work with <b>the</b> <b>country</b> <b>of</b> origin and determine <b>the</b> impact <b>of</b> <b>the</b> <b>country</b> <b>of</b> origin effect on Portugal. The thesis suggests that the perception about Portugal is improving, generating a positive <b>country</b> <b>of</b> origin effect, supported by the success of Portuguese businesses and businessmen in international markets. The key to success is how companies combine their unique natural resources with the technological innovations and strategic tools available to them...|$|R
