1|22|Public
40|$|Abstract. Let T be an n×n matrix. The {{numerical}} range of T {{is defined as}} the set W(T) = {ξ ∗ Tξ: ξ ∈ C n,ξ ∗ ξ = 1 }. A homogeneous <b>ternary</b> <b>polynomial</b> associated with T is defined as F(t,x,y) = det(tIn +x(T +T ∗) / 2 +y(T −T ∗) /(2 i)). The {{numerical range}} W(T) is the convex hull ofthe real affine partof the dual curve of F(t,x,y,) = 0. We classify the numerical ranges of 4 × 4 matrices according to the singular points of the curve F(t,x,y) = 0. Key words. Numerical range, Homogeneous <b>ternary</b> <b>polynomial,</b> Singular point. AMS subject classifications. 15 A 60, 14 H 45. 1. Introduction. The numerical range W(T) of an n×n complex matrix T was introduced by Toeplitz and defined as the set W(T) = {ξ ∗ Tξ: ξ ∈ C n,ξ ∗ ξ = 1 }. Kippenhahn[11](seealso[20]foranEnglishtranslation) characterizedthisrangefrom a viewpoint of the algebraic curve of the homogeneous <b>ternary</b> <b>polynomial</b> associate...|$|E
40|$|A minimal clone is an atom of the lattice of clones. For a {{prime power}} k we ∞ nsider the base set with k {{elements}} as a finite field GF(k) and express generating functions of minimal clones as polynomials over GF(k). In the joint works with M. Pinsker and T. Waldhauser, {{we have found}} explicitly some polynomials generating minimal clones. In this paper, as a brief summary of those results obtained so far, some binary idempotent <b>polynomials</b> and <b>ternary</b> majority <b>polynomials</b> are pre-sented which generate minimal clones. ...|$|R
40|$|A {{cyclotomic}} polynomial Φ_n(x) {{is said to}} be ternary if n=pqr with p,q and r distinct odd primes. <b>Ternary</b> cyclotomic <b>polynomials</b> are {{the simplest}} ones for which the behaviour of the coefficients is not completely understood. Here we establish some results and formulate some conjectures regarding the coefficients appearing in the polynomial family Φ_pqr(x) with p<q<r, p and q fixed and r a free prime. Comment: To appear in Involve, 23 pages, 7 Tables, Question 5 has been meanwhile answered in the positive by Eugenia Rosu; (extended version, 32 pages...|$|R
40|$|Abstract. <b>Ternary</b> {{cyclotomic}} <b>polynomials</b> are polynomials of {{the form}} Φpqr(z) = ∏ ρ (z − ρ), where p<q<rare odd primes and the product is taken over all primitive pqr-th roots of unity ρ. We show that for every p there exists an infinite family of polynomials Φpqr such that the set of coefficients {{of each of these}} polynomials coincides with the set of integers in the interval [−(p − 1) / 2, (p + 1) / 2]. It is known that no larger range is possible even if gaps in the range are permitted...|$|R
40|$|Taking a {{combinatorial}} {{point of}} view on cyclotomic polynomials leads to a larger class of polynomials we shall call the inclusion-exclusion polynomials. This gives a more appropriate setting for certain types of questions about the coefficients of these polynomials. After establishing some basic properties of inclusion-exclusion polynomials we turn to a detailed study of the structure of <b>ternary</b> inclusion-exclusion <b>polynomials.</b> The latter subclass is exemplified by cyclotomic polynomials Φ_pqr, where p<q<r are odd primes. Our main result is that the set of coefficients of Φ_pqr is simply a string of consecutive integers which depends only on the residue class of r modulo pq. Comment: 12 pages; final version-to appear in Integer...|$|R
40|$|A tensor $T$, {{in a given}} tensor space, {{is said to be}} $h$-identifiable if it admits {{a unique}} {{decomposition}} as a sum of $h$ rank one tensors. A criterion for $h$-identifiability is called effective if it is satisfied in a dense, open subset of the set of rank $h$ tensors. In this paper we give effective $h$-identifiability criteria for a large class of tensors. We then improve these criteria for some symmetric tensors. For instance, this allows us to give a complete set of effective identifiability criteria for <b>ternary</b> quintic <b>polynomial.</b> Finally, we implement our identifiability algorithms in Macaulay 2. Comment: 12 pages. The identifiability criteria are implemented, in Macaulay 2, in the ancillary file Identifiability. m...|$|R
40|$|AbstractLet Fq be {{a finite}} field of {{characteristic}} 2, with q elements. If q⩾ 8 then every polynomial P∈Fq[t] has a strict representation P=A 2 +A+BC, i. e. :max(deg(A 2),deg(B 2),deg(C 2)) <deg(P) + 2. When q⩽ 4 we display the finite list of polynomials {{that are not}} of the above form. More generally, the representation of P by a <b>ternary</b> quadratic <b>polynomial</b> Q(A,B,C) is studied. Furthermore, we show that every polynomial P∈Fq[t] has a strict representation P=A 2 +A+BC+D 3, i. e. :{max(deg(A 2),deg(B 2),deg(C 2)) <deg(P) + 2,deg(D 3) <deg(P) + 3. This is an analogue of a result of Serre: for q odd, every polynomial in Fq[t] is a strict sum of 3 squares, where either q≠ 3, or q= 3 and P is distinct from some finite number of polynomials...|$|R
40|$|AbstractIn {{order to}} {{accurately}} predicting gas emission in coal mines, the complicated nonlinear characteristics of gas emission was analysis, the prediction method was put forward for gas emission based on self-organizing data mining. It was used the <b>ternary</b> quadratic <b>polynomial</b> {{for the local}} function and the original variable was used in each generation, and the minimum deviation principle was used for criteria of model selected. And then, the high-order equation of prediction was established for gas emission by self-organizing data mining method. The fitness relative error of this prediction model was ± 0. 03 % and predictive relative error was ± 1. 45 % to gas emission in coal mine. The results show that: self-organizing data mining method can automatically analyze non-linear relation between the gas emission and the factors, and can be establish the explicit high order equation to descript the gas emission laws, and the prediction model has enough prediction accuracy for application of actual engineering in coal mines...|$|R
40|$|We {{introduce}} a novel technique for drawing proximity graphs in polynomial area and volume. Previously known algorithms produce representations whose size increases exponentially {{with the size}} of the graph. This holds even when we restrict ourselves to binary trees. Our method is quite general and yields the first algorithms to construct (a) polynomial area weak Gabriel drawings of <b>ternary</b> trees, (b) <b>polynomial</b> area weak β-proximity drawing of binary trees for any 0 � β<∞, and(c) polynomial volume weak Gabriel drawings of unbounded degree trees. Notice that, in general, the above graphs do not admit a strong proximity drawing. Finally, we give evidence of the effectiveness of our technique by showing that a class of graph requiring exponential area even for weak Gabriel drawings, admits a linear-volume strong β-proximity drawing and a relative neighborhood drawing. All described algorithms run in linear time...|$|R
40|$|Abstract. The {{proliferation}} of contextualized {{knowledge in the}} Semantic Web (SW) {{has led to the}} popularity of knowledge formats such as quads in the SW community. A quad is an extension of RDF triple with the contextual information of the triple. We in this paper, study the problem of query answering over quads augmented with forall-existential bridge rules that enable interoperability of reasoning between the triples in various contexts. We call a set of quads together with such expressive bridge rules, a quad-system. Query answering over quad-systems is undecidable, in general. We derive decidable classes of quad-systems, for which query answering can be done using forward chaining. Sound, complete and terminating procedures, which are adaptations of the well known chase algorithm, are provided for these classes for deciding query entailment. Safe, msafe, and csafe class of quad-systems restrict the structure of blank nodes generated during the chase computation process to be directed acyclic graphs (DAGs) of bounded depth. RR and restricted RR classes do not allow the generation of blank nodes during the chase computation process. Both data and combined complexity of query entailment has been established for the classes derived. We further show that quad-systems are equivalent to forall-existential rules whose predicates are restricted to <b>ternary</b> arity, modulo <b>polynomial</b> time translations. We subsequently show that the technique of safety, strictly subsumes in expressivity, some of the well known and expressive techniques, such as joint acyclicity and model faithful acyclicity, used fo...|$|R
40|$|The {{proliferation}} of contextualized {{knowledge in the}} Semantic Web (SW) {{has led to the}} popularity of knowledge formats such as quads in the SW community. A quad is an extension of an RDF triple with contextual information of the triple. In this paper, we study the problem of query answering over quads augmented with forall-existential bridge rules that enable interoperability of reasoning between triples in various contexts. We call a set of quads together with such expressive bridge rules, a quad-system. Query answering over quad-systems is undecidable, in general. We derive decidable classes of quad-systems, for which query answering can be done using forward chaining. Sound, complete and terminating procedures, which are adaptations of the well known chase algorithm, are provided for these classes for deciding query entailment. Safe, msafe, and csafe class of quad-systems restrict the structure of blank nodes generated during the chase computation process to be directed acyclic graphs (DAGs) of bounded depth. RR and restricted RR classes do not allow the generation of blank nodes during the chase computation process. Both data and combined complexity of query entailment has been established for the classes derived. We further show that quad-systems are equivalent to forall-existential rules whose predicates are restricted to <b>ternary</b> arity, modulo <b>polynomial</b> time translations. We subsequently show that the technique of safety, strictly subsumes in expressivity, some of the well known and expressive techniques, such as joint acyclicity and model faithful acyclicity, used for decidability guarantees in the realm of forall-existential rules...|$|R

