1|10000|Public
5000|$|The SAR's <b>tender</b> <b>for</b> <b>bid</b> {{was issued}} in 1957, with two options: ...|$|E
50|$|In December 2015, Uganda National Roads Authority advertised for {{construction}} companies to <b>tender</b> <b>bids</b> <b>for</b> the construction works, totalling 92 km of main roads {{and an additional}} 25 km of side roads and connectors, totalling 117 km. Following the evaluation of those bids, a preferred contractor will be selected and a construction contract will be executed between the parties concerned.|$|R
50|$|On 1 January 2005 {{the company}} became a {{separate}} limited company after the liberal-conservative government {{wanted to create}} a market <b>for</b> public <b>tender</b> <b>bids</b> <b>for</b> the maintenance of the railway infrastructure. To do this BaneService had to be separated from Jernbaneverket, much like the separation of Statens Vegvesen and Mesta. The red-green government to follow in 2005 has announced that they will revert the decision to privatise the maintenance of the railway, but BaneService has remained a separate company.|$|R
40|$|This paper {{presents}} a genetic algorithm (GA) -based economic contracting strategy for optimal selection of tenders in the England and Wales standing reserve market. The {{aim of the}} contracting strategy is three fold-first, to identify potential tenders to be contracted, second, to determine the volume of electric power that each tender should supply, and thirdly how often they should provide the service. The third issue is easy to deal with using a contracting strategy where all <b>tenders</b> <b>bid</b> <b>for</b> a full service window (fixed tenders); however, it becomes troublesome if tenders are allowed to <b>bid</b> <b>for</b> a flexible, partial service window (flexible tenders). In this paper, a GA strategy with a special encoding scheme, order-based crossover and mutation operators (OBGA), has been developed to deal with flexible tenders within the tender selection process. The proposed method has been investigated using four test cases, with different tender flexibility and constraints. The test results clearly demonstrate that the OBGA performs {{as well as the}} conventional GA when all <b>tenders</b> <b>bid</b> <b>for</b> fixed contracts; however, OBGA gradually outperforms the conventional GA as the number of flexible tenders progressively increases...|$|R
5|$|The {{company was}} created in 2004 as NSB Anbud AS to compete <b>for</b> the <b>tender</b> <b>bid</b> <b>for</b> a ten-year public service {{obligation}} (PSO) contract with the Norwegian Ministry of Transport and Communications on the Gjøvik Line. The company won the bid and operations started on 11 June 2005, with newly renovated trains. Following the September 2005 election, all further PSO offerings for railway operations were terminated, and the company was left with the single service, subsequently changing its name to reflect the single route.|$|R
50|$|In November 2014, the LTA put {{the first}} package up <b>for</b> <b>tender,</b> {{comprising}} routes from Bukit Batok, Jurong East and Clementi Bus Interchanges, {{supported by the}} Bulim Bus Depot. The tender was awarded to Tower Transit Singapore in May 2015. Subsequently, another foreign operator, Go-Ahead Singapore won the second tender in November that year, comprising routes from Punggol and Pasir Ris Bus Interchanges, {{and supported by the}} Loyang Bus Depot. The <b>tender</b> <b>for</b> the third package, comprising routes from Ang Mo Kio, Yio Chu Kang and Yishun Bus Interchanges, supported by the future Seletar Bus Depot was awarded to incumbent operator SBS Transit.Currently, a fourth <b>tender</b> is open <b>for</b> <b>bidding,</b> comprising routes from Marina Centre, Buona Vista and New Bridge Road bus terminals together with Harbourfront and Bukit Merah Bus Interchanges, supported by the future Ulu Pandan Bus Depot.|$|R
50|$|Services on Gjøvik Line were in 2005 {{transferred}} to NSB Gjøvikbanen after the NSB subsidiary {{had won a}} public <b>tender</b> <b>bid</b> <b>for</b> a ten-year public service obligation contract with the Norwegian Ministry of Transportation and Communication. The Norwegian Minister of Transportation and Communications, Liv Signe Navarsete (Centre Party), has announced that the present government (as of 2006) will discontinue the previous government's announcements to put more rail line operations on public tender.|$|R
50|$|WS-199 was {{generally}} successful, {{but the two}} ALBMs had shorter range than desired. The Air Forced <b>tendered</b> <b>bids</b> <b>for</b> a longer-range version in early 1959. Douglas Aircraft received the prime contract in May, and in turn subcontracted to Northrop for the guidance system, Aerojet for the propulsion system, and General Electric for the reentry vehicle. The system was initially known as WS-138A and was given the official name GAM-87 Skybolt in 1960.|$|R
5000|$|A {{consortium}} of Turner Construction (project manager of Burj Khalifa), Michael Graves and Associates and Meinhardt Group, will supervise the project. It will take 56 months {{to complete the}} project; 15 months for planning, 40 months for construction and two months for handing over by the consortium. The {{total cost of the}} project was estimated to be about [...] by the government. The <b>tender</b> <b>bids</b> <b>for</b> the first phase were invited in October 2013 and were closed in November 2013.|$|R
5000|$|In Malaysia, the Malaysian Communications & Multimedia Commission (MCMC) advertised <b>for</b> <b>tender</b> <b>bids</b> to be {{submitted}} {{in the third}} quarter of 2009 for the 470 through 742 MHz UHF allocation, to enable Malaysia's broadcast system to move into DTV. The new broadcast band allocation would result in Malaysia's having to build an infrastructure for all broadcasters, using a single digital terrestrial transmission/television broadcast (DTTB) channel. Large portions of Malaysia are covered by television broadcasts from Singapore, Thailand, Brunei, and Indonesia (from Borneo and Batam) ...|$|R
50|$|After {{his work}} for the Canadian Pacific Railway, Onderdonk was {{successful}} in gaining more contracts for railway and canal construction, mostly in eastern Canada and the United States. In 1895, Onderdonk obtained a contract from the Canadian government to build sections of the Trent-Severn Waterway in Ontario. In 1899, he <b>tendered</b> a <b>bid</b> <b>for</b> constructing the initial portion of the New York City Subway, but was rejected {{in favor of a}} bid from John Bart McDonald.|$|R
25|$|In November 2015, the BCCI shortlisted nine {{cities for}} the new franchises to be based in, leaving out Jaipur (home of Rajasthan Royals) and Kochi (home of the now defunct Kochi Tuskers Kerala) for unknown reasons. The nine cities shortlisted were: Chennai, Cuttack, Dharamshala, Indore, Nagpur, Pune, Rajkot, Ranchi and Visakhapatnam. The new franchises were {{allocated}} using a reverse auction process, with companies which bid the lowest share of the central revenue pool becoming {{the owners of the}} new teams. On 3 December, it was reported that twelve companies collected <b>tender</b> documents <b>for</b> the <b>bidding</b> process.|$|R
5000|$|Most recently, {{these efforts}} {{have taken the}} shape of {{ordering}} corruption convicts to pay back all the money they have stolen. On 6 March 2012, the Jakarta Corruption Court sentenced Ridwan Sanjaya, an official from the Ministry of Energy and Mineral Resources, to six years in prison <b>for</b> rigging a <b>tender</b> <b>bid</b> <b>for</b> a home solar energy system project in 2009 worth IDR526 billion (US$57.86 million). This is an abnormal number in equation to other southeastern-Asian countries. The government isn't doing much for this case and the Indonesians are left to handle this on their own.|$|R
5000|$|No {{companies}} <b>tendered</b> <b>bids</b> <b>for</b> spectrum in 1800 MHz and 900 MHz bands, and MTS India was {{the only}} bidder in the 800 MHz band. Vodafone Group's CEO Vittorio Colao stated, [...] "The problem is that in India there is a misperception of what {{is the value of}} spectrum. The reserve prices are set too high. India has very low prices and very low revenues so we cannot afford to pay high price for spectrum. We have told them government a number of times that the order of magnitude that they have in mind just does not make sense".|$|R
40|$|The {{earthing}} {{of electric}} installations {{plays an important}} part as regards the behaviour of the network and personal safety when there are disturbances. Presently all earthing designs are performed by contractors and submitted to Ceylon Electricity Board for approval. But {{due to lack of}} information at the tender stage majority of the contractors are unable to bid the earthing design part accurately resulting deviations to the contract during the implementation stage. To minimize this problem Transmission Design Branch and the Transmission Maintenance Branch of the Ceylon Electricity Board jointly decided to do the Earthing Design and submitted with the <b>tender</b> <b>for</b> <b>bidding.</b> After the initial soil resistivity measurements, {{it was found that the}} resistivity values were very high compared to other Grid Substation locations. Therefore it was decided to do an earthing design for Horana Grid Substation to identify the suitabil ity of proposed land and identify the land to be developed to construct an additional earthing mat to transfer the earth fault current. Without a properly designed grounding system large potential differences can exist between different points within the substation itself. Under normal circumstances, the current flow through the grounding grid from line - to - ground faults that constitutes the main threat to personnel. The earthing design for Horana Grid Substation has the following objectives. 1. Ensure such a degree of human safety that a person working or walking in the vicinity of grounded facilities, is not exposed to the danger of a critical electric shock. The touch and step voltages produced in a fault condition have to be at safe levels. A safe value is one that will not produce enough current within a body to case ventricular fibrillation. 2. Provide means to carry and dissipate electric currents into earth under normal and faulty conditions without exceeding any operating and equipment limits or adversely affecting continuity of service. 3. Provide grounding for lightning impulses and the surges occurring from the switching of substation equipment, which reduces damage to equipment. 4. Provide a low resistance to protective relays to see and clear ground faults, which improves protective equipment performance, particularly at minimum faults. I...|$|R
40|$|The article {{analyzes}} a large {{call for}} anonymous urban planning bids advertised by the People’s Committee of Zadar in 1953. The Invitation to <b>Tender</b> <b>Bids</b> <b>for</b> the Regulatory Basis of Urban Planning in Zadar Peninsula and Architectural Proposals for the Historic Centre was {{initiated by the}} then Yugoslav Academy of Sciences and Arts in Zagreb. This {{is the first time}} in more than sixty years that all of the fourteen designs which were submitted are being presented in the same place. After the tender was closed they were displayed at the subsequent exhibitions in Zadar and Zagreb in 1954. The proposals show interesting architectural visions and planning designs for the historic centre of Zadar from 1953...|$|R
50|$|A call <b>for</b> <b>bids,</b> call <b>for</b> <b>tenders,</b> or {{invitation}} to tender (ITT, often called <b>tender</b> <b>for</b> short) is a special procedure for generating competing offers from different bidders looking to obtain an award of business activity in works, supply, or service contracts. They are usually preceded by a pre-qualification questionnaire (PQQ).|$|R
25|$|According to a PCB press release, around 20 parties {{showed an}} {{interest}} in buying franchises for the league before the first season. On 18 October 2015 the Board began accepting <b>tenders</b> <b>for</b> franchises with a deadline <b>for</b> <b>bids</b> of 15 November.|$|R
40|$|A {{tendering}} is {{a negotiating}} process for a contract through by a tenderer issuing an invitation, bidders submitting bidding documents and the tenderer accepting a bidding by sending out a notification of award. As a useful way of purchasing, {{there are many}} norms and rulers {{for it in the}} purchasing guides of the World Bank, the Asian Development Bank, $ [...] . $, also in contract conditions of various consultant associations. In China, there is a law and regulation system <b>for</b> <b>tendering</b> and <b>bidding.</b> However, few works on the mathematical model of a tendering and its evaluation can be found in publication. The main {{purpose of this paper is}} to construct a Smarandache multi-space model <b>for</b> a <b>tendering,</b> establish an evaluation system <b>for</b> <b>bidding</b> based on those ideas in the references [7] and [8] and analyze its solution by applying the decision approach for multiple objectives and value engineering. Open problems for pseudo-multi-spaces are also presented in the final section. Comment: 16 pages with 2 figure...|$|R
40|$|A {{tendering}} is {{a negotiating}} process for a contract through by a tenderer issuing an invitation, bidders submitting bidding documents and the tenderer accepting a bidding by sending out a notification of award. It is a main measure for completing market economy in China. According to laws and new regulations, rulers and codes new issued, this book introduces fundamental knowledge and techniques {{in theory and}} practice for a construction contract by bids, {{such as those of}} macro-economic policies, investing and constructing management, the tendering and bidding law with its regulations and how to compile a qualification document for a designing, consulting, constructing, purchasing project or a corporate body of a project management. By Smarandache multi-spaces, a mathematical evaluation model <b>for</b> <b>bids</b> is established and examples are included. The Tendering and Bidding Law of China, 5 regulations related and 100 answers <b>for</b> <b>tendering</b> and <b>bidding</b> in China {{can be found in the}} attachment. It is referable to researchers on theory or persons working in purchasing and students in universities...|$|R
50|$|Global <b>tenders</b> were floated <b>for</b> the Thiruvananthapuram Monorail. The {{deadline}} <b>for</b> technical <b>bids</b> {{was extended}} from 1 October 2013 to 15 October. However, a consortium led by Bombardier Transportation {{was the only}} firm that expressed an interest before the deadline. Pre-bid queries had also been made by Japanese firm Hitachi, Malaysian firm Scomi, and firms from the United Kingdom, South Korea, and China. The <b>tender</b> <b>for</b> the proposed project only received one bid, so a second tender had to be issued. The deadline <b>for</b> <b>bids</b> was extended again to 15 April.|$|R
5000|$|Entering the {{international}} helicopter services {{market is a}} priority for Burundaiavia airline {{in the development of}} its helicopter business. In 2006 Burundaiavia has started to work under commercial contracts in Afghanistan. Since then thousands of tons of food products were carried by the airline helicopters all over the country.On 15 January 2007 [...] "Airline [...] "Burundaiavia" [...] JSC was registered as an official supplier of goods and services to the United Nations (UN). The given registration enables the airline to take part in <b>tenders</b> and <b>bids</b> <b>for</b> supply of the necessary goods and services for the needs of the United Nations. Burundaiavia is the first and so far the only Kazakhstan company registered in the United Nations Procurement Service (UNPC).|$|R
40|$|Little {{attention}} has been focussed on a precise definition and evaluation mechanism for project management risk specifically related to contractors. When bidding, contractors traditionally price risks using unsystematic approaches. The high business failure rate our industry records may indicate that the current unsystematic mechanisms contractors use for building up contingencies may be inadequate. The reluctance of some contractors to include a price for risk in their <b>tenders</b> when <b>bidding</b> <b>for</b> work competitively may also not be a useful approach. Here, instead, we first define the meaning of contractor contingency, and then we develop a facile quantitative technique that contractors can use to estimate a price for project risk. This model will help contractors analyse their exposure to project risks; and help them express the risk in monetary terms for management action. When <b>bidding</b> <b>for</b> work, they can decide how to allocate contingencies strategically {{in a way that}} balances risk and reward...|$|R
50|$|SA Waste is in {{the process}} (as of March 2008) of <b>tendering</b> <b>for</b> another {{contract}} at Pikitup. This one will involve providing of a total refuse removal service (Including round-collected refuse removal, street cleaning, servicing of garden sites, and servicing informal settlements) for Johannesburg's Ivory Park area. The closing date <b>for</b> <b>bids</b> on this <b>tender</b> was March 7, 2008, at 11:00 SAST, and proposals are currently being considered. More information on this contract can be found at on the Pikitup website.|$|R
50|$|The AMRC floated <b>tenders</b> <b>for</b> the {{construction}} of two lines for the project on 28 November 2016. Larsen and Toubro (L&T), Afcons Infrastructure Limited (AIL), and Simplex Infrastructures Limited (SIL) submitted <b>bids</b> <b>for</b> the project.|$|R
50|$|The Government of Afghanistan, {{through the}} Ministry of Mines, {{announced}} {{the opening of}} <b>tender</b> processes <b>for</b> the exploration and subsequent exploitation of the mine on 6 December 2011. The <b>tender</b> process <b>for</b> the Project is expected to culminate in the granting of a mining agreement with associated exploration licence(s) and, subject {{to the satisfaction of}} certain conditions, will lead to the granting of the requisite exploitation licence(s). Canaccord Genuity, SRK Consulting and Mayer Brown are acting as transaction advisers to the Ministry in relation to the <b>tenders</b> <b>for</b> the Projects. The deadline <b>for</b> submission of <b>bids</b> <b>for</b> the Balkhab mineral tender was 23 July 2012.|$|R
