1|10000|Public
50|$|Who <b>wrapped</b> <b>her</b> <b>arms</b> <b>around</b> me.|$|E
5000|$|They fight Verda as a disgustingly {{ugly and}} {{enormous}} monster with a skull for a face. Upon defeating Verda, she gets {{sucked into the}} ground but re-emerges again in a human form covered with blood and glowing eyes, creating a massive vortex of wind and red light in her rage. Sophie approaches her, {{and despite the fact}} that Verda attacks her twice, she still survives almost unharmed (except for some bleeding on her forehead). Sophie then <b>wraps</b> <b>her</b> <b>arms</b> <b>around</b> the angry Verda, crying, and her words cause Verda to calm down, and she hugs her in return. Her eyes are shadowed out, but a tear falls and lands on Sophie's face where she begins to wither to dust. Her gentle eyes are revealed for a split second, and her last word being a [...] "thank you" [...] before vanishing for good.|$|R
5000|$|Finally {{coming to}} her senses, Jane puts the real Blanche into her car and drives to the beach, where her fondest {{memories}} with the family took place during their childhood. Severely dehydrated and weak from starvation, Blanche admits she had been driving {{the car on the}} night of the accident, but had allowed Jane, who had been too incapacitated with drugs and alcohol to remember, to take the blame. She apologizes for never telling Jane the truth, and for a moment, they are happy together. The police arrive to find Blanche unconscious and near death. As they radio for help for Blanche, Jane realizes what is happening and walks into the sea, seemingly to kill herself, but is dragged out by a police officer. At first she resists, but then she <b>wraps</b> <b>her</b> <b>arms</b> <b>around</b> him and calls him [...] "Papa". The last shot is of Jane's smiling face as she goes willingly with the police.|$|R
5000|$|In {{an effort}} to escape “A” for a little while, DiLaurentis headed to Hilton Head with Ian. But their weekend {{rendezvous}} was ruined when Melissa showed up, angry for Ian’s betrayal with DiLaurentis. Overhearing Ian’s conversation and reconciliation with Melissa, DiLaurentis chose to escape through the balcony, but not before stealing some files from Ian’s computer. Besides a video of her, she discovered a video labeled “Jenna & Toby.” “There's nothing wrong with us,” Jenna says in the video as she <b>wraps</b> <b>her</b> <b>arms</b> <b>around</b> Toby. “We’re not even related.” Before her disappearance DiLaurentis and Ian met up at the [...] "Kissing Rock" [...] in which she said, after hooking up with Ian, “This is just me killing time while I’m waiting for something better to come along … You and Melissa deserve each other. She’s such a bitch.” DiLaurentis threatens {{to send him to}} jail if he or Melissa does not stop with the threatening messages, leaving Ian to stalk off. Signing the end of the relationship.|$|R
5000|$|Laura and Psylocke {{became quite}} {{friendly}} {{with each other}} on their first meeting in Uncanny X-Men #456, shortly after Psylocke came back to life. Both girls seemed to share an enjoyment in fighting. In one instance, Laura was knocked out while Psylocke continued, upon awakening Laura saw all the enemies had disappeared and when she asked Psylocke what happened, Betsy joked that she ate them, to which Laura replied it was cool. Another shared moment was when Betsy and Laura discussed her coming back to life, which Laura didn't see as unique since she herself had died repeatedly when she was experimented on to test her healing factor, but she always [...] "got better". When Psylocke asked how that made her feel, Laura smiled and said she killed them, and they didn't get better. Betsy then smiled and <b>wrapped</b> <b>her</b> <b>arm</b> <b>around</b> Laura's shoulder, saying she had some very definite possibilities. There have also been images of Laura imitating Betsy, including braiding her hair and mimicking her poses.|$|R
500|$|When Madonna {{was five}} years old, in 1963, her mother, Madonna Ciccone, {{died of breast cancer}} at the age of30. Months before this, Madonna noticed changes in her mother's {{behavior}} and personality from the attentive homemaker she was, but did not understand the reasons. Mrs. Ciccone, at a loss to explain her dire medical condition, would often begin to cry when questioned by Madonna, at which point Madonna would respond by <b>wrapping</b> <b>her</b> <b>arms</b> <b>around</b> <b>her</b> mother tenderly. [...] "I remember feeling stronger than she was", Madonna recalled, [...] "I was so little and yet I felt like she was the child." [...] Madonna later acknowledged that she had not grasped the concept of her mother dying. [...] "There was so much left unsaid, so many untangled and unresolved emotions, of remorse, guilt, loss, anger, confusion.... I saw my mother, looking very beautiful and lying as if she were asleep in an open casket. Then I noticed that my mother's mouth looked funny. It took me some time to realize that it had been sewn up. In that awful moment, I began to understand what I had lost forever. The final image of my mother, at once peaceful yet grotesque, haunts me today also." ...|$|R
5000|$|Anaconda freed {{herself and}} her {{teammates}} from their underwater captivity using her brute strength, and they were sent on another mission—this time, {{to search for a}} powerful weapon known as the Micro-Scanner. After battling Iron Man, Anaconda and the others were defeated and presumably taken to prison. They somehow escaped, and sought out Sidewinder for payment from their first mission together. He gave them their share of the money, plus more, inviting them to join his new criminal organization, the Serpent Society. [...] Anaconda hesitantly accepted the offer. At the orientation, Sidewinder grouped Anaconda together with Cobra and the Rattler to perform an initiation test. Their job was to steal equipment from the bankrupt Brand Corporation. Constrictor, annoyed with the whole idea of the Serpent Society, spied on Anaconda's group and called the Avengers hotline to tip them off. Captain America showed up just as Anaconda and the others were pulling their heist, and Anaconda ordered Cobra and Rattler to return to Sidewinder with the apparatus. During an intense battle with the Avenger, Anaconda was able to <b>wrap</b> <b>her</b> <b>arms</b> <b>around</b> Captain America. She started to crush his bones, but one well-placed hit of his shield knocked her out, and she was taken to jail.|$|R
5000|$|When Madonna {{was five}} years old, in 1963, her mother, Madonna Ciccone, {{died of breast cancer}} at the age of 30. Months before this, Madonna noticed changes in her mother's {{behavior}} and personality from the attentive homemaker she was, but did not understand the reasons. Mrs. Ciccone, at a loss to explain her dire medical condition, would often begin to cry when questioned by Madonna, at which point Madonna would respond by <b>wrapping</b> <b>her</b> <b>arms</b> <b>around</b> <b>her</b> mother tenderly. [...] "I remember feeling stronger than she was", Madonna recalled, [...] "I was so little and yet I felt like she was the child." [...] Madonna later acknowledged that she had not grasped the concept of her mother dying. [...] "There was so much left unsaid, so many untangled and unresolved emotions, of remorse, guilt, loss, anger, confusion. ... I saw my mother, looking very beautiful and lying as if she were asleep in an open casket. Then I noticed that my mother's mouth looked funny. It took me some time to realize that it had been sewn up. In that awful moment, I began to understand what I had lost forever. The final image of my mother, at once peaceful yet grotesque, haunts me today also." ...|$|R
6000|$|... "Poor Mary! To {{others he}} is the Christ, the Saviour of mankind, setting forth upon his mighty mission to redeem the world. To loving Mary Mother, he is her son: the baby she has suckled at her breast, the little one she has crooned to sleep upon her lap, whose little cheek has lain against her heart, whose little feet have made sweet music through the poor home at Bethany: he is her boy, her child; she would <b>wrap</b> <b>her</b> mother's <b>arms</b> <b>around</b> him and hold him safe against all the world, against even heaven itself.|$|R
50|$|While the Pe-2's flying {{characteristics}} were generally favorable {{once it was}} airborne, it took {{a good amount of}} force to pull the elevators up to rotate the plane for takeoff. Russian night bombing missions often flew with female pilots and some of the women were not strong enough to get the airplane airborne by themselves. When such a situation occurred, the procedure was to have the navigator get behind the pilot's seat and <b>wrap</b> <b>her</b> <b>arms</b> <b>around</b> the control wheel and help the pilot pull the wheel back. Once the aircraft was airborne, the navigator returned to her duties and the pilot continued to fly the plane without assistance.Its armament was clearly insufficient, however. The dorsal ShKAS machine gun had a very high rate of fire; however, its 7.62 mm rounds proved inadequate against the armor protection of modern fighters as the war progressed. In addition, it often jammed. The mounting for the ventral Berezin UB had a very limited field of view and the gun was initially unreliable. To give more protection, another ShKAS was added that could be moved between sockets {{on both sides of the}} fuselage and, in an emergency, the gunner could fire upwards, but in this case they had to be quite strong to keep it in their arms. To improve the bomber's defences, a dorsal Berezin UBT 12,7 mm was mounted. This modification was reported to increase the life expectancy of a Pe-2 from 20 sorties to 54.|$|R
5000|$|Rugby union {{rules do}} not allow tackles above {{the plane of the}} shoulders. Only the player who has {{possession}} of the ball can be tackled. The attacker must also attempt to <b>wrap</b> his or <b>her</b> <b>arms</b> <b>around</b> the player being tackled: merely pushing the player being tackled to ground with a shoulder is illegal. If a maul or ruck is formed, a player may not [...] "ram" [...] into the formation without first binding to the players.|$|R
5000|$|Rugby union allows full {{tackling}} {{above the}} knees {{and below the}} shoulders, whereas Gaelic football explicitly disallows tackling. Rugby union rules do not allow tackles above {{the plane of the}} shoulders. Only the player who has possession of the ball can be tackled. The attacker must also attempt to <b>wrap</b> his or <b>her</b> <b>arms</b> <b>around</b> the player being tackled: merely pushing the player being tackled to ground with a shoulder is illegal. If a maul or ruck is formed, a player may not [...] "ram" [...] into the formation without first binding to the players.|$|R
40|$|Costume drama set in Athens. Polymos lies dejectedly on a couch. He {{cannot be}} distracted by the wealth and pleasures around him and puts {{his hands to his}} temples as if he was ill. His wife, Chrysis, orders the dancer Chloe to {{entertain}} her husband. Chloe appears before Polymos and beginning slowly, she dances for him as if she were the incarnation of a beautiful statue. Polymos succumbs to the charms of her dance and is fascinated by the beauty of the slave. Chrysis becomes jealous, throws herself between the two and chases Chloe out of the room with curses. In the palace garden, Chloe prays to the god of nature and <b>wraps</b> <b>her</b> <b>arms</b> <b>around</b> the neck of the statue. Polymos appears behind her and they run into each other's arms. Later, in the atrium, Chloe notices her master sleeping and approaches him. Polymos is dreaming of Chloe dancing, and when he awakes they embrace. Chrysis, enters and has Chloe thrown in jail. By Chrysis' order, Chloe drinks hemlock. As if in a dream Chloe believes she hears the voice of her master and dances for him one last time. Polymos enters, and having also taken the poison, they die in each other's arms while Chyris watches in horror. Incomplete: main title, credits and part of picture lacking; film ends abruptly. DLCGabriel Moreau, Darenne Bennard. Summary is translation of description in Films Pathé frères, supplément, May 1907, p. 202 - 203, as taken from AFI STAR database record. Intertitles:The kiss of love; A dream, awful reality; Poison, united in death. MAVIS 15386; A slave's love. DLCDigital files viewed. Sources used: Moving picture world, vol. 7, Jun. 29, 1907, p. 271; American Film Institute catalog, film beginnings, 1893 - 1910; Catalogue Pathé des années 1896 à 1914, 1907 à 1909, p. 17 - 18; AFI STAR database record no. 6416. Received: 11 / 4 / 1977 from LC film lab; viewing print and dupe neg pic; preservation; AFI/Tempereau (Fred) Collection. Received: 1 / 24 / 2007 from VidiPax; master; preservation; AFI/Tempereau (Fred) Collection...|$|R
50|$|In 1905 she ascended on a trapeze slung below a {{hot-air balloon}} to {{a height of}} two to four-thousand feet before {{descending}} on a parachute. On one occasion both the balloon and the parachute malfunctioned, and she found herself rising to 15,000 feet. At this height, both the cold and lack of oxygen were threatening to make her lose her grip and fall to her death. Fortunately, the balloon returned to earth {{before it was too}} late. She was not so lucky on a later occasion when she ascended with another girl. The other girl’s parachute would not release, so she had to <b>wrap</b> <b>her</b> <b>arms</b> and legs <b>around</b> Dolly so that they could descend on the one parachute. The descent was of course much too fast, and Dolly was paralysed for several weeks. She nevertheless returned to her act and first flew again at Ashby-de-la-Zouch. Edith Maud Cook died from injuries sustained following a jump from a balloon at Coventry on 9 July 1910 when her parachute collapsed after a gust of wind blew her on to a factory roof. Dolly had been due to make the jump at Coventry but Cook had taken her place.|$|R
60|$|She {{took his}} head between {{her hands and}} pressed it hard against her heart, and then <b>wrapped</b> <b>her</b> <b>arms</b> tight about him, and softly bemoaned him.|$|R
6000|$|... "Don't {{you hope}} Ben will get his bag full? We shall have such fun eating nuts evenings {{observed}} Bab, <b>wrapping</b> <b>her</b> <b>arms</b> in <b>her</b> apron, {{for it was}} October now, {{and the air was}} growing keen.|$|R
60|$|Her eyes gleamed with passion. Suddenly {{she threw}} <b>her</b> <b>arms</b> <b>around</b> his neck.|$|R
60|$|The countess {{suddenly}} threw <b>her</b> <b>arms</b> <b>around</b> Jeanne's {{neck and}} burst into tears.|$|R
60|$|She came up softly behind him, and put <b>her</b> <b>arms</b> <b>around</b> his neck.|$|R
60|$|She threw <b>her</b> <b>arms</b> <b>around</b> {{his neck}} and covered his face with kisses.|$|R
60|$|Moses {{bent down}} and kissed her, and felt <b>her</b> <b>arms</b> <b>around</b> his neck.|$|R
60|$|Stella passed <b>her</b> <b>arm</b> <b>around</b> <b>her</b> cousin's neck. Virginia {{looked up}} a little timidly.|$|R
60|$|Nan Blythe {{stood up}} and put <b>her</b> <b>arms</b> <b>around</b> the dazed Faith and Una.|$|R
60|$|She put <b>her</b> <b>arm</b> <b>around</b> his big grizzled {{head and}} drew it to her.|$|R
60|$|Elizabeth {{suddenly}} threw <b>her</b> <b>arms</b> <b>around</b> {{his neck}} and held her cheek to his.|$|R
60|$|Lucy put <b>her</b> <b>arm</b> <b>around</b> <b>her</b> father's {{neck and}} placed her cheek against his.|$|R
