1|7717|Public
5000|$|A06 {{crash on}} {{protection}} system such as <b>safety</b> <b>traffic</b> <b>barrier</b> ...|$|E
50|$|This group enforces {{the traffic}} laws and regulations, promote safety along the highways, enhances <b>traffic</b> <b>safety</b> {{consciousness}} through inter- agency cooperation concerning Police <b>Traffic</b> <b>Safety</b> Engineering, <b>Traffic</b> <b>Safety</b> Education and <b>Traffic</b> Law enforcement functions and develops {{reforms in the}} crime prevention aspect against all forms of lawlessness committed along National Highway involving the use of motor vehicles.|$|R
50|$|<b>Traffic</b> <b>Safety</b> Store, {{winner of}} the 2006 Forbes Enterprise Award, is a privately held U.S. <b>traffic</b> <b>safety</b> supply company and online {{retailers}} specializing in the manufacturing and distribution of road traffic control device ranging from traffic cones to speed bumps (Speed Bump), and other <b>safety</b> products. <b>Traffic</b> <b>Safety</b> Store is also an EPA approved CPG product supplier. Additionally, <b>Traffic</b> <b>Safety</b> Store provides High visibility clothing and workwear solutions for <b>traffic</b> <b>safety</b> and high visibility.|$|R
50|$|<b>Traffic</b> <b>barriers</b> are {{categorized}} in two ways: by {{the function}} they serve, and {{by how much}} they deflect when a vehicle crashes into them.|$|R
40|$|Provision of <b>safety</b> <b>traffic</b> on the {{highways}} in Poland is ensured by using signs of changing information, point light-reflecting elements and various means of regulation and control of motion speed. In addition to technical means some organizational measures are also realized {{in the country and}} they are executed under control of the State Council of <b>Safety</b> <b>Traffic.</b> The paper contains statistics about accidents for the period of 2004 - 2006.  </p...|$|R
5000|$|... #Caption: Single {{carriageway}} expressway economically {{upgraded to}} meet {{most of the}} new regional flow road standard. A physical <b>traffic</b> <b>barrier,</b> and a hard shoulder were added.|$|R
50|$|An {{alternative}} to energy absorbing barrier terminals are impact attenuators. These {{are used for}} wider hazards that can't be effectively protected with a one-sided <b>traffic</b> <b>barrier.</b>|$|R
5000|$|... #Caption: Single {{carriageway}} expressway {{that was}} economically upgraded to (mostly) {{meet the new}} Regional flow road standard. A physical <b>traffic</b> <b>barrier,</b> and a hard shoulder were added.|$|R
25|$|Guide rail: Prevents {{vehicles}} from veering off {{the road}} into oncoming traffic, crashing against solid objects or falling from a road. Also called a guard rail or <b>traffic</b> <b>barrier.</b>|$|R
40|$|A {{crashworthy}} <b>traffic</b> noise <b>barrier</b> {{system for}} use alongside {{a path of}} traffic, the crashworthy <b>traffic</b> noise <b>barrier</b> system comprises a crashworthy longitudinal barrier extending substantially parallel to the path of traffic and a crashworthy <b>traffic</b> noise <b>barrier</b> wall supported by the longitudinal <b>barrier.</b> The crashworthy <b>traffic</b> noise <b>barrier</b> wall includes a plurality of upstanding posts attached to the <b>traffic</b> noise <b>barrier</b> wall, at least one panel supported between each adjacent pair of posts in the plurality of upstanding posts, {{and at least one}} longitudinal beam spaced above a top surface of the longitudinal barrier and extending across the plurality of upstanding posts for redirecting a portion of an errant vehicle away from the at least one panel. The longitudinal beams redirect energy of the errant vehicle away from the panels such that the panels and any fragments of the panels, remain attached to the <b>traffic</b> noise <b>barrier</b> wall. The panels may be transparent and may be reinforced with plastic bands, plastic threads, or a plastic net...|$|R
40|$|AbstractIn {{order to}} conduct <b>traffic</b> <b>safety</b> {{education}} {{for migrant workers}} efficiently, a questionnaire survey to investigate their knowledge of <b>traffic</b> <b>safety</b> was held in Xinghua City, Jiangsu Province. Their knowledge of <b>traffic</b> <b>safety</b> and education were analyzed by applying statistical methods. The results show that migrant workers have {{a low level of}} <b>traffic</b> <b>safety</b> education and a lack of <b>traffic</b> <b>safety</b> knowledge (correct rate 56. 57 %). Local migrant workers and non-local migrant workers have a significant difference (p-value 0. 002) in <b>traffic</b> <b>safety</b> knowledge. There is no significant difference (p-value 0. 113) in the <b>traffic</b> <b>safety</b> knowledge between male and female migrant workers. Self-protection skills, common sense of <b>traffic</b> <b>safety</b> and basic knowledge of traffic laws are the contents of <b>traffic</b> <b>safety</b> education which migrant workers mostly required. They also prefer case-wise education with true story and picture-based learning. These results indicate that it is very necessary to conduct <b>traffic</b> <b>safety</b> education for migrant workers. The forms and contents also need to meet migrant workers demand for higher efficiency of <b>traffic</b> <b>safety</b> education...|$|R
50|$|<b>Traffic</b> <b>Safety</b> Unit The <b>Traffic</b> <b>Safety</b> Unit is {{composed}} of the Accident Reconstruction Unit, Motorcycle Squad, and the Motor Carrier Safety Inspection Team.|$|R
40|$|National Highway <b>Traffic</b> <b>Safety</b> Administration, <b>Traffic</b> <b>Safety</b> Programs, Washington, D. C. Mode of access: Internet. Author {{corporate}} affiliation: Memphis/Shelby County <b>Traffic</b> <b>Safety</b> Coordinating Committee, Memphis, Tenn. Report {{covers the}} period July 1970 - Dec 1973 Subject code: EMSubject code: EODSubject code: JALSubject code: RRTSubject code: WWSubject code: XLMSubject code: YCLSubject code: YC...|$|R
5000|$|The Traffic Management Centre {{consists}} of the <b>Traffic</b> <b>Safety,</b> <b>Traffic</b> Plant Installations and Maintenance, and Urban Traffic Control Systems units. These units are responsible for: ...|$|R
40|$|This study aims {{to prove}} the {{effectiveness}} of <b>traffic</b> <b>safety</b> education program for traffic violators. Traffic violators who finished the <b>traffic</b> <b>safety</b> education programs were tracked down. In order to analyze the effectiveness of <b>traffic</b> <b>safety</b> education program, <b>traffic</b> violator’s data during ten-year period were used. This study analyzed how traffic violators changed their attitudes about traffic law abidance. Also predicted social benefits from <b>traffic</b> <b>safety</b> education program for traffic violators. Effectiveness of traffic accident prevention through <b>traffic</b> <b>safety</b> education program is approximately 93...|$|R
40|$|ISSUE: Traffic-related {{injuries}} and fatalities disproportionately affect the African American community. These {{high rates of}} traffic-related death and injury among African Americans manifest in multiple areas of <b>traffic</b> <b>safety,</b> including: Failure to use seat belts and child restraints. High incidence of alcohol-impaired driving. Failure to follow child passenger and seat belt safety laws and recommendations. High rates of pedestrian accidents, ofen brought on by impairments of drivers and/or pedestrians. Research indicates that national public information campaigns, with general messages only slightly modified for African American audiences, have not been culturally appropriate or effective in changing <b>traffic</b> <b>safety</b> behavior. In addition, traditional distribution mechanisms for these messages have not effectively reached the target population. Evidence suggests that in the African American community, there is a pervasive {{lack of knowledge of}} the devastating impact of traffic-related accidents on the overall health status of the community. This lack of information has resulted in a tragic cycle, in which parents fail to model safe operation of motor vehicles, and generation after generation copy this behavior, increasing the community's vulnerability to serious {{injuries and}} untimely deaths. This trend toward improper <b>traffic</b> <b>safety</b> habits among African Americans persists despite federal, state and local laws to enforce and promote sound <b>traffic</b> <b>safety</b> practices. OBJECTIVE: To study the existence of disparities in traffic-related injury and death among African Americans and to determine what kinds of <b>traffic</b> <b>safety</b> messages and campaigns will be effective in encouraging African Americans to respond to safety laws in sufficient numbers to reduce the disproportionately high rate of injury and death. <b>Traffic</b> <b>safety</b> issues were examined to effectively recommend policy, address barriers, best practices, and intervention strategies for the National Medical Association, its physician members, their patients, and their communities. CONSENSUS PROCESS: A literature review, driven by research instruments from numerous organizations included reports and materials from the National Highway <b>Traffic</b> <b>Safety</b> Administration (NHTSA), American Academy of Pediatrics, National Committee for Injury Prevention and Control, U. S. Centers for Disease Control and Prevention (CDC), Mothers Against Drunk Driving (MADD), and the National SAFE KIDS Campaign. Both the Meharry Medical College report, Achieving a Credible Health and Safety Approach to Increasing Seat Belt Use Among African-Americans, and the U. S. Department of Transportation's Blue Ribbon Panel to Increase Seat Belt Use Among African Americans: A Report to the Nation, provided substantial background for the panel. More than 60 pieces of <b>traffic</b> <b>safety</b> literature have been examined to date. Based on the literature review, a short list of the most relevant issues affecting African Americans and <b>traffic</b> <b>safety</b> was devised. It includes: The disproportionately high rate of traffic-related injury and death among African Americans. The cost in health, monetary costs and other associated costs of <b>traffic</b> <b>safety</b> accidents and injuries. The number of traffic-related injuries and deaths that could be prevented if more African Americans observed good <b>traffic</b> <b>safety</b> practices. <b>Barriers</b> to practicing good <b>traffic</b> <b>safety</b> habits among African Americans. Failure of laws and public information campaigns to influence improved <b>traffic</b> <b>safety</b> practices among African Americans sufficient to reduce disparities in traffic-related injury and death. In July 2001, NMA convened a consensus panel of experts in St. Thomas, U. S. Virgin Islands, to review a briefing document summarizing the most salient <b>traffic</b> <b>safety</b> issues among African Americans. The panel elaborated on key issues, including existing policy and standards for the use of child restraint devices to secure infants and toddlers, existing data regarding disparities in traffic-related injury and death among African Americans, and the cultural, age and developmental appropriateness of existing safety campaigns. SUMMARY: Public information campaigns have successfully improved <b>traffic</b> <b>safety</b> practices among the general public but in large part have been unsuccessful among minority populations-including African Americans. This may be due to: A failure to use techniques and messages that are culturally sensitive to African Americans. Campaigns that have targeted geographic and social centers where African Americans are not broadly present. Lack of awareness of the disproportionate effect motor vehicle crashes are having on African Americans. Scientifically based, culturally appropriate intervention strategies need to be devised and implemented by African American institutions and organizations to improve <b>traffic</b> <b>safety</b> practices and reduce the high rate of traffic-related injury and deaths among African Americans...|$|R
50|$|The {{bridge is}} almost {{inaccessible}} to pedestrians and cyclists. It has two sidewalks, {{but they are}} very narrow and impede the passage of bikes. The sidewalks are separated from the roadway by <b>traffic</b> <b>barriers.</b>|$|R
40|$|The role of Christian {{values and}} {{education}} in <b>Traffic</b> <b>Safety</b> Education <b>Traffic</b> <b>safety</b> {{is one of}} the more important issues in South Africa today, since traffic accidents cause thousands o f unnecessary deaths each year, particularly among the youth. The key variable of <b>traffic</b> <b>safety</b> is to be found in principled education emphasizing religious and life values. A child need to learn that life, also his/her own, is sacred to God and must be safeguarded by following <b>traffic</b> <b>safety</b> rules and regulations. Since <b>traffic</b> <b>safety</b> is dependent on, inter alia, attitudes and religious-cultural values, children must be taught positive attitudes at home and at school. This point o f departure implies that teachers need to have positive attitudes towards <b>Traffic</b> <b>Safety</b> Education, which, in turn, implies <b>Traffic</b> <b>Safety</b> Education as a prerequisite fo r teacher education. </p...|$|R
5000|$|In an {{automotive}} setting, {{the barrier}} {{may be a}} <b>traffic</b> <b>barrier</b> or Jersey barrier, separating lanes/directions of traffic flow. In crowd control, terraces use crush barriers {{to reduce the risk}} of human crush in large crowds.|$|R
40|$|This {{research}} program addresses {{issues associated with}} the hydraulic effects of bridge rails on floodwater levels upstream of bridge structures. The hydraulics of bridge rails and <b>traffic</b> <b>barrier</b> systems are not well understood, {{especially with regard to}} rail/barrier systems in series and the submergence of structures. The hydraulics of bridge rails is an important issue for TxDOT bridge rehabilitation projects with potentially significant cost implications. This research project is designed to address issues associated with the hydraulic performance of bridge rails and <b>traffic</b> <b>barriers,</b> and to provide guidance on how different rail/barrier systems can be included in floodplain hydraulics models. 17. Key Words Hydraulics, bridge rails, floodplain, Weir equations...|$|R
5000|$|Common {{topics for}} {{training}} and assistance include pavement management and maintenance, road works <b>safety,</b> <b>traffic</b> signs and pavement markings, public works department management, snow and ice control, and drainage.|$|R
5000|$|Highways Division, {{responsible}} {{for the safety of}} road transport, private vehicle registration and licensing, <b>traffic</b> <b>safety</b> and <b>traffic</b> control.|$|R
50|$|In {{low-speed}} environments, curbs {{are effective}} at channeling motor vehicle traffic. On higher speed roads, curbs {{should not be}} used because they can destabilize vehicles that strike them. A high-speed vehicle that hits a curb may actually turn towards the sidewalk, rather than be directed away from it. A vehicle that strikes a curb can be tripped into a rollover crash or vaulted into the air. The vehicle could be vaulted over a <b>traffic</b> <b>barrier</b> into the object the barrier is intended to shield. This is a reason why they are rarely used on rural or high speed roads. Where curb is used with a <b>traffic</b> <b>barrier,</b> the barrier should either be close to or well behind the curb, to reduce the chances of a vehicle going over the barrier.|$|R
