1|84|Public
5000|$|Iain Archibald Gillespie, <b>Senior</b> <b>Veterinary</b> <b>Inspector,</b> Sudan Government ...|$|E
50|$|He was {{the first}} child in the family who got western {{education}} along with the religious education. He got matriculation certificate from Government High School Naushera, {{and then went to}} Lahore to get further education and got the degree of veterinary Doctor. He started his career as <b>veterinary</b> <b>Inspector</b> in the Remount Department of British Army in India. He also served in the World War I.|$|R
40|$|The Bureau of Animal Industry employs {{approximately}} 1, 750 veterinarians for {{the performance}} of many kinds of services in administrative, research, and regulatory fields. By act of Congress, the Chief of the Bureau is required to be a veterinarian, and Federal <b>veterinary</b> <b>inspectors</b> must be graduates of veterinary colleges accredited by the Bureau, as maintaining courses of study in line with the requirements of the Bureau 2 ̆ 7 s work...|$|R
50|$|The 7th Cavalry's <b>senior</b> <b>veterinary</b> surgeon, Dr. John Honsinger, {{rode with}} Stanley's column, {{along with the}} suttler, Augustus Baliran. Honsinger was a German native who, in 1869, was {{appointed}} as the first veterinary surgeon for the post-Civil War 7th cavalry.|$|R
50|$|Stanković {{was born}} in Bihać, Kingdom of Serbs, Croats and Slovenes. Early in his life he moved to Novi Sad and then to Syrmian town of Ledinci during World War II. After the war, Stanković went to Belgrade where he {{graduated}} from the University of Belgrade with a degree in veterinary medicine. In 1966, he pledged his efforts to basketball full-time, ending a 10-year career as a <b>veterinary</b> <b>inspector</b> for meat control in Belgrade.|$|R
40|$|In South East Benin, {{control of}} porcine {{cysticercosis}} {{is carried out}} by using meat inspection. To assess routine inspection method for diagnostic of porcine cysticercosis, two studies were carried out. The study 1 was conducted by using data collected from seizures records from 2006 to 2011. The most important organ condemned was tongue (0. 54 %, 95 % CI: 0. 48 - 0. 60) {{and the most important}} proportion of carcasses seized was 0. 74 %. Prevalence of porcine cysticercosis estimated with meat inspection records was 0. 87 % (95 % CI: 0. 79 - 0. 94). The study 2 was performed on thirty-six pigs and did not revealed porcine cysticercosis by tongue examination. Nevertheless, a case of porcine cysticercosis was observed at meat inspection and 72. 22 % of collected sera were tested positive by Ag-ELISA (26 positive on 36). The sensitivity and the specificity of meat inspection as performed by <b>veterinary</b> <b>inspectors</b> was (0. 058, 95 % CI: 0. 003 to 0. 307) and (1. 00, 95 % CI: 0. 791 to 0. 995), respectively and no relationship was observed between meat inspection diagnostic and Ag-ELISA. This study suggests permanent training of <b>veterinary</b> <b>inspector</b> and implementation of traceability system for efficient control of porcine cysticercosis...|$|R
40|$|During {{each school}} year, {{a number of}} staff members from the college of Veterinary Medicine at Iowa State University are asked to {{participate}} in High School Career Days. The staff members are assisted by junior and <b>senior</b> <b>veterinary</b> students. On some occasions the local veterinarians have also assisted in answering some of the questions...|$|R
50|$|Oberveterinärrat (<b>senior</b> <b>veterinary</b> councillor) was a title conferred upon veterinarians in Germany. It formed {{part of the}} 5th Rangklasse {{of civil}} {{servants}} (Beamten), and ranked just below Geheimer Veterinärrat (equivalent to Geheimrat, i.e. Privy Councillor), and above Veterinärrat. The title was also used in the German Democratic Republic as an honorary title for veterinarians who had distinguished themselves.|$|R
2500|$|Cust {{was later}} {{appointed}} as a <b>veterinary</b> <b>inspector</b> by Galway County Council under the Diseases of Animals Acts, an appointment that was denied by the RCVS {{due to her}} lack of professional recognition. The post was advertised again, and when Cust was again selected for the post an agreement was reached under which she carried out {{the duties of the}} position with an amended title. Upon the death of Byrne in 1910, Cust took over the veterinary practice. [...] She practised from Fort Lyster House near Athleague. (Both Castlestrange and Fort Lyster were later demolished.) ...|$|R
50|$|After {{completing}} {{training as}} a veterinarian, her husband served with the British government in Africa. In 1962, the family settled in southern England, later moving to Scotland, where they took over the operation of her husband's family's farm. They moved again to Alberta, Canada, living first in Edmonton and then, in 1970, in Coutts. Her husband worked there as a <b>veterinary</b> <b>inspector.</b> She began writing a weekly column for the Lethbridge Herald. She also contributed to various magazines, lectured on journalism at the Lethbridge Community College and served as deputy mayor of Coutts from 1986 to 1995.|$|R
40|$|Robert R. Dappen, <b>senior</b> <b>veterinary</b> {{student at}} I. S. C. has used his {{ingenuity}} to advantage in foreseeing future {{use of an}} incubator he has designed and built. Dappen has been a student assistant for the Department of Veterinary Hygiene during {{the past four years}} and plans to use the incubator to aid him in culturing bacteriological media when he begins his veterinary practice...|$|R
40|$|Michael Paul Strayer, a <b>senior</b> <b>veterinary</b> {{medicine}} {{student at}} Iowa State University, died on November 10, 1991 of a cocaine overdose. Michael {{was born on}} September 14, 1960 to Dr. and Mrs. Paul Strayer in Cresco, IA. He moved from Waterloo 10 years ago to Ames and {{was a student at}} Iowa State University. He married Holly Hunt on August 24, 1991, in Nevada, IA...|$|R
50|$|The CAVC was {{organized}} into seven Sections, though only two, Winnipeg and Montreal, {{were at a}} state of readiness at the outbreak of war: London, Ontario; Toronto; Kingston, Ontario; Quebec; Halifax, Nova Scotia; Winnipeg and Calgary. There was also a <b>Senior</b> <b>Veterinary</b> Officer, headquartered in Kingston. Within each Division or District, there was a Principal Veterinary Officer. Provision was also made for a Canadian Army Veterinary School.|$|R
50|$|Döpfer {{has worked}} in bovine clinics, taught {{infectious}} diseases as {{an assistant professor at}} Utrecht University, and worked as a <b>senior</b> <b>veterinary</b> epidemiologist at the Quantitative Veterinary Epidemiology Group/Division of Infectious Diseases/Animal Sciences Group at Wageningen University in The Netherlands. In 2008, she became {{an assistant professor in the}} Food Animal Production Medicine Group of the School of Veterinary Medicine at the University of Wisconsin in Madison, Wisconsin, USA.|$|R
40|$|AbstractIntroductionAnatomy is {{considered}} a cornerstone in human and veterinary medical education, as this basic science discipline provides a vital foundation {{on which to build}} the knowledge of the clinical practice of medicine. ObjectiveThe aims of this study were: 1) to collect information on first year veterinary student preference, and use of supportive educational tools, and 2) to assess long-term knowledge retention in <b>senior</b> <b>veterinary</b> students who successfully completed the bovine anatomy course. MethodA survey was administered to first-year veterinary students in order to identify their learning tools of choice, and a diagnostic examination was designed to reflect highly relevant basic anatomy knowledge was administered to <b>senior</b> <b>veterinary</b> students. ResultsBesides the regular cadaver-dissection laboratories, textbooks were the tool used most frequently by first-year students to learn bovine anatomy. Computer technology was used by only 12. 2 % of the students. When evaluating knowledge retention of bovine anatomy by fourth year (senior) students, only 33. 2 % of the questions were answered correctly in the fourth year examination. ConclusionsThese results were interpreted as a low long-term retention of knowledge in Chilean veterinary medical students...|$|R
50|$|Albert Hassall (1862-1942) {{began working}} for the BAI in 1887 as a <b>Veterinary</b> <b>Inspector.</b> In 1891 he was made an Assistant in BAI’s Division of Pathology. In 1904 he became an Assistant in Zoology in BAI’s Zoological Division, he was then {{promoted}} to Assistant Zoologist in 1910. Hassall then became Assistant Chief of the Division in 1928 until his forced retirement in 1932. Hassall’s biggest contribution to the BAI was compiling the Index-Catalogue of Medical and Veterinary Zoology, a comprehensive reference work on parasitology. The Royal College of Veterinary Surgeons in London, awarded Hassall the coveted Steele Medal in 1932 {{for his work on}} this crucially important reference and research tool.|$|R
40|$|Intensive cattle {{breeding}} implies {{the implementation of}} contemporary technological - organizational principles {{and the use of}} specialized genotypes of cattle with high production potential. The objective of our investigations was to determine, through epizootiological analysis of quarantine facilities for imported breeding pigs and internal sales of pigs the faults which lead to economic damages or even the spread of contagious diseases. Epizootiological investigations were carried out in four quarantine facilities for imported breeding pigs. Epizootiological investigations were conducted also in eight cases of internal sales. The following factors were considered during the epizootiological investigations: epizootiological observations of quarantine conditions minute records of epizootiologies and minute records of the republican <b>veterinary</b> <b>inspector...</b>|$|R
40|$|Organizations try {{to socialize}} employees’ {{behaviour}} through formal {{practices such as}} training programs and selection procedures. This article focuses on how moments of informal socialization, outside the organization’s direct sphere of influence, impact on the behaviour of employees. The research is {{based on data from}} 67 semi-structured interviews with Dutch <b>veterinary</b> <b>inspectors</b> in a cross-sectional and a longitudinal panel. Their work is characterized by intensive and at times adverse contact with inspectees, yet limited interaction with their colleagues. The results show that informal socialization has an important impact on the organizational socialization of inspectors, and provides further insights into the dynamic interplay between formal socialization practices and informal socialization. Additionally, the research provides empirical evidence for the role of emotional processes in organizational socialization. status: accepte...|$|R
40|$|Public professionalism is {{increasingly}} subject to organizational and societal pressures, {{which has led}} to ambiguity concerning its nature. Professionals face conflicting situations due to potential clashes between multifaceted professional, organizational, and societal factors. This raises questions about how these factors affect professional work, how professionals experience conflicts and how they cope. We investigate such conflicts, confusion, and coping strategies in a group of <b>veterinary</b> <b>inspectors.</b> Using semi-structured interviews, we analyse their work and link the resulting insights to different perspectives on professionalism. We show that workers experience conflicts as less stressful when they accept organizational factors, or when they are able to enact a more integrated set of professional/organizational work principles. We call this organizing professionalism. We trace factors that hinder and favour such organizing coping strategies...|$|R
5000|$|In June 2001, a lynx was {{captured}} in Cricklewood after 10 years of sightings by residents. The animal was originally nicknamed the [...] "Beast of Barnet" [...] by the local press following numerous sightings of a similarly sized animal around south Hertfordshire and the fringes of north London. A <b>senior</b> <b>veterinary</b> officer for the London Zoological Society arrived {{with the task of}} sedating the beast using a tranquiliser gun. It is believed that someone was keeping the animal illegally and it had escaped. The lynx was taken to London Zoo and named Lara.|$|R
5000|$|Egedi, Ahomafo; Veterinarian & <b>Senior</b> Consultant in <b>Veterinary</b> Public Health.|$|R
40|$|The aim of {{this study}} was to assess the {{relationship}} between tail lesions, cold carcass weight and viscera condemnations in an Irish abattoir. The following data were collected at the evisceration point from every 3 rd pig slaughtered over 7 days: farm identification, sex, tail lesion score, viscera inspection outcome and cold carcass weight. Tail lesions were scored according to a 5 point scale. Disease lesions responsible for lung (pleurisy, pneumonia and abscess), heart (pericarditis) and liver (ascariasis) condemnation were recorded based on the decision of the <b>veterinary</b> <b>inspector.</b> Data on 3, 143 pigs from 61 batches were available. The relationship between disease lesions, tail lesion score and cold carcass weight was studied at individual carcass level, whereas the relationship between disease lesions and tail lesion score was studied at both carcass and batch level. Tail lesions (score ≥ 1) were found in 72 % of the study population, with 2. 3 % affected by severe tail lesions (scores ≥ 3). Pleurisy (13. 7 %) followed by pneumonia (10. 4 %) showed the highest prevalence, whereas the prevalence of ascariasis showed the greatest variation between batches (0 to 75 %). Tail lesion score, pleurisy, pleuropneumonia and pericarditis were associated with reductions in carcass cold weight (P ≤ 0. 05) ranging from 3 to 6. 6 kg. Tail lesion score was associated with condemnations for pleurisy, pneumonia and pleuropneumonia (P ≤ 0. 05) at a batch level. <b>Veterinary</b> <b>inspector</b> shift was associated with condemnations for pneumonia, pleuropneumonia and pericarditis (P ≤ 0. 05) at a carcass level and with pneumonia at a batch level. Sex was not associated with viscera condemnations but males were more likely to be affected by tail lesions. The relationship between overall tail lesion score and the lung diseases at batch level supports the relationship between poor health and poor welfare of pigs on farms. The inclusion of tail lesion scores at post mortem meat inspection should be considered as a health and welfare diagnostic tool...|$|R
6000|$|... 59. The {{transport}} {{was most}} efficient throughout the operations under reference, and its management, {{under the direction}} of Captain C.G.R. Thackwell, Divisional Transport Officer, who was most ably and energetically assisted by Veterinary-Captain H.T.W. Mann, <b>Senior</b> <b>Veterinary</b> Officer, was most successful. In proof of this I will cite a report just made to me by Brigadier-General Jeffreys, commanding the 2nd Brigade of my force, that this morning, on inspecting 1265 mules attached his brigade, which have just returned from seven weeks in the field, he found fourteen sore backs, and four animals otherwise unfit for work, or a total of only eighteen disabled animals in all.|$|R
40|$|On October 22, 1989, Clem Mulhair, a <b>senior</b> <b>veterinary</b> {{student at}} Iowa State University, {{took his own}} life. The {{following}} are excerpts from the eulogy delivered by Dr. John Greve at his memorial service. Clement Lee Mulhair: born June 14, 1963, died October 22, 1989, graduated Cozad High School 1981, attended University of Nebraska, Lincoln 1981 - 1986, enrolled in ISU College of Veterinary Medicine in the fall of 1986; memberships in the Humane Society, Pre-vet Club, SCAVMA, American Association of Avian Veterinarians and ACTORS, and gained five years experience with Dr. William Ohlmann(ISU 2 ̆ 767) in a mixed practice in Lexington, Nebraska...|$|R
40|$|This article refines Lipsky’s (1980) {{assertion}} that lacking resources negatively affect output performance. It uses fuzzy-set Qualitative Comparative Analysis to analyse the nuanced interplay of contextual and individual determinants of the output performance of <b>veterinary</b> <b>inspectors</b> as street-level bureaucrats in Switzerland. Moving ‘beyond Lipsky’, the study builds on recent theoretical contributions and a systematic comparison across organizational contexts. Against a widespread assumption, output performance {{is not all}} about the resources. The impact of perceived available resources hinges on caseloads, which prove to be more decisive. These contextual factors interact with individual attitudes emerging from diverse public accountabilities. The results contextualize the often-emphasized importance of worker-client interaction. In a setting where clients cannot escape the interaction, street-level bureaucrats are not primarily held accountable by them. Studies of output performance should thus sensibly consider gaps between what is being demanded of and offered to street-level bureaucrats, and the latter’s multiple embeddedness...|$|R
40|$|A sero-epidemiological {{survey of}} Taenia saginata {{cysticercosis}} {{was carried out}} to determine the prevalence of the infection in cattle presented for slaughter in Belgium. Between November 1997 and June 1998, a total of 1164 serum samples were collected in 20 export abattoirs. Meat inspection was routinely carried out by <b>veterinary</b> <b>inspectors.</b> Serum samples were examined for circulating parasite antigen using a monoclonal antibody-based sandwich enzyme-linked-immunosorbent assay (Ag-ELISA). Thirty six serum samples (3. 09 %) were found positive in the Ag-ELISA, while by meat inspection on the same animals cysticerci were detected in only three carcasses (0. 26 %). Sero-prevalence {{was positively correlated with}} the age of the animals. The sero-prevalence found in this study was more than 10 times higher than the annual prevalence (0. 26 %) reported by the Institute for Veterinary Inspection. This study clearly indicates that the classical meat inspection techniques detect only a minor fraction of the carcasses infected with cysticerci...|$|R
