1|172|Public
5000|$|... 1915: Graft vs. Love (1-19-1915), The Finger Prints of Fate (1-26-1915), The <b>Smuggled</b> <b>Diamond</b> (2-9-1915), The Adventure of Florence (2-23-1915), The Final Reckoning (3-9-1915), The Duel in the Dark (3-23-1915), The Cycle of Hatred (4-6-1915), Bianca Forgets (4-27-1915), Monsieur Nikola Dupree(5-4-1915), God's Witness (5-20-1915), A Freight Car Honeymoon (6-6-1915), The Six-Cent Loaf (6-8-1915), The Country Girl (6-15-1915), Crossed Wires (6-29-1915), When the Fleet Sailed (8-3-1915), M. Lecoq (8-26-1915), Reincarnation (8-31-1915), A Disciple of Nietzsche (9-25-1915), The Price of Her Silence (9-30-1915), Mr. Meeson's Will (11-6-1915), All Aboard (11-28-1915), Her Confession (12-12-1915) ...|$|E
50|$|A former British {{naval officer}} now makes his living by {{smuggling}} goods around the Mediterranean. After {{being forced to}} dump his cargo after nearly being caught by the authorities in Malta, he is eager to recoup his losses. When a former colleague appears and tells a wild story about <b>smuggling</b> <b>diamonds</b> out of south-west Africa, he sees his {{chance to make a}} lot of money.|$|R
25|$|One morning, Vandy discovers an {{enormous}} diamond in the river. Captain Poison {{tries to take}} the stone, but the area is suddenly raided by government troops. Vandy buries the stone before being captured. Both Vandy and Poison are incarcerated in Freetown, along with Danny Archer (Leonardo DiCaprio), a white Rhodesian gunrunner jailed while trying to <b>smuggle</b> <b>diamonds</b> into Liberia. They were intended for Rudolph van de Kaap (Marius Weyers), a corrupt South African mining executive.|$|R
50|$|By 1937, MI5 {{appeared}} satisfied of Ransome's {{loyalty to}} Britain. However, evidence uncovered in the KGB files following the break-up of the Soviet Union {{seems to indicate}} that Evgenia Ransome, at least, was involved in <b>smuggling</b> <b>diamonds</b> from the Soviet Union to Paris to help fund the Comintern.The topic is discussed in a 2009 book by Roland Chambers, The Last Englishman: the Double Life of Arthur Ransome, published by David R. Godine, Publisher.|$|R
50|$|Dateline Diamonds {{was mainly}} {{conceived}} by music publisher, Harold Shampan, as a publicity vehicle for up-and-coming talent. The plot revolves around <b>smuggling</b> <b>diamonds</b> between the Netherlands and the UK, via the ship, the MV Galaxy, concealed inside the band's demo tape boxes (unbeknownst to the Wonderful Radio London management). It featured the actors William Lucas, Kenneth Cope, George Mikell, Conrad Phillips, DJ Kenny Everett (as himself) and Patsy Rowlands. It {{was directed by}} Jeremy Summers.|$|R
50|$|One morning, Vandy discovers an {{enormous}} diamond in the river. Captain Poison {{tries to take}} the stone, but the area is suddenly raided by government troops. Vandy buries the stone before being captured. Both Vandy and Poison are incarcerated in Freetown, along with Danny Archer (Leonardo DiCaprio), a white Rhodesian gunrunner jailed while trying to <b>smuggle</b> <b>diamonds</b> into Liberia. They were intended for Rudolph van de Kaap (Marius Weyers), a corrupt South African mining executive.|$|R
5000|$|Nick Delaney, an American {{stranded}} in England without money, meets {{a woman who}} has <b>smuggled</b> <b>diamonds</b> into the country inside a teddy bear. But his hopes for financial aid are shattered when she is pushed from a cliff. Delaney then finds himself the prime suspect. He finally gets his hands on the gems but loses them to a gang of crooks. Can Delaney prove his innocence and shop the crooks to the police? ...|$|R
50|$|The {{city had}} always been a major source of the world's {{diamonds}} and that did not change after independence, nor did the age-old tradition of <b>diamond</b> <b>smuggling.</b> But after independence, that ability of the government to control the <b>diamond</b> <b>smuggling</b> quickly eroded and <b>diamond</b> <b>smuggling</b> dramatically increased. The black market quickly eclipsed the official business, and in 1963, MIBA officially recorded producing 1.4 million karats of diamonds, while smugglers exported between 4 million and 6 million more karats.|$|R
50|$|McCord {{grew up in}} Houston, Texas, USA. She {{left home}} when she was 18 years oldand moved into an {{apartment}} with a friend. After a few months, they were becoming low on funds when McCord's roommate returned {{from a trip to}} Europe, claiming to have made $10,000 (USD) by <b>smuggling</b> <b>diamonds.</b> Intrigued, McCord agreed to meet her roommate's employer, but when she learned that not only would she be traveling to Bangladesh, but would also be smuggling drugs, she became reluctant. McCord's soon-to-be employer then doubled the payment to $20,000 and informed her that she would be smuggling drugs into Switzerland, not the US. McCord agreed. She learned that her roommate had also <b>smuggled</b> heroin, not <b>diamonds,</b> through an airport.|$|R
50|$|A {{previously}} unknown {{member of the}} Kiriakis family, Xander came to Salem {{as the leader of}} an international blood <b>diamond</b> <b>smuggling</b> ring. He forced and threatens Serena Mason to come to Salem to steal an elephant statue that secretly hid <b>smuggled</b> blood <b>diamonds</b> from Africa. As a cover for his criminal activities, Xander owns a European pharmaceutical company that supplies various charities around the world.|$|R
2500|$|When Paul's {{former lover}} Dakota Davies (Sheree Murphy) came to town, Daniel became embroiled in her {{plan to get}} revenge on Paul and <b>smuggle</b> <b>diamonds</b> into Australia. Dakota {{convinced}} Paul to finance a bar for her and she then set out [...] "to ingratiate herself with an impressionable Daniel". Noting Paul's love for his nephew, Dakota offered Daniel the managers job {{at the bar and}} he accepted after being persuaded by Paul. They were both unaware that Dakota was planning on setting up Daniel as [...] "the perfect front-man" [...] for their plan. When Daniel was tasked with signing for several shipments of coffee beans, Mark Brennan (Scott McGregor) realised that he was being set up. Shortly before a planned police raid was carried out on the bar, Brennan learned that Daniel was meant to sign for another delivery containing <b>smuggled</b> <b>diamonds,</b> so he told Amber's father, Constable Matt Turner (Josef Brown) in the hope that he could help. Matt then detained Daniel for jaywalking, while the raid went ahead, which infuriated him. Daniel and Amber initially believed that Matt was trying to [...] "punish" [...] them both for the engagement, but they eventually thanked him when he explained that he was only protecting Daniel.|$|R
5000|$|... "To Hull and Back" [...] is {{the fourth}} Christmas special episode of the BBC sitcom, Only Fools and Horses, first {{screened}} on 25 December 1985. It was the first feature-length edition of the show. The title of the special {{is derived from the}} film To Hell and Back. Parts of the special were shot on location in Amsterdam and unlike most other episodes was shot entirely on film and therefore not before a studio audience (making it laugh-track free). In the episode, the Trotters agree to <b>smuggle</b> <b>diamonds</b> from Amsterdam for Boycie.|$|R
50|$|Suman is kidnapped {{in order}} to force Shankar to aid a kingpin by using an {{international}} car rally championship as cover to <b>smuggle</b> <b>diamonds.</b> With Raju's help, of course, good prevails over evil and symbolically, Shanker is wounded protecting Suman and as they role free of the shooting and explosions and come to rest, it is seen that Suman's forehead has been marked crimson by the blood of her soul mate. Raju has learnt a heart-crushing lesson in the dangers or excess and frivolity but in the end, there is hope and greater wisdom.|$|R
5000|$|... 64 Diamantenschmuggel (<b>Diamond</b> <b>Smuggling)</b> (1995, by B. J. Henkel-Waidhofer) ...|$|R
50|$|In Ian Fleming's novel, {{she is an}} American diamond {{smuggler}} {{working as}} a fence for The Spangled Mob, a ruthless American gang that is <b>smuggling</b> <b>diamonds</b> from Africa through an international pipeline. Bond contacts her in London posing as petty crook Peter Franks, using her professionally as a gateway into the pipeline even as he develops a personal interest in her. Felix Leiter, familiar with Tiffany's background, acquaints Bond {{with the fact that}} she was gang-raped as a teenager and, as a result, has developed a hatred of men. She is nevertheless attracted to Bond, and the two ultimately become lovers.|$|R
5000|$|His own {{corruption}} {{would eventually}} turn him to crime, leading him into illegal <b>diamond</b> <b>smuggling</b> {{which is the}} main focus of the episode [...] "To Hull and Back" [...] and a strong part of the plot to [...] "The Class of '62". His initial prosecution of <b>diamond</b> <b>smuggling</b> landed him a five-year prison sentence.|$|R
5000|$|Attacks by UNITA on mining centers, {{disruption}} of transport routes, and widespread theft and <b>smuggling</b> caused <b>diamond</b> sales {{to fall to}} US$33 million by 1985 and to an estimated US$15 million in 1986.|$|R
50|$|DC Showcase: Catwoman, also titled {{as simply}} Catwoman, is a 2011 short {{animated}} film, directed by Lauren Montgomery and written by Paul Dini. The film features Eliza Dushku as Catwoman / Selina Kyle {{in her first}} solo tale, as she attempts to bring both a Gotham City crime boss called Rough Cut and his smuggling ring to an end, stumbling upon a mysterious cargo shipment far worse than just <b>smuggled</b> <b>diamonds.</b> DC Showcase: Catwoman was released on October 18, 2011 as a bonus feature and continuation of the Catwoman story line on the Batman: Year One DVD. It is the fifth and latest installment in the DC Showcase series.|$|R
50|$|Chanakya (Chiranjeevi),a Customs {{officer at}} airport {{is the son}} of a Military Major(Kaikala Satyanarayana|Satyanarayana) who is about to be awarded Padmasree for his services. Chanakya catches the {{smuggling}} ring of Raogopalrao and in retaliation they prove that Chanakya's father is <b>smuggling</b> <b>diamonds.</b> Faced with humiliation, Chanakya challenges the villains of proving his father's innocence and bringing the culprits to justice. Vijayasanthi is the airhostess who works with chanakya, who has problems with her sister's family, for her mother-in-law always threatens for more dowry.The rest of the story deals with how both of them fight for their causes in settling their professional and personal issues and come out successfully to be united in the marital knot forms the story.|$|R
5000|$|She {{appeared}} in over 30 films between 1957 and 1985 mostly playing a sweet old lady or motherly figure in minor roles. She {{is perhaps best}} remembered internationally for starring in the 1971 James Bond film Diamonds Are Forever in which she played a seemingly innocent Christian school teacher who <b>smuggled</b> <b>diamonds</b> in her bible for the henchmen Mr. Wint and Mr. Kidd. In the film, she was later found murdered and her body recovered out of an Amsterdam canal. She also had cameo role in John Schlesinger's 1961 semi-documentary [...] "Terminus" [...] as the elderly lady who lost her umbrella. She was friendly with Schlesinger and {{appeared in}} small parts in several of his films.|$|R
50|$|Two police {{officers}} {{consisting of a}} police sergeant (Jon Granik) and Officer Fritz (Guy Sanvido) from the MPD enter with a search warrant. They find different things in the panels of the Cube like <b>smuggled</b> <b>diamonds</b> in the chocolate rabbit, a stack of gold bullion from the Bank of Munich, vital plans of the X-74 (which was classified top secret), microfilm documenting the entire National Security System, an arsenal (consisting of machine guns, sten guns, dynamite), a bound and gagged Dr. Kingsley (who was missing for two weeks {{as part of a}} ransom). The Man is then handcuffed by the police sergeant in an uncomfortable way as the {{police officers}} leave with everything while telling the Man to wait until they return.|$|R
5000|$|The 1971 film {{adaptation}} of Diamonds are Forever substantially revised the plot and, with it, Tiffany's character. In the film, {{she is a}} small-time smuggler unwittingly working for Bond's nemesis Ernst Stavro Blofeld and his terrorist organisation, SPECTRE. Posing as gangster Peter Franks, Bond arranges a partnership with her, {{but this time it}} is to investigate her role in Blofeld's latest criminal scheme. She initially believes that she and [...] "Franks" [...] are going to make millions, but gets caught up in much more than she bargained for when the real Peter Franks arrives on her doorstep. From the moment she and Bond find Plenty O'Toole soaking in Tiffany's swimming pool, drowned mistakenly instead of her, Tiffany helps Bond follow the path of the <b>smuggled</b> <b>diamonds</b> until the trail leads to Blofeld.|$|R
