1|150|Public
5000|$|Settle Down / <b>Sea</b> <b>Dune</b> - EP (1998) Unbelievable Truth (Virgin Records) ...|$|E
50|$|Titan's dunes include large expanses with modal {{lengths of}} about 20-30 km. The regions are not topographically confined, {{resembling}} sand <b>seas.</b> These <b>dunes</b> are interpreted to be longitudinal dunes whose crests are oriented {{parallel to the}} dominant wind direction, which generally indicates west-to-east wind flow. The sand is likely composed of hydrocarbon particles, possibly with some water ice mixed in.|$|R
2500|$|An erg (also sand <b>sea</b> or <b>dune</b> <b>sea,</b> or sand sheet if {{it lacks}} dunes) is a broad, flat area of desert covered with wind-swept sand {{with little or}} no {{vegetative}} cover. The term takes its name from the Arabic word ʿarq (...) , meaning [...] "dune field". Strictly speaking, an erg is defined as a desert area that contains more than [...] of aeolian or wind-blown sand and where sand covers more than 20% of the surface. Smaller areas are known as [...] "dune fields". The largest hot desert in the world, the Sahara, covers [...] and contains several ergs, such as the Chech Erg (...) and the Issaouane Erg (...) in Algeria. Approximately 85% of all the Earth's mobile sand is found in ergs that are greater than [...] Ergs are also found on other celestial bodies, such as Venus, Mars, and Saturn's moon Titan.|$|R
40|$|Because dunes {{protect a}} large part of The Netherlands against coastal {{flooding}} and inundation, it is vital to guarantee the strength of these natural sea defenses. Besides <b>sea</b> defense, <b>dunes</b> have other functions. Sandy shorelines and dunes are frequently eroded. A legal framework has been developed that guarantees the required safety-level of dunes and protects the dune environment as well. Erosion of the coastline is compensated by artificial beach nourishment. Hydraulic EngineeringCivil Engineering and Geoscience...|$|R
50|$|Euclea racemosa (the <b>Sea</b> Guarrie or <b>Dune</b> Guarrie) is a {{small to}} {{medium-sized}} evergreen tree that is indigenous to the Indian Ocean coast of Africa from Egypt to South Africa, {{as well as in}} Comoros, Oman and Yemen.|$|R
50|$|A Game of Authors is {{a thriller}} novel written by Frank Herbert between The Dragon in the <b>Sea</b> (1955) and <b>Dune</b> (1965), and {{published}} posthumously in 2013. The plot involves an American journalist who faces danger in Mexico.|$|R
5000|$|An erg (also sand <b>sea</b> or <b>dune</b> <b>sea,</b> or sand sheet if {{it lacks}} dunes) is a broad, flat area of desert covered with wind-swept sand {{with little or}} no {{vegetative}} cover. The term takes its name from the Arabic word ʿarq (...) , meaning [...] "dune field". Strictly speaking, an erg is defined as a desert area that contains more than 125 km2 of aeolian or wind-blown sand and where sand covers more than 20% of the surface. Smaller areas are known as [...] "dune fields". The largest hot desert in the world, the Sahara, covers [...] and contains several ergs, such as the Chech Erg (...) and the Issaouane Erg (...) in Algeria. Approximately 85% of all the Earth's mobile sand is found in ergs that are greater than 32000 km2. Ergs are also found on other celestial bodies, such as Venus, Mars, and Saturn's moon Titan.|$|R
25|$|Poland's {{territory}} extends {{across several}} geographical regions, between latitudes 49° and 55° N, and longitudes 14° and 25° E. In the north-west is the Baltic seacoast, which {{extends from the}} Bay of Pomerania to the Gulf of Gdańsk. This coast is marked by several spits, coastal lakes (former bays that have been {{cut off from the}} <b>sea),</b> and <b>dunes.</b> The largely straight coastline is indented by the Szczecin Lagoon, the Bay of Puck, and the Vistula Lagoon.|$|R
50|$|Arctotheca populifolia is {{a species}} of {{flowering}} plant in the aster family known by the common names beach daisy, Cape beach daisy, South African beach daisy, coast capeweed, dune arctotheca, beach pumpkin, <b>sea</b> pumpkin, <b>dune</b> cabbage, and in South Africa, seepampoen, tonteldoek, and strandgousblom. This species is native to South Africa. It was introduced to Australia {{and is now a}} common weed of coastal areas in New South Wales, South Australia, Tasmania, Victoria, and Western Australia.|$|R
50|$|Poland's {{territory}} extends {{across several}} geographical regions, between latitudes 49° and 55° N, and longitudes 14° and 25° E. In the north-west is the Baltic seacoast, which {{extends from the}} Bay of Pomerania to the Gulf of Gdańsk. This coast is marked by several spits, coastal lakes (former bays that have been {{cut off from the}} <b>sea),</b> and <b>dunes.</b> The largely straight coastline is indented by the Szczecin Lagoon, the Bay of Puck, and the Vistula Lagoon.|$|R
40|$|Within coastal systems, {{sand dunes}} {{are the only}} natural {{barriers}} able to counteract erosive processes. Since their equilibrium is often threatened by human activities and high vulnerability of the coastal environment, dunes require increasing attention and specific monitoring. Located between the mainland and the <b>sea,</b> <b>dunes</b> are unique residue habitats for some plant and animal species. In particular, their vegetation {{is important because it}} has a consolidation function and promotes the vertical dune accretion. A georeferenced vegetation classification can be useful to define the advancements or erosion stage of the dune, usually based only on the geometric reconstruction. The proposed study aims to compare the classifications performed with some combinations of two of the last generation sensors and traditional image processing techniques. High spectral resolution satellite image (WorldView- 2) and a multispectral orthophoto, obtained from data acquired by an unmanned aerial vehicle, were used. Objects and pixel algorithms were applied and the results were compared by a statistical test. Using the same bands, the findings show that both data are suitable for monitoring the evolutionary dune status. Specifically, the WorldView- 2 pixel-based classification and UAV object-based classification provide the same accurate results...|$|R
5000|$|Found principally in low-lying damp, low {{fertility}} {{areas like}} sandy <b>sea</b> shores and <b>dune</b> slacks and coastal flats, occasionally in salt marshes and disturbed saline areas, mine dumps, lowland grassland and grassy woodland, riparian vegetation, freshwater wetland, and saline and subsaline wetlands ...|$|R
5000|$|The {{lighthouse}} is {{a surprising}} distance (nearly 1/4 mi) {{from the sea}} front. At {{the time it was}} built, there was nothing between it and the <b>sea</b> but sand <b>dunes,</b> and fear of coastal erosion led to it being positioned well back.|$|R
50|$|Dekkersduin (or Oostblok) is {{a former}} dune in The Hague, Netherlands. The dune existed in the 19th century at the current {{location}} of the district Duinoord, west of the current Peace Palace and was located roughly 2 kilometers from the <b>sea.</b> The <b>dune</b> was popular amongst landscape painters, such as Jacob Maris and Jan Hendrik Weissenbruch, because it offered a good outlook to the area to produce perspectives. A painting with the same name, Dekkersduin, by Weissenbruch shows the panorama from this dune.|$|R
50|$|Tourism is favorised by {{numerous}} food and housing accommodation. Sion neighborhood {{has made the}} town of Saint-Hilaire-de-Riez {{one of the most}} touristic cities of Vendée. Between <b>sea,</b> forest and <b>dunes,</b> Sion Ocean has kept its soul and charm of an authentic old fishing port.|$|R
50|$|The {{reserve is}} in the {{municipality}} of Baía Formosa in Rio Grande do Norte, and covers 2039.93 ha.It is owned by Destilaria Baía Formosa and {{is part of the}} 7897 ha Fazenda Pedrosa in the municipality of Baía Formosa, Rio Grande do Norte.The reserve was created on 30 March 2000 by Marilia Marreco Cerqueira, President of the Brazilian Institute of Environment and Renewable Natural Resources (IBAMA).It takes its name Mata da Estrela (Star Forest) from its shape.The forest is beside the <b>sea</b> on <b>dunes.</b>|$|R
40|$|The Slufter is an estuary {{located in}} Texel’s North <b>Sea</b> <b>dunes</b> and protects the {{hinterland}} from flooding from the North Sea. As the multi actor {{environment and the}} diversity of values and functions associated with the Slufter are recognized, this research focuses on developing an approach for the district water board to broaden the knowledge base and include stakeholder perspectives. The deepened system understanding is used in a knowledge intervention aimed at enhancing the long-term decision making on the inherently dynamic, coastal nature reserve. Although the knowledge intervention was possibly not as effective as it could have been, {{there are indications that}} synthesized system understanding can be useful in stakeholder settings. In particular, the information derived both from the model and the interviews with stakeholders provides an indication that a shared understanding of the ecological and social functions of the Slufter estuary can be enhanced by integrating a stakeholder approach and problem modeling. Also, practical implications for monitoring the inherently dynamic nature reserve. Further research should be aimed at development and verification the approach in order to have practical value for other projects within and beyond the district water board. Systems Engineering, Policy Analysis and ManagementMulti Actor SystemsTechnology, Policy and Managemen...|$|R
5000|$|The Esk {{continues}} {{past the}} small villages of Boot and Eskdale Green. Just after Boot, the significant tributary of Whillan Beck joins {{the river from}} the north east, the beck being the outflow from Burnmoor Tarn, four km to the north. Continuing in a south westerly direction the Esk flows beneath Hinning House bridge, three km east of Ravenglass, {{at this point the}} river becomes tidal. Shortly after passing the Muncaster Castle Estate the river reaches the Irish Sea at Ravenglass. At its estuary the Esk is joined by the rivers Irt and Mite. The estuary has evolved over the centuries, the Esk and Irt were earlier separated by a shingle bank formed by the <b>sea,</b> <b>dunes</b> were formed when they eventually joined together. The estuary dunes are the location of the Eskmeals nature reserve, a Site of Special Scientific Interest (SSSI) over an area of 165.5 acres (67 hectares). The SSSI is made up of mostly coastal dunes and salt marsh attracting breeding birds and a profusion of flowers. The dunes are also the site of the Eskmeals Range, a shooting range owned by the MOD) and operated by the contractor Qinetiq. [...] The estuary is crossed by the Cumbrian Coast Line railway on the Eskmeals viaduct just south of Ravenglass.|$|R
