2|66|Public
5000|$|Gearbox and clutch: 5 <b>synchronized</b> <b>speed</b> + RG clutch single {{dry disc}} ...|$|E
50|$|The vast {{majority}} of clutches ultimately rely on frictional forces for their operation. The purpose of friction clutches is to connect a moving member to another that is moving at a different speed or stationary, often to <b>synchronize</b> the <b>speeds,</b> and/or to transmit power. Usually, as little slippage (difference in speeds) as possible between the two members is desired.|$|R
40|$|High speed data {{transmission}} {{is the current}} scenario in networking environment. Cyclic redundancy check (CRC) is essential method for detecting error when the data is transmitted. With challenging the speed of transmitting data, to <b>synchronize</b> with <b>speed,</b> it’s necessary to increase speed of CRC generation. Starting from the serial architecture identified a recursive formula from which parallel design is derived. For simulation and functional verification we will use modelSim and alteraQuartus 2. High speed {{data transmission}} is the current scenario in networking environment. Cyclic redundancy check (CRC) is essential method for detecting error when the data is transmitted. With challenging the speed of transmitting data, to <b>synchronize</b> with <b>speed,</b> it’s necessary to increase speed of CRC generation. Starting from the serial architecture identified a recursive formula from which parallel design is derived. This paper presents 64 bits parallel CRC architecture based on F matrix with order of generator polynomial is 3...|$|R
5000|$|In {{addition}} to synchronizing generators to power systems, similar frequency-difference indicating instruments are used on multiengine ships and aircraft {{to allow the}} operators to exactly <b>synchronize</b> the <b>speed</b> of engines. This helps reduce the noise and vibration due to slight differences, for example, in the speeds of two propellers on an aircraft. In this application a synchroscope responds to slight speed differences {{that would not be}} visible on an engine tachometer.|$|R
40|$|AbstractThis paper {{explains}} the method to <b>synchronize</b> <b>speed</b> and distance for contact size measurement. The contact size {{was measured using}} ultrasound that strikes continuously onto the surface. Part of the ultrasound energy was transmitted and another part was reflected. As this happen, there is a reduction in pulse amplitude due to the fraction between the reflected energy and the transmitted one. A series of reflection pulses were obtained as the ultrasound pulses strikes. These amplitude pulses reduce when enters contact and eventually return to normal. If the speed and distance of a track were measured, then {{it is possible to}} measure the contact size as the contact passing. However, the speed and ultrasound pulsing rate must be synchronized so that the distance is proportionate to speed changes. In this work, a 6410 deep groove ball bearing were used to measure contact size in circular motion. The method, calculation steps and validation are shown. It was found that the distance remained constant as the speed and pulsing rate changed proportionally...|$|R
40|$|There are {{different}} ways to operate digital circuits to achieve good propagation of data. In recent days most of the digital circuits are failing to synchronize the clock with data waves. The clock pulse must be given in proper time period, almost equal to the data propagation speed or arrival time of the data to the next stage. In the present paper a new method is proposed to <b>synchronize</b> the <b>speed</b> between data and clock pulse...|$|R
50|$|The International Skating Union (ISU) is the {{international}} governing body for competitive ice skating disciplines, including figure skating, <b>synchronized</b> skating, <b>speed</b> skating, and short track speed skating. It was founded in Scheveningen, Netherlands, in 1892, {{making it one of}} the oldest international sport federations. The ISU was formed to establish standardized international rules and regulations for the skating disciplines it governs, and to organize international competitions in these disciplines. It is now based in Lausanne, Switzerland.|$|R
40|$|Swimming {{movements}} in boxfishes {{were much more}} complex and varied than classical descriptions indicated. At low to moderate rectilinear swimming speeds ( 5 TL s^(- 1)) was characterized {{by the use of}} a caudal burst-and-coast variant. Adduction was always faster than abduction in the pectoral fins. There were no measurable refractory periods between successive phases of the fin movement cycles. Dorsal and anal fin movements were <b>synchronized</b> at <b>speeds</b> greater than 2. 5 TL s^(- 1), but were often out of phase with pectoral fin movements. ...|$|R
50|$|Similarly, {{most modern}} {{motorcycles}} use unsynchronized transmissions: their low gear inertias and higher strengths mean that forcing the gears to alter speed is not damaging, and the pedal operated selector on modern motorcycles, with no neutral position between gears (except, commonly, 1st and 2nd), is {{not conducive to}} having the long shift time of a synchronized gearbox. On bikes with a 1-N-2(-3-4...) transmission, it is necessary either to stop, slow down, or <b>synchronize</b> gear <b>speeds</b> by blipping the throttle when shifting from 2nd into 1st.|$|R
50|$|Kerner’s {{hypothesis}} is that homogeneous synchronized flow can occur anywhere in a two-dimensional region (2D) of the flow-density plane (2D-region S in Figure 4(a)). The set of possible free flow states (F) overlaps in vehicle density the set of possible states of homogeneous synchronized flow. The free flow states on a multi-lane road and states of homogeneous synchronized flow are separated by {{a gap in the}} flow rate and, therefore, by a gap in the speed at a given density: at each given density the <b>synchronized</b> flow <b>speed</b> is lower than the free flow speed.|$|R
40|$|Abstract. We analyze <b>synchronized</b> high <b>speed</b> video im- on the {{magnitude}} of the charge moment change [Pasko et ages and ELF-VLF radio emissions from 11 sprite clusters al., 1997]. It is thus important to measure simultaneously observed on 6 October 1997. Quantitative analysis shows the lightning charge moment change and the vertical extent that verticalightning charge moment changes of 150 - 1100 of the optical emissions, which cannot be done with a single C. km occurred before the optical emissions reached their photometer channel. peak with delays of 2 - 11 ms from the lightning discharge. The combination of extracted current moment waveforms This threshold unexpectedly decreases with increasing de- and photometer observations have also confirmed the exlay from parent lightning to peak emissions. We also find istence of large electrical currents flowing in sprites themthat sprite charge moment change and minimum sprite al- selves [Cureruer et al., 1998], an idea which had been protitude are not well correlated with the vertical charge mo- posed some time before [P. Krehbiel, personal communicament change in the parent discharge. These observations do tion, 1996]. However, the relationship of this sprite current not agree well with present sprite generation models, and we to sprite development has not been investigated because of a suggest that streamer development and horizontalightning lack of optical observations with sufficient spatial and temcharge motion can {{play a significant role in}} sprite generation. poral resolution. In this work, we use <b>synchronized</b> high <b>speed</b> optical and radio observations to measure the verticalightning charg...|$|R
40|$|Transmissions by {{synchronous}} belts {{combine the}} advantages of transmissions by single belts (plates, trapezoidal or striated) due to their low weight, their low maintenance, great beaches of linear speeds and big transmission ratios with {{the advantages of}} chains: no slip, <b>synchronized</b> transmission <b>speed,</b> low tension pose, etc. with {{the teeth of the}} belt entering the corresponding timing pulleys, there is a direct transmission of power without slippage as between two gears. These synchronous transmissions are of quasi universal application, in all cases where the user wishes to have a positive fit and sliding. The {{purpose of this article is}} to gather information on the behavior of belts which differ mainly in their forms transverse tooth along the width...|$|R
50|$|Double layer (DL) {{media have}} two {{independent}} data layers {{separated by a}} semi-reflective layer. Both layers are accessible from the same side, but require the optics to change the laser's focus. Traditional single layer (SL) writable media are produced with a spiral groove molded in the protective polycarbonate layer (not in the data recording layer), to lead and <b>synchronize</b> the <b>speed</b> of recording head. Double-layered writable media have: a first polycarbonate layer with a (shallow) groove, a first data layer, a semi-reflective layer, a second (spacer) polycarbonate layer with another (deep) groove, and a second data layer. The first groove spiral usually starts on the inner edge and extends outwards, while the second groove starts on the outer edge and extends inwards.|$|R
40|$|Abstract. We analyze <b>synchronized</b> high <b>speed</b> video {{images and}} ELF-VLF radio {{emissions}} from 11 sprite clusters observed on 6 October 1997. Quantitative analysis shows that vertical lightning charge moment changes of 150 – 1100 C·km occurred before the optical emissions reached their peak with delays of 2 – 11 ms from the lightning discharge. This threshold unexpectedly decreases with increasing delay from parent lightning to peak emissions. We also find that sprite charge moment change and minimum sprite altitude {{are not well}} correlated with the vertical charge moment change in the parent discharge. These observations do not agree well with present sprite generation models, and we suggest that streamer development and horizontal lightning charge motion can {{play a significant role}} in sprite generation...|$|R
5000|$|Synchronous {{transmission}} uses no {{start and}} stop bits, but instead <b>synchronizes</b> transmission <b>speeds</b> at both the receiving and sending end of the transmission using clock signal(s) built into each component. A continual stream of data is then sent between the two nodes. Due to there being no {{start and stop}} bits the data transfer rate is quicker although more errors will occur, as the clocks will eventually get out of sync, and the receiving device would have the wrong time that had been agreed in the protocol for sending/receiving data, so some bytes could become corrupted (by losing bits). Ways to get around this problem include re-synchronization of the clocks and use of check digits to ensure the byte is correctly interpreted and received ...|$|R
5000|$|There can {{be several}} {{mechanisms}} of vehicle over-acceleration. It {{can be assumed}} that on a multi-lane road the most probable mechanism of over-acceleration is lane changing to a faster lane. In this case, the F → S phase transitions are explained by an interplay of acceleration while overtaking a slower vehicle (over-acceleration) and deceleration to {{the speed of a}} slower-moving vehicle ahead (speed adaptation). Overtaking supports the maintenance of free flow. [...] "Speed adaptation" [...] on the other hand leads to <b>synchronized</b> flow. <b>Speed</b> adaptation will occur if overtaking is not possible. Kerner states that the probability of overtaking is an interrupted function of the vehicle density (Figure 6): at a given vehicle density, the probability of overtaking in free flow is much higher than in synchronized flow.|$|R
40|$|The paper {{presents}} study {{findings on}} synchronization of the gantry crane support movement. Asynchrony moving speed bearings {{may lead to}} an emergency mode at the natural rate of deformed metal structure alignment. The use of separate control of asynchronous motors with the vector control method allows <b>synchronizing</b> the movement <b>speed</b> of crane supports and achieving {{a balance between the}} motors. Simulation results of various control systems are described. Recommendations regarding the system further application are given...|$|R
50|$|There can be {{significant}} backlash in unsynchronized transmissions {{because of the}} intentional gap between dog gears (also known as dog clutches). The gap is necessary so that the driver or electronics can engage the gears easily while <b>synchronizing</b> the engine <b>speed</b> with the driveshaft speed. If there was a smaller clearance, it would be nearly impossible to engage the gears because the teeth would interfere {{with each other in}} most configurations. In synchronized transmissions, synchromesh solves this problem.|$|R
50|$|A {{control track}} is a track that runs along an outside {{edge of a}} {{standard}} analog videotape (including VHS). The control track encodes a series of pulses, each pulse corresponding {{to the beginning of}} each frame. This allows the video tape player to <b>synchronize</b> its scan <b>speed</b> and tape speed to the speed of the recording. Thus, the recorded control track defines the speed of playback (e.g. SP, LP, EP, etc.), and it is also what drives the relative counter clock that most VCRs have.|$|R
50|$|Until recently, most longarm {{machines}} were hand-guided which meant the operator had to synchronise {{the speed of}} their hands {{with that of the}} machine motor. Fast hands and slow motor meant big stitches. Slow hands and fast motor meant small stitches. Since just {{after the turn of the}} century, most longarm machines are now sold with stitch-regulation, which means that the operator no longer has to <b>synchronize</b> hand <b>speed</b> with that of the motor. Electronics in the machine ensure the stitch length remains constant. More recently, fully computerized machines are being sold. Fully computerized machines have been available for over 12 years. They were invented by Paul Statler but have only recently become popular. These machines use specialised machine-driver software and CAD-type drawing packages to enable pattern digitisation and automatic quilting. An operator is still required to mind the machine and set the pattern onto the quilt.|$|R
5000|$|System type (3) {{gives the}} {{advantage}} that activated functions are synchronized independent of pump flow capacity. The flow relation between 2 or more activated functions remains independent of load pressures, {{even if the}} pump reaches the maximum swivel angle. This feature is important for machines that often run with the pump at maximum swivel angle and with several activated functions that must be <b>synchronized</b> in <b>speed,</b> such as with excavators. With type (4) system, the functions with up-stream compensators have priority. Example: Steering-function for a wheel loader. The system type with down-stream compensators usually have a unique trademark depending on the manufacturer of the valves, for example [...] "LSC" [...] (Linde Hydraulics), [...] "LUDV" [...] (Bosch Rexroth Hydraulics) and [...] "Flowsharing" [...] (Parker Hydraulics) etc. No official standardized name {{for this type of}} system has been established but Flowsharing is a common name for it.|$|R
40|$|A {{continuous}} web {{winding system}} is a large-scale, complex interconnected dynamic system with numerous tension zones to transport the web while processing it. There are two control schemes for large-scale system control: the centralized scheme and the decentralized scheme. Centralized control is the traditional control method, which considers all {{the information about the}} system to be a single dynamic model and design a control system for this model. A speed synchronization control strategy for multiple induction motors, based on adjacent cross-coupling control structure, is developed by employing total sliding mode control method. The proposed control strategy is to stabilize speed tracking of each induction motor while <b>synchronizing</b> its <b>speed</b> with the speed of the other motors so as to make speed synchronization error amongst induction motors converge to zero. The global stability and the convergence of the designed controller are proved by using Lyapunov method. Simulation results demonstrate the effectiveness of the proposed method...|$|R
40|$|The 3 R 60 Modular Knee is {{a unique}} {{polycentric}} joint offering an ergonomically balanced stride (EBS) and hydraulic swing phase control. It is designed for the moderately active amputee weighing up to 100 kg (220 lbs.). Swing phase is controlled by an adjustable hydraulic cylinder which automatically <b>synchronizes</b> with gait <b>speed,</b> The knee's ergonomie flexion feature actually increases stance phase security. Controlled resistance provides up to 15 ° of cushioned stance flexion between heel strike and foot flat. This improvement İn knee biomechanics results in increased comfort during weight bearing and walking. Your patients will appreciate the generous max imum flexion (150 °) and low 9 2 0 gram weight...|$|R
50|$|Earlier designs used a {{rubberized}} idler-wheel drive system. However, {{wear and}} decomposition of the wheel, {{as well as}} the direct mechanical coupling to a vibrating motor, introduced low-frequency noise ("rumble") and speed variations ("wow and flutter") into the sound. These systems generally used a synchronous motor which ran at a <b>speed</b> <b>synchronized</b> to the frequency of the AC power supply. Portable record players typically used an inexpensive shaded-pole motor. At the end of the motor shaft there was a stepped driving capstan; to obtain different speeds, the rubber idler wheel was moved to contact different steps of this capstan. The idler was pinched against the bottom or inside edge of the platter to drive it.|$|R
40|$|A new {{normalized}} coupling synchronization (NCS) {{method is}} proposed {{to solve the}} problem of <b>synchronizing</b> the <b>speeds</b> of all wheels in a multi‐axis independent driving system without mechanical transmission connection. The NCS method integrates normalizing and coupling techniques by emulating mechanical line shaft. All wheelsʹ speeds are normalized, and thus can be synchronized whether the wheelʹs revolution speeds are the same or different. Then, all of the normalized wheel speeds are coupled in order to eliminate speed synchronization errors between any pair of axes. Therefore, the new algorithm is able to achieve global speed synchronization. It is applicable to multi‐ axis driving vehicles either driving in straight line or making a turn. The conducted computational simulation shows that the proposed method gets better result in reducing speed synchronization errors in both cases of same and different wheel speeds compared to some classic speed sync methods in the literature. To further validate the effectiveness and applicability of the NCS method, it is also applied to a four‐wheel‐driving and four‐wheel‐steering vehicle for comparison tests. The onboard tests indicate that the proposed method achieves a fast convergence of speed error...|$|R
40|$|Abstract: Aggregates {{need to pass}} {{numerous}} {{tests to}} ensure the performance of asphalt and concrete structures and pavements. Some of these tests are fairly onerous, requiring manual, labor intensive, cost ineffective measurements that do not provide significant statistical validity, and are prone to errors through ignorance, negligence, or even in some cases through deliberate misrepresentation. This paper presents a vision based alternative to measure the shape of aggregate particles. The system, although requiring increased capital investment, will result in objective, cost effective, and timely testing of aggregate shape. The system uses dual, <b>synchronized,</b> double <b>speed</b> progressive scan cameras to image the aggregate piece from two directions. A dual image acquisition card simultaneously digitizes both images and does real-time thresholding to create a binary image, which is ported to the host computer. A software trigger determines {{the presence of an}} aggregate piece in the image, and the boundaries of the piece are delineated by a perimeter-walking routine. Measurements of aspect ratio and minimum curve radius are made on the perimeter array, and are compared to flat and elongated tests, coarse aggregate angularity �uncompacted voids�, compacted voids, and fractured face counts...|$|R
