1|70|Public
50|$|Gearbox: 8x2 <b>speed,</b> <b>locking</b> {{transaxle}} differential.|$|E
50|$|In a {{torque-controlled}} drill, for instance, {{one shaft}} {{is driven by}} a motor and the other drives a drill chuck. The clutch connects the two shafts so they may be locked together and spin at the same <b>speed</b> (engaged), <b>locked</b> together but spinning at different speeds (slipping), or unlocked and spinning at different speeds (disengaged).|$|R
40|$|I am {{designing}} a narrow linewidth 657 nm diode laser {{for use in}} an atom interferometer. I will discuss both passive and active stabilization of diode lasers {{as well as a}} new grating stabilization scheme developed in our lab with its advantages and disadvantages. I have constructed a high <b>speed</b> <b>lock</b> circuit with a bandwidth of 4 MHz that is used with the Pound Drever-Hall method to lock the diode laser to a cavity with a finesse of 30, 000. The laser’s current linewidth is approximately 3 kHz. Future work and a plan to achieve a Hz level linewidth are presentedACKNOWLEDGMENTS This work {{would not have been possible}} without the help of my advisor Dallin Durfee. Not only has he been a great resource of knowledge and guidance for this project, but he has been a great friend and mentor and has profoundly impacted my choice to continue on in atomic physics research...|$|R
40|$|As {{commonly}} used forced convection air cooling devices in electronics, cooling fans are crucial for guaranteeing {{the reliability of}} electronic systems. In a cooling fan assembly, fan bearing failure is a major failure mode that causes excessive vibration, noise, reduction in rotation <b>speed,</b> <b>locked</b> rotor, failure to start, and other problems; therefore, {{it is necessary to}} conduct research on the health assessment of cooling fan bearings. This paper presents a vibration-based fan bearing health evaluation method using comblet filtering and exponentially weighted moving average. A new health condition indicator (HCI) for fan bearing degradation assessment is proposed. In order to collect the vibration data for validation of the proposed method, a cooling fan accelerated life test was conducted to simulate the lubricant starvation of fan bearings. A comparison between the proposed method and methods in previous studies (i. e., root mean square, kurtosis, and fault growth parameter) was carried out to assess the performance of the HCI. The analysis results suggest that the HCI can identify incipient fan bearing failures and describe the bearing degradation process. Overall, the work presented in this paper provides a promising method for fan bearing health evaluation and prognosis...|$|R
40|$|This paper {{describes}} {{the development and}} evaluation of three fully instrumented instructive test-rigs to study gear box efficiency and fault diagnosis of joints, roller bearings and gears. To analyze gear box efficiency, a back-to-back test-rig with mechanically closed energy loop was developed according to the FZG principle. An electrical motor with adjustable flange coupling was integrated in the loop. The efficiency of the gears can be determined very accurately by measuring the motor power {{that is needed to}} drive the closed loop as a function of <b>speed,</b> <b>locked</b> in torque, type of oil and oil immersion depth. The second test-rig consists of a driven shaft with adjustable motor position and excited bearing house. This enables the analysis of vibrations resulting from bearing defects and shaft misalignment. Bearings with three fault patterns (ball, inner ring or outer ring defect) are analyzed under radial loading conditions and broad speed range (10 - 3000 rpm). Moreover, single and double cardanic joints and torsionally flexible jaw type couplings are tested under radial and angular shaft misalignment. The third test rig is a closed electromechanical loop used for fault diagnosis of gear mesh defects under constant or variable torque loading. The experimental results are consistent with analytical calculations. status: publishe...|$|R
40|$|Abstract—Phase locked loop is a {{familiar}} circuit for high frequency application and very short interlocking time. In this paper we have implemented and analysed All Digital Phase locked loop (ADPLL), as the present applications requires a low cost, low power and high <b>speed</b> Phase <b>locked</b> loops. The design is synthesized in Xilinx ISE software. This work Implements an ADPLL with Nyquist rate phase detector which is basically a digital multiplier, simulation results proves a very high speed of operation for low frequency ranges and resource utilization on FPGA proves the structure simpler...|$|R
40|$|This paper {{compares the}} {{properties}} of traditional digital phase-locked loops based on multi-bit, high-resolution time-to-digital converters and those based on bang-bang phase detectors. Novel analysis is presented which show that bang-bang digital PLLs allow better phase noise and spur performance at lower power consumption, area and complexity. It will be also demonstrated that this property can be generalized {{to the case of}} PLLs based on coarse time-to-digital converters with mid- rise quantization, whose adoption <b>speeds</b> up <b>lock</b> transients. The results are assessed in a fabricated 3. 6 -GHz fractional-N digital phase-locked loop...|$|R
5000|$|In 1957 Fiat’s tractor output {{passed the}} 100,000 unit mark. The {{following}} year saw {{the launch of}} the Fiat 411 tractor; 1962 witnessed the appearance of the new Diamante series, which firmly consolidated the Italian constructor’s position in Europe. The [...] "diamante" [...] series included the 215, 315, 415 and 615 models, as well as the 715 model under the OM logo. These models were the first tractors to have synchronised <b>speeds,</b> differential <b>lock</b> and the AMPLICUPLE device, automatically engaged by means of a lever on the driver’s left. It was only available on the 415, 615 and 715 models, which permanently established Fiat’s position in Europe.|$|R
40|$|Indonesia {{has one of}} {{the highest}} number of {{fatalities}} caused by traffic accident. It is become main concern since last decades. Approximately of 10 % fatalities is caused by tank truck accident, it recorded by PT. Pertamina Persero, Indonesia in 2015 that 17 % and 20 % tank truck accident is caused by over speed and fatigue, respectively. Therefore, over speed has become main factor the occurrence of tank truck accident. Main objective of this research is to install speed limiter on the tank truck in order to improve safety engineering system, decrease accident and to maintain engine performance. This research is conducted in Indonesia especially in Java-Bali route travel. Speed limiter is installed to the tank truck engine which completed by fuel cut-off solenoid to reduce the speed automatically when it exceeding the maximum speed that has been determined. From the result shows that top speed which performed by driver up to 133 km/h when tank truck uninstalled by speed limiter. Meanwhile, when speed limiter is installed to the tank truck, top <b>speed</b> <b>locked</b> at 70 km/h even though the driver want to speed up. It means that fuel cut-off system is very effective to <b>lock</b> the <b>speed</b> at 70 km/h and it shown the improvement up to 65 %. The monitoring activities observed that the decreasing number of fatalities caused by tank truck accident become 7 % as compared to last year of 17 %. It can be found that the speed limiter coupled by speed recorder was very efficient to improve safety engineering system of the tank truck...|$|R
40|$|Sulfuric acid is an {{important}} industrial and strategic raw material, the production of which is developing on all continents, in many factories {{in the world and}} with an annual production of over 160 million tons. On the other hand, the production, transport and usage are very dangerous and demand measures of precaution because the consequences could be catastrophic, and not only at the local level where the accident would happen. Accidents that have been publicly recorded during the last eighteen years (from 1988 till the beginning of 2006) are analyzed in this paper. It is very alarming data that, according to all the recorded accidents, over 1. 6 million tons of sulfuric acid were exuded. Although water transport is the safest (only 16. 38 % of the total amount of accidents) in that way 98. 88 % of the total amount of sulfuric acid was exuded into the environment. Human factor was the common factor in all the accidents, whether there was enough control of the production process, of reservoirs or transportation tanks or the transport was done by inadequate (old) tanks, or the accidents arose from human factor (inadequate <b>speed,</b> <b>lock</b> of caution etc). The fact is that huge energy, sacrifice and courage were involved in the recovery from accidents where rescue teams and fire brigades showed great courage to prevent real environmental catastrophes and very often they lost their lives during the events. So, the phrase that sulfuric acid is a real "environmental bomb" has become clearer...|$|R
2500|$|... 4) Two-channel, four sensor ABS: This system, {{commonly}} found on passenger cars {{from the late}} '80s through the mid 1990s, uses a speed sensor at each wheel, with one control valve each for {{the front and rear}} wheels as a pair. If the <b>speed</b> sensor detects <b>lock</b> up at any individual wheel, the control module pulses the valve for both wheels on that end of the car.|$|R
50|$|The four {{wheel drive}} system {{introduced}} on this generation was borrowed from the Toyota Celica GT-Four. Four wheel steering was available. The trim level designations were 1800V, 2000X, 2000GT and 2000GT-4WD. As a result of styling changes, sales improved {{in comparison to the}} second generation. A driver side airbag appeared September 1995, as well as <b>speed</b> sensitive door <b>locks</b> and climate control air conditioning. A passenger side airbag appeared June 1996. Production ended due to economic conditions April 1998.|$|R
5000|$|MOS/Sync - Sync-sound {{cameras are}} able to both {{maintain}} a constant <b>speed</b> (usually crystal <b>lock)</b> and run quietly enough not to be heard by the sound recordist. MOS cameras do not meet either {{one or both of}} these requirements, and are usually used either for applications where camera noise is not a concern, or non-standard camera speeds are required. A camera is also deemed MOS if it cannot hold a constant speed, regardless of its noise levels.|$|R
40|$|This thesis {{focuses on}} design and {{analysis}} of the control system structure for back-to-back converter squirrel-cage induction machine drives. Particularly, sensorless control of induction machines, meaning vector control without a mechanical shaft sensor, and vector control of pulsewidth-modulated (PWM) rectifiers are considered. The back electromotive force is used as the basis for sensorless control in this thesis. A variant of the classical "voltage model" is adopted for sensorless flux estimation. It is shown that the estimator must be redesigned for the purpose of arbitrarily placement of the closed-loop poles. A thorough stability analysis of the redesigned estimator shows that asymptotical stability can be guaranteed at nominal speeds. The stability at very low frequencies is, however, largely affected by the knowledge of the stator resistance. The presence of a singularity for zero stator frequency is found, which makes it impossible to guarantee stable operation at very low frequencies, except for the case of zero external load torque. The underlying mechanisms behind the two widely acknowledged instability phenomena for sensorless control at low frequencies are revealed. The most critical form of instability is the infamous flux collapse: the flux collapses to approximately zero, giving nearly total loss of torque, and uncontrolled rotation {{in the direction of the}} external load torque. The less well-known instability phenomenon frequency lockup is not as critical: the field orientation deteriorates, such that the torque reduces but not vanish, and the stator frequency and rotor <b>speed</b> <b>lock</b> on to constant values close to zero. A control system structure is developed for the PWM rectifier. The previously proposed concept of virtual flux is adopted for grid-voltage synchronization, and three different synchronization algorithms are analyzed. The PWM rectifier is also considered for an active filtering application, for which a vector current control system designed for the deadbeat response is designed. An analysis shows that the resulting deadbeat control system is equivalent to previously proposed Smith predictor structures...|$|R
40|$|A high <b>speed</b> phase <b>locked</b> {{interferometry}} {{system has}} been designed and developed for real-time measurements of the dynamic stall flow over a pitching airfoil. Point diffraction interferograms of incipient flow separation over a sinusoidally oscillating airfoil have been obtained at rates of up to 20 KHz and for free stream Mach numbers of 0. 3 and 0. 45. The images were recorded on ASA 125 and ASA 400 film using a drum camera. Special electronic timing and synchronizing circuits were developed to trigger the laser light source from the camera, and to initiate acquisition of the interferogram sequence from any desired phase angle of oscillation. The airfoil instantaneous angle of attack data provided by an optical encoder was recorded via a FIFO and in EPROM into a microcomputer. The interferograms have been analyzed using software developed in-house to get quantitative flow density and pressure distributions...|$|R
5000|$|The fourth {{race of the}} 2007 Chase, the UAW-Ford 500, {{was held}} at Talladega Superspeedway on October 7. This was the fourteenth race to feature the Car of Tomorrow, {{but it was the}} first to use them with {{restrictor}} plates. Also, gear restrictions, which have not been used at restrictor plate races, but have been in use at other races since 2005, was also used {{for the first time at}} the track. Michael Waltrip won the pole, the second one for Toyota this season. Seven of the top ten cars were Toyotas. Jacques Villeneuve made his debut, while Sam Hornish Jr. went home again. In fact, the top eight speeds were from [...] "go or go home" [...] teams, as the next three highest <b>speeds</b> were <b>locked</b> out of the race by other teams that were not locked into the top 35 teams in the owners points.|$|R
5000|$|The slowest gears (designated '1' or low gear) in most {{automotive}} applications {{allow for}} three to four engine rotations for each output revolution (3:1). High, or [...] "top", gear in many earlier three or four <b>speed</b> manual transmissions <b>locks</b> the output shaft to spin at the same speed as the engine (1:1). Five and six speed gearboxes are almost always 'overdrive' in top gear with the engine turning less than a full turn for each revolution of the output shaft, 0.8:1 for example (however, the final drive, or differential, always has further reduction gearing).|$|R
50|$|In June 1964, the Schwerners were {{attending}} {{a civil rights}} activism training in Ohio when they learned a church involved in the movement in Neshoba County, Mississippi, had been burned down and its clergy beaten. Michael Schwerner, James Chaney, a black man, and Andrew Goodman, who was white (as were the Schwerners) drove the Schwerner family station wagon back to Mississippi to investigate. On Sunday June 21, the three men were driving together when they were stopped by Neshoba deputy sheriff Cecil Price outside {{of the town of}} Philadelphia, Mississippi. Price arrested the three men on charge of <b>speeding</b> and <b>locked</b> them in the jailhouse, only to release them around 10pm that night. The men were never seen again. Rita Schwerner was still in Ohio when she learned of their disappearance, and two days later, at the Cincinnati airport with Fannie Lou Hamer and getting ready to travel back to Mississippi, Schwerner learned their station wagon had been found burned, in a swamp.|$|R
5000|$|The system {{offers a}} choice of four rear- or four-wheel driving modes, {{selected}} using a lever mounted alongside the gear shift, and can be changed while the vehicle is in motion. In 2H mode the front axle is disconnected and the vehicle is rear-wheel drive. Reduced frictional losses in the drivetrain mean that fuel economy improves while noise levels are reduced. 4H is a part-time four-wheel drive mode using a viscous coupling unit (VCU) and center differential to direct drive to the front wheels when the rear axle loses traction, and is capable of handling {{a wide variety of}} road conditions and <b>speeds.</b> 4HLc <b>locks</b> the center differential to provide extra traction for sandy, snowy or poorly surfaced roads in [...] "high range" [...] mode, while 4LLc, the [...] "low range" [...] mode, also offers a much lower gearing, providing the maximum amount of traction. Changing between 4HLc and 4LLc is only possible with the vehicle stationary.|$|R
5000|$|Charger Challenge: The Mega Challenge: This year's {{incarnation}} of the Mega Challenge is largely {{the same as those}} used in the previous two years, beginning with an Eye of the Needle and Slalom combo, followed by a precision drive forwards and then backwards through a short course of wheel rims (turning the car around in a section of concrete Jersey barriers in the middle), before attempting a reverse flick, and then navigating a short second Eye of the Needle course into an Icy Corner. Polly gets off to a decent start, carrying out the Eye of the Needle and Slalom combo flawlessly and only hitting two things in the forward precision steering section, but things quickly start going wrong when she turns the car around, as she hits it twelve times, before hitting several things while reversing. She then fails to even make it into the turning space for the Reverse Flick before hitting an arch in the second Eye of the Needle, before her run ends in disaster as she <b>speeds,</b> <b>locks</b> up her brakes and understeers on the Icy Corner, smashing through the wall. Jillian goes too slowly on the Eye of the Needle and Slalom (though doesn't hit anything), before hitting several things in the precision steering section, albeit while doing a much better job of turning the car around than Polly. She then fails the Reverse Flick by understeering, breaks that Charger's passenger-side wing mirror in the second Eye of the Needle, and then speeds and brakes too late in the Icy Corner. Sholom gets off to a terrible start, smashing two of the arches (and another passenger-side wing mirror) in the opening section, but does navigate the Charger through the first precision steering section and turn it around in the concrete barriers without hitting anything. He hits a lot of things while reversing however, and while he comes closest to passing the Reverse Flick, he fails it by clipping the barrier leading into the turning section. He also comes the closest to passing the Icy Corner, but fails after steering too late and hitting {{near the end of the}} boxes.|$|R
25|$|A {{barometer}} {{can also}} be found in smartphones such as the Samsung Galaxy Nexus, Samsung Galaxy S3-S6, Motorola Xoom, Apple iPhone 6 smartphones, and Timex Expedition WS4 smartwatch, based on MEMS and piezoresistive pressure-sensing technologies. Inclusion of barometers on smartphones was originally intended to provide a faster GPS lock. However, third party researchers were unable to confirm additional GPS accuracy or <b>lock</b> <b>speed</b> due to barometric readings. The researchers suggest that the inclusion of barometers in smartphones may provide a solution to determining a user's elevation, but also suggest that several pitfalls must first be overcome.|$|R
40|$|A {{continuously}} rotating rake with radial microphones {{was developed}} to measure the inlet and exhaust duct modes on a TFE 731 - 60 turbofan engine. This {{was the first time}} the rotating rake technology was used on a production engine. The modal signature for the first three fan harmonics was obtained in the inlet and exhaust. Rotor-stator and rotor-strut interaction modes were measured. Total harmonic power was calculated over a range of fan speeds. Above sonic tip <b>speed,</b> the rotor <b>locked</b> mode was not strong enough to be identified, but the 'buzz-saw' noise at fan sub-harmonics was identified...|$|R
50|$|The XG-9's {{integrated}} switch for on/off/self-timer/battery {{check was}} removed and its functions {{spread around the}} camera. The self timer was relocated to a switch {{on the front of}} the camera, on the left-hand side of the mirror housing. A new main on-off switch was placed beneath the shutter <b>speed</b> dial. The <b>lock</b> button for the shutter speed dial also functioned as a battery check; the front LED, also used for the self-timer, lit when that button was pressed and the batteries held adequate charge. Film speed and exposure compensation settings were moved to beneath the rewind knob.|$|R
40|$|Abstract:- The high {{frequency}} resolution, short locking time and its spectral purity increases {{the popularity of}} Phase locked loop in the major applications like wireless communications. This paper focuses on the FPGA implementation and analysis Of All Digital Phase locked loop (ADPLL), as all the applications requires a cost effective low power and high <b>speed</b> Phase <b>locked</b> loops. The design is validated through the simulink software. This work Implements an ADPLL with Nyquist rate phase detector which is basically a digital multiplier, simulation results proves a very high speed of operation for low frequency ranges and resource utilization on FPGA proves the structure simpler. This type of mechanism is widely used in radio, telecommunications, computers, and other electronic applications where it is desired to stabilize a generated signal or to detect signals {{in the presence of}} noise. Since an integrated circuit can hold a complete phase locked loop building block, the technique is widely used in modern electronic devices, with signal frequencies from a fraction of a cycle per seconds up to many giga hertz...|$|R
40|$|An ASIC {{design of}} Dual Edge Triggered Phase Detector(DET PD) for Delay locked loop(DLL) and Phase locked loop(PLL) {{applications}} is proposed in this paper. The proposed DET PD has high <b>locking</b> <b>speed</b> and less jitter. The designs {{are based on}} TSPC flip flop logic, which overcomes the issue of narrow capture range. The Double edge triggered phase detector dissipates less power than conventional designs and can be operated at a frequency range of 250 MHz to 1 GHz. The proposed DET-PD is designed using 180 nm CMOS process technology at a 1. 8 V supply voltage in cadence virtuoso and circuit simulated in cadence spectre...|$|R
50|$|The Timex Expedition WS4 {{features}} a barometric chart {{which is used}} by the watch for short-term weather forecasting. A barometer can also be found in smartphones such as the Samsung Galaxy Nexus, Samsung Galaxy S3-S6, Motorola Xoom and Apple iPhone 6 smartphones, based on MEMS and piezoresistive pressure-sensing technologies. Inclusion of barometers on smartphones was originally intended to provide a faster GPS lock. However, third party researchers were unable to confirm additional GPS accuracy or <b>lock</b> <b>speed</b> due to barometric readings. The researchers suggest that the inclusion of barometers in smartphones may provide a solution to determining a user's elevation, but also suggest that several pitfalls must first be overcome.|$|R
