1|49|Public
50|$|<b>Star</b> <b>Knot</b> a C1-M-AV1, was wrecked and {{scrapped}} in 1967.|$|E
40|$|The {{large-scale}} {{prints in}} The Carnegie Atlas of Galaxies {{have been used}} to formulate a classification scheme for the central regions of late-type galaxies. Systems that exhibit small bright central bulges or disks (type CB) are found to be of earlier Hubble type and of higher luminosity than galaxies that do not contain nuclei (type NN). Galaxies containing nuclear bars, or exhibiting central regions that are resolved into individual <b>stars</b> and <b>knots,</b> and galaxies with semi-stellar nuclei, are seen to have characteristics that are intermediate between those of types CB and NN. The presence or absence of a nucleus appears to be a useful criterion for distinguishing between spiral galaxies and Magellanic irregulars. 1...|$|R
40|$|We {{study the}} {{physical}} and dynamical properties of the ionized gas in the prototypical HII galaxy Henize 2 - 10 using MUSE integral field spectroscopy. The large scale dynamics is dominated by extended outflowing bubbles, probably the results of massive gas ejection from the central star forming regions. We derive a mass outflow rate dMout/dt~ 0. 30 Msun/yr, corresponding to mass loading factor eta~ 0. 4, in range with similar measurements in local LIRGs. Such a massive outflow has a total kinetic energy that is sustainable by the stellar winds and Supernova Remnants expected in the galaxy. We use classical emission line diagnostic to study the dust extinction, electron density and ionization conditions all across the galaxy, confirming the extreme nature of the highly <b>star</b> forming <b>knots</b> {{in the core of}} the galaxy, which show high density and high ionization parameter. We measure the gas phase metallicity in the galaxy taking into account the strong variation of the ionization parameter, finding that the external parts of the galaxy have abundances as low as 12 + log(O/H) ~ 8. 3, while the central <b>star</b> forming <b>knots</b> are highly enriched with super solar metallicity. We find no sign of AGN ionization in the galaxy, despite the recent claim of the presence of a super massive active Black Hole in the core of He~ 2 - 10. We therefore reanalyze the X-ray data that were used to propose the presence of the AGN, but we conclude that the observed X-ray emission can be better explained with sources of a different nature, such as a Supernova Remnant. Comment: 11 pages, 8 Figures, Accepted for publication in A&...|$|R
40|$|Using VLT/FLAMES optical {{integral}} field unit observations, {{we present}} the first spa-tially resolved spectroscopic {{study of the}} well known blue compact galaxy Haro 11, {{thought to be a}} local analogue to high redshift Lyman Break Galaxies. Haro 11 dis-plays complex emission line profiles, consisting of narrow (FWHM. 200 km s− 1) and broad (FWHM ∼ 200 – 300 km s− 1) components. We identify three distinct emission knots kinematically connected to one another. A chemodynamical analysis is pre-sented, revealing that spatially resolved ionic and elemental abundances do not agree with those derived from integrated spectra across the galaxy. We conclude that this is almost certainly due to the surface-brightness-weighting of electron temperature in integrated spectra, leading to higher derived abundances. We find that the eastern knot has a low gas density, but a higher temperature (by ∼ 4, 000 K) and consequently an oxygen abundance ∼ 0. 4 dex lower than the neighbouring regions. A region of en-hanced N/O is found specifically in Knot C, confirming previous studies that found anomalously high N/O ratios in this system. Maps of the Wolf-Rayet feature at 4686 Å reveal large WR populations (∼ 900 – 1500 <b>stars)</b> in <b>Knots</b> A and B. The lack of WR <b>stars</b> in <b>Knot</b> C, combined with an age of ∼ 7. 4 Myr suggest that a recently completed WR phase may be responsible for the observed N/O excess. Conversely, the absence of N-enriched gas and strong WR emission in Knots A and B suggests we are observing these regions at an epoch where stellar ejecta has yet to cool and mix with the ISM. Key words: galaxies:abundances – galaxies: individual (Haro 11) – galaxies:dwarf – galaxies:kinematics and dynamics – galaxies:interactions – stars: Wolf-Raye...|$|R
40|$|Abstract. We {{present results}} from multi-wavelength {{observations}} of the Wolf-Rayet (WR) blue compact dwarf galaxy He 2 - 10. These observations include Hα and optical red continuum imaging, high resolution Hα spectroscopy, high resolution radio-continuum mapping at 4. 80 and 8. 64 GHz and ROSAT X-ray observations. The deep Hα images reveal that the galaxy {{is surrounded by a}} complex kiloparsec-scale bipolar superbubble centered on the most intense <b>star</b> forming <b>knot.</b> High-resolution spectroscopy of this feature indicates that it has a complex structure of possibly different kinematic components expanding at velocities from ≤ 50 km s − 1 up to 250 km s − 1. These kinds of outflows are likely to be produced by the mechanical action of stellar winds and supernova (SN) explosions in the intense starbursts that the galaxy hosts. This scenario is consistent with the finding of...|$|R
50|$|NGC 908 is an unbarred {{spiral galaxy}} in the {{constellation}} Cetus. It is {{at a distance of}} 60 million light years away from Earth. NGC 908 has vigorous star formation and is a starburst galaxy. The galaxy has three-arm spiral pattern, with two arms with peculiar morphology. The central bulge of the galaxy is bright. Cluster of young stars and <b>star</b> forming <b>knots</b> {{can be seen in the}} arms. Starburst activity and the peculiar morphology of the galaxy indicated it has a close encounter with another galaxy, although none is visible now. NGC 908 was discovered in 1786 by William Herschel. Two supernovae have been observed in NGC 908, SN 1994ai (Ic type, mag. 17) and SN 2006ce (Ia type, mag. 12.4). It is the main galaxy in the NGC 908 group, which also includes NGC 899, NGC 907 and IC 223.|$|R
40|$|An {{attempt is}} made to provide deep CCD images {{suitable}} for tracing the shock-excited and scattered-light components characterizing extended Herbig-Haro complexes. Tabular data include astrometric positions for all <b>stars,</b> shock-excited emission <b>knots,</b> prominent scattered-light patches, {{as well as an}} identification for all H-alpha emission objects within the CCD images. It is concluded that: (1) optical outflows are not always accompanied by molecular flows, (2) optical outflows show a higher degree of collimation than their molecular counterparts, and (3) the Herbig-Haro phenomenon is not restricted to low-mass young stellar objects...|$|R
40|$|We {{present a}} {{detailed}} study of the kinematic and physical properties of the ionized gas in multiple knots of the blue compact dwarf galaxy Haro 15. Using echelle and long slit spectroscopy data, obtained with different instruments at Las Campanas Observatory, we study the internal kinematic and physical conditions (electron density and temperature), ionic and total chemical abundances of several atoms, reddening and ionization structure. Applying direct and empirical methods for abundance determination, we perform a com-parative analysis between these regions and in their different components. On the other hand, our echelle spectra show complex kinematics in several conspicuous knots within the galaxy. To perform an in-depth 2 D spectroscopic study we complete this work with high spatial and spectral resolution spectroscopy using the Integral Field Unit mode on the Gem-ini Multi-Object Spectrograph instrument at the Gemini South telescope. With these data {{we are able to}} resolve the complex kinematical structure within <b>star</b> forming <b>knots</b> in Haro 15 galaxy. ...|$|R
5000|$|The band's {{music has}} been {{featured}} in TV, film and fashion. [...] "Headstrong" [...] was used in an official promotional film for world heavyweight boxing champion Wladimir Klitschko in 2013. It was also selected for fashion retailer Topshop's 2012 global in-store playlist and feature film The <b>Knot</b> <b>starring</b> Mena Suvari and Talulah Riley. Their song [...] "Glamour" [...] served as the theme song for Channel 4's emerging music show: Curated By Scott and Lyle. And in September 2011 the band were invited to play the opening of California fashion brand Patagonia (clothing)'s London flagship store in Covent Garden.|$|R
50|$|Source counts {{gives the}} most {{extensive}} picture about the sources building up the CIB. In a source count one tries to detect as many point/compact sources in a certain field of view as possible: this is usually done at multiple wavelengths and is often complemented by other data, e.g. photometry at visual or sub-millimeter wavelengths. In this way, one has information on the broad band spectral characteristics of the detected sources, too. The detected point sources have to be distinguished from other contaminating sources, e.g. minor bodies in the Solar System, Galactic <b>stars</b> and cirrus <b>knots</b> (local density enhancements in the Galactic cirrus emission).|$|R
5000|$|The {{album was}} {{released}} in Europe on 10 March 2014, by Earache Records, {{and then a little}} over a week later in the USA on 18 March 2014, by Century Media Records.As well as being released in standard CD and digital formats, The Fateful Dark was made available on a limited run of 1,000 Limited Edition gatefold vinyl records (400 on Black vinyl, 300 on Cross of Babylon Orange vinyl, 200 on Hellblazer Red/Yellow vinyl and 100 on Inconocaust Clear vinyl).In February 2014 an official music video for [...] "Hellblazer" [...] was released, directed by Tom Walsh and featuring contortionist and Game of Thrones <b>star</b> Pixie Le <b>Knot.</b>|$|R
40|$|The "Medusa" (NGC 4194, Mrk 201) is a blue compact galaxy, {{with strong}} far {{infrared}} and radio emission. Ground-based observations exhibit a distorted image with a tidal tail and regions of strong star formation. A population of massive O and early B stars {{is evident from}} the IUE spectra HST survey of Seyfert and starburst galaxies notes NCG 4194 is an HII galaxy with lumpy HII regions and knots. The central starburst is apparently produced by a galaxy merger. As part of an investigation of star formation in interacting galaxies, we have obtained ultraviolet and visible images of the central regions of NGC 4194 with the Space Telescope Imaging Spectrograph on HST. Imaging was obtained in two ultraviolet (FUV-MAMA+F 25 QTZ, NUV-MAMA+F 25 CN 182) and one visible (CCD+F 28 X 50 LP) band. Individual <b>star</b> forming <b>knots</b> (at HST resolution) have been identified. We present sized and luminosities for the individual knots, and the knot luminosity function. We compare our data to current starburst models to constrain stellar ages and populations. Knot characteristics as a function of location in the galaxy will also be discussed...|$|R
40|$|We {{present a}} {{detailed}} study of the physical properties of the nebular material in four star-forming knots of the blue compact dwarf galaxy Haro 15. Using long-slit and echelle spectroscopy obtained at Las Campanas Observatory, we study the physical conditions (electron density and temperatures), ionic and total chemical abundances of several atoms, reddening and ionization structure, for the global flux and for the different kinematical components. The latter was derived by comparing the oxygen and sulphur ionic ratios to their corresponding observed emission line ratios (the η and η' plots) in {{different regions of the}} galaxy. Applying the direct method or empirical relationships for abundance determination, we perform a comparative analysis between these regions. The similarities found in the ionization structure of the different kinematical components implies that the effective temperatures of the ionizing radiation fields are very similar in spite of some small differences in the ionization state of the different elements. Therefore the different gaseous kinematical components identified in each <b>star</b> forming <b>knot</b> are probably ionized by the same star cluster. However, the difference in the ionizing structure of the two knots with knot A showing a lower effective temperature than knot B, suggests a different evolutionary stage for them consistent with the presence of an older and more evolved stellar population in the first. Comment: 21 pages, 6 figures, 8 tables, accepted by MNRA...|$|R
40|$|Most, if not all, {{stars are}} now {{believed}} to produce energetic outflows during their formation. Yet, almost 20 {{years after the}} discovery of bipolar outflows from young stars, the origins of this violent phenomenon are not well understood. One of the difficulties of probing the outflow process, {{particularly in the case}} of massive embedded stars, is a deficit of high spatial resolution observations. Here, we present sub-arcsecond-resolution mid-infrared images of one massive young stellar object, AFGL 2591, and its immediate surroundings. Our images, at 11. 7, 12. 5 and 18. 0 µm, reveal a knot of emission ≈ 6 ” SW of the star, which may be evidence for a recent ejection event or an embedded companion <b>star.</b> This <b>knot</b> is roughly coincident with a previously seen near-infrared reflection nebula and a radio source, and lies within the known large-scale CO outflow. We also find a new faint NW source which may be another embedded lower-luminosity star. The IRAS mid-infrared spectrum of AFGL 2591 shows a large silicate absorption feature at 10 µm, implying that the primary source is surrounded by an optically thick dusty envelope. We discuss the interrelationship of these phenomena and suggest that mid-infrared imaging and spectroscopy provide powerful tools for probing massive star birth. Subject headings: stars:pre-main-sequence–ISM: jets and outflows– stars:individual: AFGL 2591 –stars: circumstellar matter – 3 – 1...|$|R
40|$|Two blue compact dwarf galaxies Mkn 104 and I Zw 97 are studied photometrically and spectroscopically. Mkn 104 {{is found}} to contain three {{distinct}} bright star forming regions, whereas I Zw 97 {{is found to}} contain three bright and two faint star forming regions. Medium resolution spectra of three bright H ii regions in the two galaxies were obtained. Estimation of oxygen abundance in these regions yields a value equal to log(O/H) + 12 = 8. 5 (Z = Z⊙/ 2. 7). Star formation rates in these star forming regions are estimated. The highest star formation rate for I Zw 97 {{is found to be}} 0. 04 M⊙yr − 1 and for Mkn 104, it is 0. 02 M⊙yr − 1. I Zw 97 is realized to be a cometary blue compact dwarf galaxy undergoing a strong burst of star formation. A U − B vs V − I colour-colour mixed population model is created using the Starburst 99 evolutionary model curves. The spectrum of the bright <b>star</b> forming <b>knot</b> of I Zw 97 does not show any strong signature of an underlying relatively older stellar population, but the U −B vs V −I two colour diagram indicates a strong contribution of a ∼ 500 Myr population. A spectrum of the central region of Mkn 104 gives a hint about the underlying ol...|$|R
500|$|Witherspoon next <b>starred</b> in Devil's <b>Knot,</b> {{which is}} based on Atom Egoyan's true crime book of the same name and {{examines}} the controversial case of the West Memphis Three. Like Mud, the film is set in Arkansas. Witherspoon played Pam Hobbs, the mother of one of three young murder victims. In an interview subsequent to her casting in the film, Egoyan noted that although the role requires [...] "an emotionally loaded journey", he [...] "met with Reese, and... talked at length about the project, and she's eager to take on the challenge". The movie was shot in Georgia in June and July 2012. Witherspoon was pregnant with her third child during filming. The film's world premiere was held on September 8, 2013 at the Toronto International Film Festival. It was then released in selected American theaters on May 9, 2014.|$|R
40|$|We present Swift UV/Optical Telescope (UVOT) imaging of {{the galaxies}} M 81 and Holmberg IX. We combine UVOT imaging in three near {{ultraviolet}} (NUV) filters (uvw 2 : 1928 Å, uvm 2 : 2246 Å, and uvw 1 : 2600 Å) with ground based optical imaging from the Sloan Digital Sky Survey to constrain the stellar populations of both galaxies. Our analysis {{consists of three}} different methods. First we use the NUV imaging to identify UV <b>star</b> forming <b>knots</b> and then perform SED modeling on the UV/optical photometry of these sources. Second, we measure surface brightness profiles of the disk of M 81 in the NUV and optical. Last we use SED fitting of individual pixels to map {{the properties of the}} two galaxies. In agreement with earlier studies we find evidence for a burst in star formation in both galaxies starting ∼ 200 Myr ago coincident with the suggested time of an M 81 -M 82 interaction. In line with theories of its origin as a tidal dwarf we find that the luminosity weighted age of Holmberg IX is a few hundred million years. Both galaxies are best fit by a Milky Way dust extinction law with a prominent 2175 A ̊ bump. In addition, we describe a stacked median filter technique for modeling the diffuse background light within a galaxy, and a Markov chain method for cleaning segment maps generated by SExtractor...|$|R
40|$|This paper {{presents}} {{infrared spectra}} {{taken with the}} newly commissionedNIRSPEC spectrograph on the Keck II Telescope of the High Redshift Radio GalaxyMRC 2025 - 218 (z= 2. 63) These observations represent the deepest infrared spectraof a radio galaxy to date and have allowed {{for the detection of}} Hbeta, [OIII](4959 / 5007), [OI] (6300), Halpha, [NII] (6548 / 6583) and [SII] (6716 / 6713). TheHalpha emission is very broad (FWHM = 9300 km/s) and luminous (2. 6 x 10 ^ 44 ergs/s) and it is very comparable to the line widths and strengths of radioloud quasars at the same redshift. This strongly supports AGN unificationmodels linking radio galaxies and quasars, although we discuss some of theoutstanding differences. The [OIII] (5007) line is extremely strong and hasextended emission with large relative velocities to the nucleus. We also derivethat if the extended emission is due to <b>star</b> formation, each <b>knot</b> has a starformation rate comparable to a Lyman Break Galaxy at the same redshift...|$|R
50|$|It premiered as {{an hour-long}} special, and regular episodes were 30 minutes. The show {{focused on the}} {{beautiful}} young star of Generations, Janie-Claire Willow (Janine Turner), who was a pawn in a power struggle between her wheelchair-using mother Zina (Joanne Linville), her powerful agent Evan (Mel Ferrer), and her show's leading man, Brian (Michael Sabatino). The show's early pacing was a bit meandering and had problems finding an audience. The show seemed to be finding its focus, helped by stronger writing by Ronnie Wencker-Konner, when it was canceled after only 3 months on the air. The last episode concerned a backstage party where starlet Joyce Daniels was poisoned. Suspicion quickly fell on Lynette Porter (Debbi Morgan). In a bit of levity, Michele Lee (a <b>star</b> on Jacobs' <b>Knots</b> Landing) appeared as herself, playing a guest at the party; when questioned by police, she was mistakenly identified by the cops as Mary Tyler Moore.|$|R
40|$|The {{onset of}} spiral {{structure}} in galaxies appears to occur between redshifts 1. 4 and 1. 8 when disks {{have developed a}} cool stellar component, rotation dominates over turbulent motions in the gas, and massive clumps become less frequent. During the transition from clumpy to spiral disks, two unusual types of spirals {{are found in the}} Hubble Ultra Deep Field that are massive, clumpy and irregular like their predecessor clumpy disks, yet spiral-like or sheared like their descendants. One type is ``woolly'' with massive clumpy arms all over the disk and is brighter than other disk galaxies at the same redshift, while another type has irregular multiple arms with high pitch angles, <b>star</b> formation <b>knots</b> and no inner symmetry like today's multiple-arm galaxies. The common types of spirals seen locally are also present in a redshift range around z~ 1, namely grand design with two symmetric arms, multiple arm with symmetry in the inner parts and several long, thin arms in the outer parts, and flocculent, with short, irregular and patchy arms that are mostly from star formation. Normal multiple arm galaxies are found only closer than z~ 0. 6 in the UDF. Grand design galaxies extend furthest to z~ 1. 8, presumably because interactions can drive a two-arm spiral in a disk that would otherwise have a more irregular structure. The difference between these types is understandable in terms of the usual stability parameters for gas and stars, and the ratio of the velocity dispersion to rotation speed. Comment: 15 pages, 6 figures, ApJ in pres...|$|R
40|$|We present {{follow-up}} HST/Space Telescope Imaging Spectrograph (STIS) {{observations of}} the Ly-alpha bright jet associated with the near-ZAMS Herbig Ae star HD 163296. The proper motions and radial velocities of the knots in the flow are consistent with a collimated outflow inclined by 40 deg relative to {{the plane of the}} sky with a flow velocity that varies from 350 to 500 km/s along the jet. A new knot is visible in the jet at a projected distance of 0. 33 arcsec (40 AU) from the central <b>star.</b> The <b>knot</b> has a dynamical age of only seven months, making it the youngest HH knot ever observed. We did not detect any emission from the counterjet within 2. 5 arcsec of the source, which is consistent with absorption due to a uniform 450 AU radius disk tilted at 50 deg relative to the line of sight. We also present observations made with the Goddard Fabry-Perot Imager which show additional, more distant knots along the blue and red shifted outflow lobes, and discuss the collimation of the jet and implications for a magnetosphere associated with HD 163296. Support for this study was provided by HST STIS GTO funding through support to the NOAO, in response to the NASA A/O OSSA- 4 - 84 through the Hubble Space Telescope Project at GSFC, as well as NASA grant NRA- 98 - 03 -UVG-O 11. NOAO is operated by the Association of Universities for Research in Astronomy (AURA), Inc., under cooperative agreement with the National Science Foundation. Data analysis facilities were provided by the Laboratory for Astronomy & Solar Physics, NASA/GSFC...|$|R
40|$|We {{report on}} Hα + [NII] imaging of the Arp 202 {{interacting}} pair and its tidal dwarf galaxy (TDG) candidate {{as well as}} a GMOS long slit spectrum from the TDG candidate, observed with the Gemini North telescope. Our Hα + [NII] imaging reveals the TDG to have an elongated structure, ∼ 1. 9 kpc in length with the two principal <b>star</b> forming <b>knots</b> at either end. Our observations also show the TDG candidate has a recessional V_Hα ∼ 3032 km s^- 1, within 100 km s^- 1 of the parent pair's mean velocity and an oxygen abundance of 12 +log(O/H) = 8. 10 ± 0. 41. The TDG's oxygen abundance is in good agreement with that of a star forming region in NGC 2719 A, one of the parent galaxies, which has an estimated oxygen abundance of 12 +log(O/H) = 8. 05 ± 0. 41. The TDG's V_Hα and oxygen abundance confirm previous results validating the candidate as a TDG. The absence of detectable emission from the TDG in Spitzer 3. 6 μm and 4. 5 μm images together with the lack of absorption lines and weak continuum in the spectrum is consistent with absence of an old population (≳ 0. 5 Gyr). The location of the TDG within the interaction debris and the absence of indicators of an old stellar population in the TDG are consistent with a scenario in which the TDG is formed from HI stripped from the parent galaxies and within the extended dark matter halo of one of the parents as proposed by (Bournaud et al. 2003; Duc et al. 2004). Comment: 13 pages, 6 figure...|$|R
40|$|We {{carried out}} long-slit spectroscopic {{observations}} of the <b>star</b> forming <b>knots</b> along the polar ring of the dwarf galaxy IIZw 71 in the spectral range 3500 - 10000 angstroms taken with the William erschel Telescope (WHT). The spectroscopic observations were complemented with available photometry of the galaxy in the narrow Halpha filter. We measured the rotation curve of the ring, from which we infer a ratio M/L_B = 3. 9 inside the star forming ring. We measured the auroral [OIII] line in the two brightest knots, allowing us to measure oxygen, sulphur, nitrogen, argon and neon chemical abundances following the direct method. Different empirical calibrators were used to estimate the oxygen abundance in the two faintest knots. The metallicities obtained are very similar for all the knots, but lower than previously {{reported in the literature}} from integrated spectra. The N/O abundance, as derived from the N 2 O 2 parameter, is remarkably constant over the ring, indicating that local polution processes are not conspicuous. Using synthetic stellar populations (SSPs) calculated with the code STARLIGHT, we studied the age distribution of the stellar populations in each knot, finding that in all of them there is a combination of a very young population with less than 10 Myr, responsible for the ionisation of the gas, with other populations older than 100 Myr, probably responsible for the chemical evolution of the knots. The small differences in metallicity and the age distributions among the different knots are indicative of a common chemical evolution, probably related to the process of interaction with the companion galaxy IIZw 70. Comment: 11 pages, 9 figures. Accepted for publication in Astronomy & Astrophysics, language edited, typos correcte...|$|R
40|$|The MYStIX project (Massive Young Star-Forming Complex Study in Infrared and X-rays) {{provides}} a {{comparative study of}} 20 Galactic massive star-forming complexes (d = 0. 4 to 3. 6 kpc). Probable stellar members in each target complex are identified using X-ray and/or infrared data via two pathways: (1) X-ray detections of young/massive stars with coronal activity/strong winds; or (2) infrared excess (IRE) selection of young stellar objects (YSOs) with circumstellar disks and/or protostellar envelopes. We present the methodology for the second pathway, using Spitzer/IRAC, 2 MASS, and UKIRT imaging and photometry. Although IRE selection of YSOs is welltrodden territory, MYStIX presents unique challenges. We combine IR spectral energy distribution (SED) fitting with IR color cuts and spatial clustering analysis to identify IRE sources and isolate probable YSO members in each MYStIX target field from the myriad types of contaminating sources that can resemble YSOs: extragalactic sources, evolved <b>stars,</b> nebular <b>knots,</b> and even unassociated foreground/background YSOs. Applying our methodology consistently across 18 of the target complexes, we produce the MYStIX IRE Source (MIRES) Catalog comprising 20, 719 sources, including 8686 probable stellar members of the MYStIX target complexes. We also classify the SEDs of 9365 IR counterparts to MYStIX X-ray sources to assist the first pathway, the identification of X-ray detected stellar members. The MIRES catalog {{provides a}} foundation for follow-up studies of diverse phenomena related to massive star cluster formation, including protostellar outflows, circumstellar disks, and sequential star formation triggered by massive star feedback processes. Comment: 67 pages, 11 figures. Accepted for publication in Astrophysical Journal Supplements (with 6 other MYStIX papers). Complete versions of all MYStIX papers are available at [URL]...|$|R
40|$|We {{present the}} {{identification}} of a bright submm source, SMMJ 163555. 5 + 661300, detected in the lensing cluster Abell 2218, for which we have accurately determined the position using observations from the Submillimeter Array (SMA). The identified optical counterpart has a spectroscopic redshift of z= 4. 044 +- 0. 001 if we attribute the single emission line detected at lambda= 6140 AA to Lyman-alpha. This redshift identification is in good agreement with the optical/near-infrared photometric redshift {{as well as the}} submm flux ratio S_ 450 /S_ 850 ~ 1. 6, the radio-submm flux ratio S_ 1. 4 /S_ 850 4 to date. Previous CO(4 - 3) emission line obserations yielded a non-detection, for which we derived an upper limit of the CO line luminosity of L'_CO = 0. 3 x 10 ^ 10 K km/s/pc^ 2, which is not inconsistent with the L'_CO - L_FIR relation for starburst galaxies. The best fit model to the optical and near-infrared photometry give a stellar population with an age of 1. 4 Gyr and a stellar mass of 1. 6 x 10 ^ 10 Msun. The optical morphology is compact and in the source plane the galaxy has an extent of ~ 6 kpc x 3 kpc with individual <b>star</b> forming <b>knots</b> of < 500 pc in size. J 163556 is not resolved in the SMA data and we place a strict upper limit {{on the size of the}} starburst region of 8 kpc x 3 kpc, which implies a lower limit on the star formation rate surface density of 12 Msun/yr/kpc^ 2. The redshift of J 163556 extends the redshift distribution of faint, lensed SMGs, and we find no evidence that these have a different redshift distribution than bright SMGs. Comment: Accepted for publication in ApJ. 11 pages, 7 figure...|$|R
40|$|We {{report the}} {{discovery}} of the closest collisional ring galaxy to the Milky Way. Such rare systems occur due to "bulls-eye" encounters between two reasonably matched galaxies. The recessional velocity of about 840 km/s is low enough that it was detected in the AAO/UKST Survey for Galactic Hα emission. The distance is only 10. 0 Mpc and the main galaxy shows a full ring of <b>star</b> forming <b>knots,</b> 6. 1 kpc in diameter surrounding a quiescent disk. The smaller assumed "bullet" galaxy also shows vigorous star formation. The spectacular nature of the object had been overlooked because of its location in the Galactic plane and proximity to a bright star and even though it is the 60 ^ th brightest galaxy in the HI Parkes All Sky Survey (HIPASS) HI survey. The overall system has a physical size of ∼ 15 kpc, a total mass of M_∗ = 6. 6 × 10 ^ 9 M_ (stars + HI), a metallicity of [O/H]∼- 0. 4, and a star formation rate of 0. 2 - 0. 5 M_ yr^- 1, making it a Magellanic-type system. Collisional ring galaxies therefore extend to much lower galaxy masses than commonly assumed. We derive a space density for such systems of 7 × 10 ^- 5 Mpc^- 3, an order of magnitude higher than previously estimated. This suggests Kathryn's Wheel is the nearest such system. We present discovery images, CTIO 4 -m telescope narrow-band follow-up images and spectroscopy for selected emission components. Given its proximity and modest extinction along the line of sight, this spectacular system provides an ideal target for future high spatial resolution studies of such systems and for direct detection of its stellar populations. Comment: 18 pages, 12 figures, accepted for publication in MNRA...|$|R
