1|94|Public
5000|$|In the UK and South Africa, a <b>standard</b> <b>overhead</b> <b>join</b> is recommended.|$|E
50|$|The coaster’s {{track is}} {{essentially}} a large U shape that is loaded at the base and uses a series of LIMs to accelerate the train up {{each side of the}} track. One side of the track is twisted track (commonly called an inline twist) that ends in a straight section angled at about 45 degrees, the other side is a perfectly vertical straight track. The train seats 28 riders in a <b>standard</b> <b>overhead</b> suspended design.|$|R
50|$|PDF (Portable Document Format) {{files are}} {{high-quality}} image files that appear and print like the original artwork. These finely detailed illustrations will download quickly and include required fonts. PDF files of Glossary illustrations {{can be downloaded}} and saved for later uses, such as overhead transparencies, school reports, or for handouts in class or at a talk or other event. Each PDF file is formatted to print on regular printer paper or <b>standard</b> <b>overhead</b> transparency.|$|R
40|$|Abstract — One of {{the many}} {{solutions}} to the present lack of native multicast is offered by CastGate. Like other Alternative Group Communication Services, CastGate makes use of UDP tunneling to relay multicast data. We determine the performance of CastGate {{and its impact on}} the network, using several metrics All the different CastGate solutions are taken into account, and the results are then compared to native multicast. Some of the metrics (stress, resource usage, stretch) can be evaluated, whilst other metrics (control <b>overhead,</b> <b>join</b> latency) can only be determined through measurements in a testbed...|$|R
40|$|The FAA {{restraint}} system experiments consisted of 24 standard and modified seats, 2 standard galleys and 2 <b>standard</b> <b>overhead</b> compartments. Under the controlled impact demonstration (CID) program, the experimental {{objective was to}} demonstrate the effectiveness of individual {{restraint system}} designs when exposed to a survivable air-to-ground impact condition. What researchers were looking for was the performance exhibited by standard and modified designs, performance differences resulting from their installed cabin location, and interrelating performance demonstrated by test article and attaching floor and/or fuselage structure. The other restraint system experiment consisted of 2 <b>standard</b> <b>overhead</b> stowage compartments and 2 galley modules. Again, researchers were concerned with the retention of stowed equipment and carry-on articles. The overhead compartments were loaded with test weights up to their maximum capacity, {{and each of the}} galleys was filled with test articles: aft with normal galley equipment, forward with hazardous material test packages. A breakdown of instrumentation and distribution is given beginning with 11 instrumented type anthropomorphic dummies and 185 sensors which provided for acceleration and load measurements at the various experiment and associated structure locations. The onboard cameras provided additional coverage of these experiments, including the areas of cabin which were not instrumented. Test results showing the window-side leg forces versus pulse duration are given...|$|R
5000|$|Another notable {{attribute}} {{worth mentioning}} {{is that the}} appreneur {{does not require the}} <b>standard</b> <b>overhead</b> and infrastructure that a traditional business requires. Embracing the leverage points of outsourcing, and distribution handled by the mobile device service providers, and appreneur can get an app on the market with little more than an idea and a marginal development fee. [...] An increasing number of teenagers, and even pre-teens are launching successful careers as appreneurs. With the ease of farming out work that the internet increasingly provides, this career path is open to anyone, which is again a sharp contrast to the traditional entrepreneur model.|$|R
50|$|<b>Standard</b> Battle: Basic <b>overhead</b> {{battle in}} which the series is known for.|$|R
5000|$|Cnet explains, [...] "Clue offers full {{animations}} of {{the characters}} walking from room to room. While this is interesting for a while, you'll probably {{want to play with}} the <b>standard</b> <b>overhead</b> view of the board. Along with the animations is a really good soundtrack that includes sounds of the storm outside the mansion and a forbidding butler who calls out each suggestion as it is played". It adds, [...] "The [...] "autonotes" [...] feature that takes notes as to what cards you've seen doesn't record what suggestions have already been made, so making educated guesses as to which cards people don't have by their suggestions becomes a pen and paper experience".|$|R
50|$|Fester {{must travel}} through the city sewers to reach areas that are {{otherwise}} inaccessible due to aboveground obstacles. He may enter certain buildings, which transform the game from its <b>standard</b> <b>overhead</b> view into a 3D mode of play akin to a dungeon crawl. Five of these buildings each house an enormous Alien Boss character, which upon defeat will supply Fester with a puzzle piece, {{a picture of the}} alien's UFO, and refill all of his items. After defeating a boss, Fester will leave the building and be unable to backtrack through it to previously visited areas. Once all five bosses are defeated, Fester must board the UFO and defeat one last boss in order to stave off the invasion.|$|R
50|$|A {{compromise}} between undergrounding and using overhead lines is installing air cables. Aerial cables are insulated cables spun between poles {{and used for}} power transmission or telecommunication services. An advantage of aerial cables is that their insulation removes the danger of electric shock (unless the cables are damaged). Another advantage is that they forgo the costs - particularly high in rocky areas - of burying. The disadvantages of aerial cables are {{that they have the}} same aesthetic issues as <b>standard</b> <b>overhead</b> lines and that they can be affected by storms. However if the insulation is not destroyed during pylon failure or when hit by a tree, there is no interruption of service. Electrical hazards are minimised and re-hanging the cables may be possible without power interruption.|$|R
40|$|Traditional {{methods of}} accounting-including full-absorption accounting, labor and cost <b>standards,</b> <b>overhead</b> allocations, and {{variance}} analysis-can {{stand in the}} way of attempts by managers and others to improve their company's overall performance and the ability to compete globally. Many companies have recognized the need to shift the role of accounting toward higher-value, more strategic tasks, such as financial and operational analysis, tactical decision support, and even process improvement and reengineering. But the accounting tools at their disposal often prove inadequate. In fact, there is a core conflict between the need to provide accurate and consistent financial reports for external consumption-reports that comply in all respects with GAAP, Sarbanes-Oxley, SEC requirements, and the like-and the need for value-relevant and informative reports for internal management purposes. 2004 Morgan Stanley. ...|$|R
40|$|Computer vision {{approaches}} for retail applications can provide value {{far beyond the}} common domain of loss prevention. Gaining insight into the movement and behaviors of shoppers is of high interest for marketing, merchandizing, store operations and data mining. Of particular interest {{is the process of}} purchase decision making. What catches a customers attention? What products go unnoticed? What does a customer look at before making a final decision? Towards this goal we presents a system that detects and tracks both the location and gaze of shoppers in retail environments. While networks of <b>standard</b> <b>overhead</b> store cameras are used for tracking the location of customers, small inshelf cameras are used for estimating customer gaze. The presented system operates robustly in real-time and can be deployed in a variety of retail applications. 1...|$|R
40|$|This paper {{presents}} a new spreadsheet-based cooling load design tool for underfloor air distribution (UFAD) systems {{developed by the}} Center for the Built Environment at University of California, Berkeley. After briefly reviewing previous UFAD design tools, the main characteristics of the tool are described: transformation of the zone design cooling load calculated for a <b>standard</b> <b>overhead</b> (OH) mixing system into the design cooling load for a stratified UFAD system, splits of the total UFAD cooling load into three fractions, supply plenum (SPF), zone, or room, (ZF), and return plenum (RPF); prediction of the thermal comfort in a vertically stratified environment, air temperature profiles and setpoint temperature at the thermostat; modeling of air diffusers; prediction of the design airflow rate; and modelling of commonly used plenum configurations. A practical example is reported {{at the end of}} the paper. The design tool and detailed user notes are available at:...|$|R
5000|$|Originally from Baia Mare, Romania, Necula {{attended}} the Polytechnic University of Bucharest {{before coming to}} Carnegie Mellon University in the United States to complete his Ph.D. under programming languages researcher Peter Lee. His Ph.D. thesis first describing proof-carrying code was influential as a mechanism to allow untrusted machine code to run safely without performance <b>overhead.</b> He <b>joined</b> as faculty at the University of California, Berkeley in 1998.|$|R
40|$|From the {{perspective}} of facility maintenance, a larger cross sectional area of contact wire is more favorable to lengthen the replacement cycle of contact wires that become worn by contact pantographs. However, weight of a contact wire increases with a larger cross sectional area. We thus reviewed the balance between the cross sectional area and the tension of the contact wire for the heavy compound catenary system shown in Fig. 1, the <b>standard</b> <b>overhead</b> contact line system for the Tohoku and Joetsu Shinkansen, while keeping the total tension as it was. And we modified that heavy compound catenary system in the section between Sendai and Kitakami to the system shown in Table 1. The contact wire’s weight was reduced and tension increased when modifying the existing system to the improved system (and respectively in Table 1). Changing the allocation of tension to each line of the system {{made it possible to}} modify withou...|$|R
50|$|The campus has 2 Blocks- New Block and Old block intensively for {{curriculum}} {{purpose and}} additional area for Cafetaria, Sports, Hostel and Gymnasium.Both the blocks are connected by an <b>overhead</b> bridge that <b>joins</b> the third floors.|$|R
50|$|Typical five stand {{targets are}} a rabbit, chandelle, <b>overhead,</b> <b>standard</b> skeet high house and low house shots, teal (launched {{straight}} {{up into the}} air), trap (straight ahead from ground level), and an incoming bird.|$|R
40|$|This {{guideline}} provides <b>standards</b> for <b>overhead</b> crane cabs {{that can}} be applied to the design and modification of crane cabs to reduce the potential for human error due to design. This guideline serves as an aid during the development of a specification for purchases of cranes or for an engineering support request for crane design modification. It aids human factors engineers in evaluating existing cranes during accident investigations or safety reviews...|$|R
30|$|After obtaining Institutional Review Board approval, we {{performed}} a prospective study on all pediatric type I open fracture patients presenting to our institution between 2004 and 2008. The protocol described herein was initiated at our institution in 2004 for the non-operative management of these injuries. If a pediatric orthopedic fracture patient in the emergency department is found to have an open wound, the wound is evaluated by the resident physician or physician assistant on call. The wound is then measured and inspected in the patient’s emergency department room with <b>standard</b> <b>overhead</b> lighting to determine {{if it is a}} superficial abrasion or a full thickness breach of the skin. If the wound is full thickness, then it is evaluated as to whether it communicates with the fracture site or if it is remote and an independent injury. All full thickness wounds of ≤ 1  cm in size that are suspicious for communication with the fracture site are classified as type I open fractures in accordance with the Gustilo and Anderson [9] classification and the patients are started on the protocol (see Fig. 1).|$|R
40|$|This paper {{summarizes}} the assumptions and equations behind a new spreadsheet-based cooling load design tool for underfloor air distribution (UFAD) systems {{developed by the}} Center for the Built Environment at University of California, Berkeley. After briefly reviewing previous UFAD design tools, we describe in detail how the design tool: a) transforms the zone design cooling load calculated for a <b>standard</b> <b>overhead</b> (OH) mixing system into the design cooling load for a stratified UFAD system, accounting for differences in design day cooling load profiles for OH and UFAD systems; b) splits the total UFAD cooling load into three fractions, supply plenum (SPF), zone, or room, (ZF), and return plenum (RPF); c) manages the thermal comfort in a vertically stratified environment; d) predicts the air temperature profiles and the setpoint temperature at the thermostat; e) models the air diffusers; f) predicts the design airflow rate; and g) models commonly used plenum configurations. INTRODUCTION: OTHER UFAD DESIGN TOOLS The most common cooling airflow design methods for UFAD systems used in practice have been described in the followin...|$|R
5000|$|A {{smart key}} is {{available}} {{as an option}} coupled with two position memory seat that memorizes driver's seat positions and adjustments, exterior mirror adjustments, and climate control settings. The settings can be customized based on the smart key module being used to unlock and start the car. Turn signal repeaters are still integrated into the side exterior mirrors on all Japanese-spec models. The black leather interior installed on vehicles with the [...] "S" [...] package can be fitted with optional black corduroy inserts with white contrasting French stitching on all visible seams and aluminum cross drilled brake, clutch and accelerator pedals. The Legacy wagon can be fitted with twin white LED lights installed on the interior hatch vertically surrounding the rear window with a separate light switch for additional illumination when the rear hatch is open. An optional LED accessory lighting package in either white or blue can be installed for {{the front and rear}} passenger footwells and a matching illuminated sill panel for the front and rear doors, and the <b>standard</b> <b>overhead</b> dome light can be exchanged for white LED as well.|$|R
50|$|The Gazelle II was re-designated as the IIA in 1958. The <b>standard</b> Hillman pushrod <b>overhead</b> {{valve engine}} {{replaced}} the Singer overhead cam unit. The new engine was more powerful, developing 56 bhp against 49 bhp.|$|R
50|$|While at the UN, Wallace also {{launched}} the UN Transparency and Accountability Initiative {{that focused on}} eight areas of reform related to member states' access to UN financial documents, ethics, financial disclosure, oversight mechanisms, IPSAS accounting <b>standards</b> and administrative <b>overhead.</b>|$|R
50|$|Engineered Lifting Systems & Equipment Inc (ELS) is a Canadian {{manufacturing}} company specializing in <b>standard</b> and custom <b>overhead</b> material lifting systems and equipment. ELS {{was founded in}} by Jim Muir in Waterloo, Ontario and its headquarters is currently located in Elmira, Ontario.|$|R
30|$|Cluster {{maintenance}} is done periodically by all clustering methods. The {{three types of}} events that trigger topology change in VANET {{can be defined as}} follows: a node joins the network, a node leaves the cluster, and two cluster heads come into direct communication range. If the new node, that joins the network, has non-clustered neighbors, then those nodes will form a new cluster according to the rules used by each clustering method. The overhead of cluster formation was explained earlier. However, if the new node has a neighbor that is a cluster-head, then it will try to join the cluster by sending a join message to the cluster-head, and this cluster <b>joining</b> <b>overhead</b> is same for all three methods (TB, PB and WB). When two neighboring clusters merge, the cluster-head with less number of members will lose its role and join the other cluster and become a cluster member. The losing node sends one message in one period to inform its members about its decision. If the losing node has cluster members, then the members are subject to cluster reorganization. The cluster members either join any nearby clusters or form a new cluster if they could not find a cluster to <b>join.</b> <b>Overhead</b> for <b>joining</b> any nearby clusters is the same for all three methods, and the overhead for cluster formation (cluster setup) is already presented before. The upper bound on the number of messages for cluster merging is equal to the average number of members per cluster, which is kTB, kWB and kPB for TB, WB and PB techniques respectively.|$|R
40|$|Standard, {{text-book}} based {{learning for}} earth, ocean, and atmospheric sciences {{has been limited}} by the unavailability of quantitative teaching materials. While a descriptive presentation, in a lecture format, of discrete satellite images is often adequate for high school classrooms, this is seldom the case at the undergraduate level. In order to address these concerns, a series of numerical exercises for the Macintosh was developed for use with satellite-derived Sea Surface Temperature, pigment and sea ice concentration data. Using {{a modified version of}} NIH Image, to analyze actual satellite data, students are able to better understand ocean processes, such as circulation, upwelling, primary production, and ocean/atmosphere coupling. Graphical plots, image math, and numerical comparisons are utilized to substantiate temporal and spatial trends in sea surface temperature and ocean color. Particularly for institutions that do not offer a program in remote sensing, the subject matter is presented as modular units, each of which can be readily incorporated into existing curricula. These materials have been produced in both CD-ROM and WWW format, making them useful for classroom or lab setting. Depending upon the level of available computer support, graphics can be displayed directly from the CD-ROM, or as a series of color view graphs for <b>standard</b> <b>overhead</b> projection...|$|R
