1|108|Public
60|$|<b>SURGE.</b> <b>Well,</b> {{let us be}} fair, even to the Kaiser. Let us be fair.|$|E
40|$|We {{investigate}} {{the issue of}} "dangerous human-made interference with climate" using simulations with GISS modelE driven by measured or estimated forcings for 1880 - 2003 and extended to 2100 for IPCC greenhouse gas scenarios {{as well as the}} 'alternative' scenario of Hansen and Sato. Identification of 'dangerous' effects is partly subjective, but we find evidence that added global warming of more than 1 degree C above the level in 2000 has effects that may be highly disruptive. The alternative scenario, with peak added forcing 1. 5 W/m 2 in 2100, keeps further global warming under 1 degree C if climate sensitivity is 3 ̃ degrees C or less for doubled CO 2. We discuss three specific sub-global topics: Arctic climate change, tropical storm intensification, and ice sheet stability. Growth of non-CO 2 forcings has slowed in recent years, but CO 2 emissions are now <b>surging</b> <b>well</b> above the alternative scenario. Prompt actions to slow CO 2 emissions and decrease non-CO 2 forcings are needed to achieve the low forcing of the alternative scenario. Comment: 21 pages; 10 figures; to be submitted to Atmospheric Chemistry and Physic...|$|R
40|$|This is {{the author}} {{accepted}} manuscript. The final version {{is available from the}} publisher via the DOI in this record. We investigate the issue of "dangerous human-made interference with climate" using simulations with GISS modelE driven by measured or estimated forcings for 1880 - 2003 and extended to 2100 for IPCC greenhouse gas scenarios as well as the 'alternative' scenario of Hansen and Sato. Identification of 'dangerous' effects is partly subjective, but we find evidence that added global warming of more than 1 degree C above the level in 2000 has effects that may be highly disruptive. The alternative scenario, with peak added forcing 1. 5 W/m 2 in 2100, keeps further global warming under 1 degree C if climate sensitivity is 3 ̃ degrees C or less for doubled CO 2. We discuss three specific sub-global topics: Arctic climate change, tropical storm intensification, and ice sheet stability. Growth of non-CO 2 forcings has slowed in recent years, but CO 2 emissions are now <b>surging</b> <b>well</b> above the alternative scenario. Prompt actions to slow CO 2 emissions and decrease non-CO 2 forcings are needed to achieve the low forcing of the alternative scenario...|$|R
2500|$|Hurricanes are a {{substantial}} concern {{during the fall}} season. Though Galveston Island and the Bolivar Peninsula provide some shielding, Baytown still faces more danger than Houston and other inland communities, particularly because of storm <b>surge,</b> as <b>well</b> as severe land subsidence in some low-lying areas of town due to excess pumping of groundwater in the 1960s (see Brownwood subdivision) [...] by area refineries and municipalities. [...] Hurricanes Carla (1961), Alicia (1983), and Ike (2008) were the three most damaging hurricanes to affect Baytown.|$|R
5000|$|An AC power {{conditioner}} is the typical {{power conditioner}} that provides [...] "clean" [...] AC power to sensitive electrical equipment. Usually this {{is used for}} home or office applications and has up to 10 or more receptacles or outlets and commonly provides <b>surge</b> protection as <b>well</b> as noise filtering.|$|R
5|$|The first {{advisories}} {{were issued}} by the Canadian Hurricane Centre on September26, although at that time they broadly suggested the possibility existed for wind and rain across Atlantic Canada. As Juan approached on September27, warning broadcasts on local media in Atlantic Canada were changed accordingly. The public and emergency officials in the expected landfall area were told to make preparations for a potential disaster, after the CHC bulletins indicated the possibility existed for significant wind damage and flooding from both heavy rain and storm <b>surges,</b> as <b>well</b> as power outages.|$|R
40|$|Abstract—Surge is a {{frequent}} problem in large axial flow adjustable suction fan. Cause of <b>surge</b> as <b>well</b> as hazard to unit and production was introduced. Pointed out that thermal power after the denitration system transformation, due {{to changes in the}} resistance of air and gas systems, so that the whole system aerodynamic field changes, it can easily cause primary air fan (PAF) surge accidents. By analyzing the PAF surge accident of the typical thermal unit, the anti-surge control scheme is formulated. Keywords-surge; primary air fan; stall line; axial flow; thermal power uni...|$|R
40|$|The Disaster Relief Appropriation Act of 2013 (P. L. 113 - 2) {{recognized}} the need to comprehensively evaluate the existing and planned measures to reduce the flooding risk from tidally-influenced storm <b>surges</b> as <b>well</b> as other alternatives for areas at risk to future storm damages. The legislation directed the US Army Corps of Engineers to undertake a Comprehensive Study of the Sandy impacted areas in the North Atlantic Division (Maine to Virginia). This paper reviews the findings and outcomes of the NACCS and their application across the USACE’s Sandy Recovery Program...|$|R
50|$|The first {{advisories}} {{were issued}} by the Canadian Hurricane Centre on September 26, although at that time they broadly suggested the possibility existed for wind and rain across Atlantic Canada. As Juan approached on September 27, warning broadcasts on local media in Atlantic Canada were changed accordingly. The public and emergency officials in the expected landfall area were told to make preparations for a potential disaster, after the CHC bulletins indicated the possibility existed for significant wind damage and flooding from both heavy rain and storm <b>surges,</b> as <b>well</b> as power outages.|$|R
5000|$|On {{the night}} of the final Ferry {{performed}} 17th in the running order, following Monaco and preceding Yugoslavia. France had rarely taken the Eurovision route of uptempo, bouncy and lyrically unchallenging pop songs, but had done so with [...] "Un, deux, trois". Prior to the contest most observers noted that the 1976 contest was the easiest for many years to predict, with [...] "Un, deux, trois" [...] and the United Kingdom's [...] "Save Your Kisses for Me" [...] as the only possible winners. The predictions proved accurate as the two quickly <b>surged</b> <b>well</b> ahead of the field in the voting, and after half the national juries had given their votes France held the lead by 82 points to the United Kingdom's 77. However the United Kingdom scored the stronger in the second half, and ran out the winner with 164 points to France's 147. However [...] "Un, deux, trois" [...] finished a huge 55 points ahead of third-placed Monaco. [...] "Un, deux, trois" [...] had picked up five maximum 12s (from Austria, Germany, Monaco, the Netherlands and Yugoslavia) and gained the distinction of becoming the first ever non-winning Eurovision song to pick up points from every other national jury. In terms of points received {{as a percentage of the}} maximum possible total (72.06%) it remains the most successful runner-up ever under the 12 points system and outranks most subsequent winners.|$|R
50|$|Born in Newmarket, Ontario, Canada, Jackson {{has played}} major roles in various {{television}} shows and movies, including Merlin's Apprentice, All My Children, Wind At My Back (5th season), Held Up, Criminal Minds, Deadly Betrayal, Kyle XY, Twists of Terror and Sea Wolf. He also played {{the voices of}} Rubanoid, Plitheon, Sabator and Phosphos in Bakugan: Gundalian Invaders, Dylan, Wolfurio, Zenthon, Zenthon Titan, Slycerak, Spatterix and Balista in Bakugan: Mechtanium <b>Surge,</b> as <b>well</b> {{as the voice of}} Doji in Beyblade Metal Fusion, as his predecessor Juan Chioran, voiced Doji in the first 32 episodes, and Rago in Beyblade Metal Fury.|$|R
50|$|Azura floats on {{the surface}} of the sea and weighs 45 tons (41 tonnes). It has a unique {{floating}} mechanism that can rotate 360 degress. This enables it to extract power from horizontal (<b>surge)</b> as <b>well</b> as vertical (heave) wave motion. It has reserve buoyancy that is very low, allowing it to partially submerge beneath large waves.Azura is a point absorber. This means that it uses a floating surface mechanism to absorb the energy of waves from different directions. This is the most common type of deepwater wave energy generator. The generator is driven with a high-pressure hydraulics system.|$|R
50|$|Eleven brigades were inactivated by 2015. The {{remaining}} brigades as of 2015 {{are listed}} below. On 16 March 2016, the Deputy Commanding General (DCG) of FORSCOM {{announced that the}} brigades would now also train to move their equipment to their new <b>surge</b> location as <b>well</b> as to train for the requirements of their next deployment.|$|R
2500|$|At about 10:50 (local time) on 29 July, while {{preparing}} for the second strike of the day, an unguided [...] Mk-32 [...] "Zuni" [...] rocket, one of four contained in an LAU-10 underwing rocket pod mounted on an F-4B Phantom II (believed to be aircraft No. 110 from VF-11), accidentally fired due to an electrical power surge during the switch from external to internal power. The surge, and a missing rocket safety pin, which would have prevented the fail <b>surge,</b> as <b>well</b> as a decision to plug in the [...] "pigtail" [...] system early {{to increase the number}} of takeoffs from the carrier, allowed the rocket to launch.|$|R
40|$|In 2006, a {{drilling}} campaign {{was conducted at}} the Project Shoal Area (PSA) to provide information for model validation, emplace long-term monitoring wells, and develop baseline geochemistry for long term hydrologic monitoring. Water levels were monitored {{in the vicinity of}} the drilling, in the existing wells HC- 1 and HC- 6, as well as in the newly drilled wells, MV- 1, MV- 2 and MV- 3 and their associated piezometers. Periodic water level measurements were also made in existing wells HC- 2, HC- 3, HC- 4, HC- 5 and HC- 7. A lithium bromide chemical tracer was added to drilling fluids during the installation of the monitoring and validation (MV) wells and piezometers. The zones of interest were the fractured, jointed and faulted horizons within a granitic body. These horizons generally have moderate hydraulic conductivities. As a result, the wells and their shallower piezometers required strenuous purging and development to remove introduced drilling fluids as evidenced by bromide concentrations. After airlift and <b>surging</b> <b>well</b> development procedures, the wells were pumped continuously until the bromide concentration was less then 1 milligram per liter (mg/L). Water quality samples were collected after the well development was completed. Tritium scans were preformed before other analyses to ensure the absence of high levels of radioactivity. Tritium levels were less than 2, 000 pico-curies per liter. Samples were also analyzed for carbon- 14 and iodine- 129, stable isotopes of oxygen and hydrogen, as well as major cations and anions. Aquifer tests were performed in each MV well after the bromide concentration fell below acceptable levels. Water level data from the aquifer tests were used to compute aquifer hydraulic conductivity and transmissivit...|$|R
5000|$|By {{the late}} 1990s, {{consumer}} interest in full-motion video games, {{which accounted for}} the majority of the company's profits, was in decline. After the collapse of the company, its assets were acquired by Cyber Cinema Interactive. The new company intended to re-release the games for DVD but that never came about. The only actual production for Cyber Cinema was the direct to video film Game Over - also known as Maximum Surge Movie. It used footage from an unreleased video game called Maximum <b>Surge</b> as <b>well</b> as clips from other Digital Pictures games. Although the film boasted stars such as Yasmine Bleeth and Walter Koenig, they only appear in the segments that had been pulled from the FMV sequences of the game, which suffer from lower image quality than the original footage.|$|R
5000|$|The Fleet Response Plan {{allowed the}} U.S. Navy {{to be ready}} to <b>surge</b> as <b>well</b> as be able to vary the lengths of deployments, {{providing}} a more flexible, ready to deploy capability. By increasing the duration of time that a ship could be deployed, the operational availability of several ships will always overlap, providing the Navy with the capability of deploying multiple ships or battle groups simultaneously. [...] The FRP also involved new ways of operating, training, manning, and maintaining the fleet, resulting in increased force readiness and the ability to provide significant combat power in a crisis situation as well as reinforce U.S. relationships and interoperability in five theaters of operations. [...] The U.S. Fleet Forces Command was tasked to lead in the implementation of the FRP.|$|R
40|$|This paper {{presents}} a high-resolution bio-stratigraphic methodology employed to show mid-Holocene storm surge signatures from sedimentary sequences deposited under limnic or lagoonal conditions. Although this methodology is effective, {{it is essential}} to find suitable sites where storm <b>surge</b> deposits are <b>well</b> preserved and have not been reworked subsequently by waves and tidal current. A case study from Morecambe Bay has indentified nine storm events within 290 yr between 6030 ± 70 and 5740 ± 60 yr BP. link_to_subscribed_fulltex...|$|R
40|$|This {{research}} {{proposes a}} methodology that leverages non-authoritative data to augment flood extent mapping and {{the evaluation of}} transportation infrastructure. The novelty {{of this approach is}} the application of freely available, non-authoritative data and its integration with established data and methods. Crowdsourced photos and volunteered geographic data are fused together using a geostatistical interpolation to create an estimation of flood damage in New York City following Hurricane Sandy. This damage assessment is utilized to augment an authoritative storm <b>surge</b> map as <b>well</b> as to create a road damage map for the affected region...|$|R
40|$|Abstract: In an open channel, the {{operation}} of a gate {{is associated with a}} lowering of the water level {{on one side and the}} generation of a negative surge. Herein some physical modelling of rapid gate opening was studied under controlled flow conditions in a relatively large size facility. The gate opening induced a negative surge travelling upstream into the canal. Detailed free-surface and velocity measurements were performed with three types of roughness. The experiments were repeated 25 times and the results were ensemble-averaged. The propagation of negative surges was gentle and barely perceptible, but very close to the gate. Large free-surface fluctuations and turbulent velocity fluctuations were recorded beneath the negative <b>surge,</b> as <b>well</b> as turbulent Reynolds stresses. For all bed configurations, the data of surge leading edge celerity showed a characteristic trend with an asymptotical value: (U+Vo) /(g×do) 1 / 2 = 1 independently of the bed roughness. The results implied that the bed roughness had little effect within the experimental flow conditions...|$|R
40|$|We {{investigate}} {{the issue of}} "dangerous human-made interference with climate" using simulations with GISS modelE driven by measured or estimated forcings for 1880 – 2003 and extended to 2100 for IPCC greenhouse gas scenarios {{as well as the}} "alternative" scenario of Hansen and Sato (2004). Identification of "dangerous" effects is partly subjective, but we find evidence that added global warming of more than 1 °C above the level in 2000 has effects that may be highly disruptive. The alternative scenario, with peak added forcing ~ 1. 5 W/m 2 in 2100, keeps further global warming under 1 °C if climate sensitivity is ~ 3 °C or less for doubled CO 2. The alternative scenario keeps mean regional seasonal warming within 2 σ (standard deviations) of 20 th century variability, but other scenarios yield regional changes of 5 – 10 σ, i. e. mean conditions outside the range of local experience. We conclude that a CO 2 level exceeding about 450 ppm is "dangerous", but reduction of non-CO 2 forcings can provide modest relief on the CO 2 constraint. We discuss three specific sub-global topics: Arctic climate change, tropical storm intensification, and ice sheet stability. We suggest that Arctic climate change has been driven as much by pollutants (O 3, its precursor CH 4, and soot) as by CO 2, offering hope that dual efforts to reduce pollutants and slow CO 2 growth could minimize Arctic change. Simulated recent ocean warming in the region of Atlantic hurricane formation is comparable to observations, suggesting that greenhouse gases (GHGs) may have contributed to a trend toward greater hurricane intensities. Increasing GHGs cause significant warming in our model in submarine regions of ice shelves and shallow methane hydrates, raising concern about the potential for accelerating sea level rise and future positive feedback from methane release. Growth of non-CO 2 forcings has slowed in recent years, but CO 2 emissions are now <b>surging</b> <b>well</b> above the alternative scenario. Prompt actions to slow CO 2 emissions and decrease non-CO 2 forcings are required to achieve the low forcing of the alternative scenario...|$|R
40|$|Lightning is {{considered}} one of the main causes of faults in overhead distribution networks. Direct strokes usually lead to flashovers due to the insulation levels that are used. Induced overvoltages caused by indirect lightning are usually lower and can be efficiently reduced by metal-oxide surge arresters. Hence, its associated flashover rate can be reduced. In this paper, a heuristic method is proposed to optimize the number of <b>surge</b> arresters as <b>well</b> as their locations. The method presented is based on genetic algorithms and an economic approach is taken into account by means of evaluating the cost of insulation flashover. Postprint (author’s final draft...|$|R
