1|58|Public
5000|$|Pinion <b>shaft</b> <b>splines</b> and spline diameter: 26/1.12" [...] (most Dana 44s post 1970), 24/1.25" [...] (JK), 10/1.12" [...] (early pre-1970 Dana 44s) ...|$|E
40|$|A {{mechanical}} sequencer {{having a}} rotatable drive shaft is described. The drive <b>shaft</b> has a <b>spline</b> formed thereon. A freely rotatable shaft contains {{a plurality of}} rollers positioned thereon, the axis of the freely rotatable shaft having an axis parallel to and offset from the axis of the drive shaft. A drive fitting has an opening therein, the drive fitting being positioned on the drive <b>shaft</b> <b>spline</b> for rotating the fitting with the shaft. A finger is formed integral with the drive fitting for enabling the fitting to move the rollers and the freely rotatable shift. A crank structure is positioned in a plane in a plane perpendicular to the axis of the drive shaft and the freely rotatable shaft. The crank structure has a drive shaft opening through which the shaft passes. The crank structure further contains a slot into which the freely rotatable shaft and one of the rollers extends for driving the crank structure during movement of the freely rotatable shaft...|$|R
5000|$|Dodge {{specific}} {{input shaft}} 7.5" [...] long with [...]725" [...] diameter pilot [...] <b>shaft</b> diameter & <b>spline</b> count varies ...|$|R
30|$|In {{order to}} control the quality of <b>spline</b> <b>shaft</b> in rolling process, an {{efficient}} measurement method for rolling performance evaluation is essential. Here, a newly developed on-machine non-contact measurement prototype based on laser displacement sensor and rotary encoder is proposed. The prototype is intended for the automated evaluation of the <b>spline</b> <b>shaft</b> rolling performance by measuring the dimensional change of tooth root, which is correlated with the surface residual stress and micro-hardness. Laser displacement sensor and rotary encoder are used to record the polar radius and polar angle of each point on measuring section. Data are displayed in a polar coordinate system and fitted in a gear. Through multipoint curvature method, the roots of <b>spline</b> <b>shaft</b> are recognized automatically. Then, the dimensional change can be calculated by fitting the radius of the tooth root circle before and after rolling. Systematic error covering offset error is also analyzed and calibrated. At last, measurement test {{results show that the}} system has advantages of simple structure, high measurement precision (radius error <[*] 0.6  μm), high measurement efficiency (measuring time <[*] 2  s) and automatic control ability, providing a new opportunity for the efficient evaluation of various <b>spline</b> <b>shafts</b> in high-precision mechanical processing.|$|R
5000|$|Automotive {{transmissions}} contain synchronizers {{that bring}} the toothed rotating parts (gears and <b>splined</b> <b>shaft)</b> {{to the same}} rotational velocity before engaging the teeth.|$|R
40|$|Coupling, {{developed}} for rotor of lift/cruise aircraft, employs two clutches for smooth transmission {{of power from}} gas-turbine engine to rotor. Prior to ascent, coupling applies friction-type transition clutch that accelerates rotor shaft to speeds matching those of engine shaft. Once <b>shafts</b> synchronized, <b>spline</b> coupling engaged and friction clutch released to provide positive mechanical drive...|$|R
30|$|The section contour of the <b>spline</b> <b>shaft</b> {{is like a}} gear, but {{the method}} used in gear {{measurement}} cannot be directly applied to our system, because most of them require the workpiece to be measured off-machine [15]. Besides, for gear measurement, researchers usually care more about the tooth thickness, tooth pitch [16], tooth flank [17] and cutting error [18]. While in the <b>spline</b> <b>shaft</b> measuring, {{the position of the}} tooth roots and their dimensional change should be focused, which are different from the previous gear measurement.|$|R
40|$|The hob mill is {{a cutting}} tool with a wide {{application}} for generation in machining of <b>splined</b> <b>shafts.</b> A method for profiling the hob mill for generation of square splines is presented in this paper. The analytical development was done based on a complementary theorem of surface enwrapping — the method of generating trajectories. A numerical application for a standardized <b>spline</b> <b>shaft</b> is presented. Based on the same theorem is presented a graphical application, developed in the CATIA design environment, for profiling the hob mill which generated standardised square splines...|$|R
30|$|In this paper, a newly {{developed}} on-machine non-contact measurement prototype based on laser displacement sensor and rotary encoder is proposed. Firstly, by using this prototype, the section contour of <b>spline</b> <b>shaft</b> is quickly measured. Then, through multipoint curvature method (MCM), {{the roots of}} <b>spline</b> <b>shaft</b> can be recognized automatically. At last, the dimensional change can be calculated by fitting the radius of the tooth root circle before and after rolling. The offset error and its calibration method were also discussed in this paper. Measurement test {{results show that the}} system has advantages of simple structure, high measurement precision, high measurement efficiency and automatic control ability.|$|R
40|$|Abstract. <b>Spline</b> <b>shaft</b> {{is widely}} used {{as one of the}} {{important}} parts in machinery. Cold rolling process is currently the main processing method to small module splines. For the spline with position requirements, that is: one of the spline tooth is located at an angle of the <b>spline</b> <b>shaft</b> cross section, cold rolling processing can't guarantee the spline tooth position. The paper analyzes the defects existed in the rolling and processing of this kind of spline. Through transforming a hydraulic press and design special frock clamp to ensure the spline tooth position angle, the small modulus involute spline processing with position requirements is realized in the way of punch press processing...|$|R
40|$|This work {{illustrates}} a methodology for static and dynamic {{analysis of the}} cardanic shaft flexural behaviour; this method even {{takes into account the}} mechanical backlash of the linear compensation device. The static analysis results regarding the effects, due to the backlash, on the axes geometry of the broached and <b>spline</b> <b>shafts,</b> which make the intermediate shaft, are at first illustrated. An angular speed range that guarantees a pressure distribution without critical areas, between the broached <b>shaft</b> and the <b>spline</b> one, is afterwards specified. A model for dynamic analysis of the flexural vibrations that is capable of estimating the deflection and bending moment diagram, is furthermore developed. The way in which this model can forecast the limits of the above-mentioned speed range is finally described...|$|R
30|$|The {{dimensional}} {{change of the}} tooth root is about 20  μm after rolling. Thus, the measurement precision of the conventional mechanical measuring instrument is not enough and it is time-consuming due {{to the complexity of}} the <b>spline</b> <b>shaft.</b> In order to solve such problems, it is necessary to develop a new measuring system with high efficiency and high precision. The laser triangulation displacement sensor (LDS) is a common-used tool in high precision and short-distance measuring, which can measure the displacement change of an object without any contact. It is mainly used in automatically measuring the geometrical parameter such as thickness, distance, diameter, etc [7 – 10]. Over a period of time there were several novel measuring systems by combining it with other devices, such as identification of location error of rotary axes for five-axes machine tools [11], on machine measurement of RFQS [12], automated inner dimensional measurement system for long-stepped pipes [13] and piston secondary motion measurement [14]. For <b>spline</b> <b>shaft</b> measuring system, a rotary encoder is needed to record the rotation angle. Together with the radius recorded by the laser displacement sensor, the section contour of the <b>spline</b> <b>shaft</b> is obtained by plotting each point of the measuring section in a polar coordinate system.|$|R
50|$|Unlike the 700R4, most 200-4Rs have a multicase {{bellhousing}} for {{use with}} Chevrolet, Buick/Olds/Pontiac (BOP), and Cadillac engines. However, 200-4Rs share mounting locations with the TH-400. Since the external dimensions {{are similar to the}} TH-350 (overall length, drive <b>shaft</b> yoke <b>spline</b> count/diameter and general size), 200-4Rs are often swapped in place of TH-350s in older vehicles to provide an overdrive gear. Early models had PRND321 on the cluster, while later models had PRN(D)D21, with the left D identified as the overdrive gear by a square or oval ring.|$|R
30|$|Through {{multipoint}} curvature method (MCM) {{and joint}} least square fitting method, {{the roots of}} the <b>spline</b> <b>shaft</b> were recognized automatically. The dimensional change can be calculated by fitting the radius of the tooth root circle before and after rolling. The offset error was also analyzed and calibrated in data processing.|$|R
40|$|A rotary {{coupling}} for connecting a driven part to {{a source}} of rotary force is described. This device transmits rotary force in one direction only and disengages to permit the driven part to free wheel when the input member is stopped and precludes the backdriving of rotary force from output member to input member. The coupling includes an input member having a <b>splined</b> <b>shaft,</b> a coupling member connected to the <b>splined</b> <b>shaft,</b> and a coaxial output member. The coupling member and the output member having complementary sets of axially facing clutch teeth. Guides {{in the form of}} helical grooves on the coupling member and spring loaded followers acting with the guides affect the engagement and disengagement of the clutch teeth by moving the coupling member toward and away from output member, the followers and guides themselves disengaging to permit free wheeling of output member when input member is stopped...|$|R
30|$|<b>Spline</b> <b>shaft</b> is an {{important}} part of a machine to transmit power or bear torque. Its section contour is like a gear. It suffers from great loads and alternating stress during the runtime. The tooth root of the <b>spline</b> <b>shaft</b> has a risk of fracture due to fatigue stress [1 – 4]. Thus, it is essential to conduct a surface hardening process such as rolling after machining. In order to control the quality of product, a rolling performance evaluation becomes essential. The commonly used evaluation parameters of surface integrity involve the surface roughness, the surface residual stress and the micro-hardness. However, measurement of surface roughness or through-thickness residual stresses in difficult locations or complex geometries is not easy. Many measurement techniques are destructive, such as the centre-hole drilling method, the ring core method and the block removal method. There are non-destructive techniques (e.g., X-ray and neutron diffraction, optical, magnetic or ultrasonic methods) [5], but they often require the off-machine measuring. Note that for the rolling process, it is an efficient alternative to conventional cutting processes to manufacture <b>spline</b> <b>shaft</b> as it possesses several advantages i.e. shorter process times, no material loss and no chip disposal, high surface quality [6]. The residual stress is only induced by the residual strain and the residual strain appears as the dimensional change in the macroscopic view. Therefore, it is probably feasible to use the dimensional change of tooth root as an alternative evaluation parameter.|$|R
30|$|Measurement {{test results}} show that the {{proposed}} method is feasible with high measurement precision (radius measuring error less than 0.6  μm), high measurement efficiency (measuring time less than 2  s) and automatic control ability (auto evaluation of rolling performance). Moreover, the method can cover the measurement needs of different <b>spline</b> <b>shafts</b> and has potential to analyze various gears machining process.|$|R
40|$|Chain slides along two cones, in novel {{transmission}} concept. Transmission includes {{chain drive}} between two <b>splined</b> <b>shafts.</b> Chain sprockets follow surfaces of two cones. As one chain sprocket moves toward smaller diameter other chain sprocket moves toward larger diameter, thereby changing "gear" ratio. Movement initiated by tension applied to chain by planetary gear mechanism. Device positive, simple, and efficient over {{wide range of}} speed ratios...|$|R
30|$|In the {{computer}} image processing, the feature points {{play a very}} important role in characteristic recognition. Feature points, such as angular point, tangency point and inflection point, are the basic units to characterize a specific shape. They can be applied to senior visual processing such as pattern recognition, shape matching and dimension measurement, etc. For the <b>spline</b> <b>shaft</b> measuring, the feature points are the tooth roots and tooth crests.|$|R
5000|$|Later in 2008, Traxxas {{released}} a {{revised version of}} the Revo 3.3. It incorporated some of the features seen on the Revo platinum, including a polished [...] "Resonator" [...] dual chamber exhaust pipe, dual stage air filter, larger 150 cc fuel tank, teflon coated aluminum [...] "GTR" [...] shocks with titanium nitride <b>shafts,</b> 17 mm <b>splined</b> wheel hubs. As is typical of a new Traxxas model, the revised Revo 3.3 received a new paint scheme.|$|R
40|$|In many {{rotating}} machinery applications, such as helicopters, the splines of an externally-splined steel shaft {{that emerges from}} the gearbox engage with the reverse geometry of an internally <b>splined</b> driven <b>shaft</b> for the delivery of power. The splined section of the shaft is a critical and non-redundant element which is prone to cracking due to complex loading conditions. Thus, early detection of flaws is required to prevent catastrophic failures. The acoustic emission (AE) method is a direct way of detecting such active flaws, but its application to detect flaws in a <b>splined</b> <b>shaft</b> in a gearbox is difficult due to the interference of background noise and uncertainty {{about the effects of}} the wave propagation path on the received AE signature. Here, to model how AE may detect fault propagation in a hollow cylindrical <b>splined</b> <b>shaft,</b> the <b>splined</b> section is essentially unrolled into a metal plate of the same thickness as the cylinder wall. Spline ridges are cut into this plate, a through-notch is cut perpendicular to the spline to model fatigue crack initiation, and tensile cyclic loading is applied parallel to the spline to propagate the crack. In this paper, the new piezoelectric sensor array is introduced with the purpose of placing them within the gearbox to minimize the wave propagation path. The fatigue crack growth of a notched and flattened gearbox spline component is monitored using a new piezoelectric sensor array and conventional sensors in a laboratory environment with the purpose of developing source models and testing the new sensor performance. The AE data is continuously collected together with strain gauges strategically positioned on the structure. A significant amount of continuous emission due to the plastic deformation accompanied with the crack growth is observed. The frequency spectra of continuous emissions and burst emissions are compared to understand the differences of plastic deformation and sudden crack jump. The correlation of the cumulative AE events at the notch tip and the strain data is used to predict crack growth. The performance of the new sensor array is compared with the conventional AE sensors in terms of signal to noise ratio and the ability to detect fatigue cracking...|$|R
30|$|The {{dimensional}} {{change of the}} tooth roots {{can be achieved by}} calculating the radius of tooth root circle before and after rolling. The relationship between the {{dimensional change}} and the residual stress should be established by rolling experiments in the future. Accordingly, the <b>spline</b> <b>shaft</b> rolling performance can be rapidly evaluated using the dimensional change as an alternative evaluation parameter. It is also worth noting that a hydraulic servo system should be used to generate accurate pressures in the future experiments and the residual stress will be measured using the X-ray diffraction (XRD).|$|R
40|$|The machine {{equipped}} with eccentric gears {{has been proved}} of great utility in various cases which are next to impossible, owing to the intricacy of tooth profile to use an ordinary hobbing machine for cutting. 　This was experimented in the escape wheel of a clock. Moreover, the possibility of making sharp corner by taking off fillet from the groove of the <b>splined</b> <b>shaft</b> for cars, and that of putting fillet with any radius was proved in the hobbing machine {{equipped with}} eccentric gears, which are impossible in the ordinary hobbing machine...|$|R
40|$|Spline joints are {{widespread}} {{due to its}} excellent performance. The use of splines {{of different}} types allows us to simplify the design of machines in such industries as road-building, agricultural machinery, machine tools, etc. In order to improve the processing of splines have been offered the following developments. The first development is spline-milling machine adaptive system. The second development is device to control the <b>spline</b> <b>shafts</b> on details such as shafts, trunnions, axles, etc. The third development is method of determining the axial moment of inertia involute spline...|$|R
5000|$|A freehub {{is a type}} of bicycle hub that {{incorporates}} a ratcheting mechanism, and the name freehub is a registered trademark of Shimano. A set of sprockets (called a [...] "cassette") are mounted onto a <b>splined</b> <b>shaft</b> of the freehub to engage the chain. The ratcheting mechanism {{is a part of the}} hub, in contrast to a freewheel, an older technology, which contains both the sprockets and a ratcheting mechanism in a single unit separate from the hub. In many high-end and midrange bicycles, freehubs have replaced freewheel systems.|$|R
5000|$|Ball splines (Ball Spline bearings) are {{a special}} type of linear motion bearing {{that are used}} to provide nearly {{frictionless}} linear motion while allowing the member to transmit torque simultaneously. There are grooves ground {{along the length of the}} <b>shaft</b> (thus forming <b>splines)</b> for the recirculating ground balls to run inside. The outer shell that houses the balls is called a nut rather than a bushing, but is not a nut in the traditional sense—it is not free to rotate about the shaft, but is free to travel up and down the shaft.|$|R
